source,target,edge_label
E22_Man-Made_Object1,E54_Dimension1905,P43_has_dimension
E22_Man-Made_Object1,E12_Production610,P108i_was_produced_by
E22_Man-Made_Object1,E35_Title1406,P102_has_title
E12_Production610,E21_Person1035,P14_carried_out_by
E12_Production610,E55_Type378,P32_used_general_technique
E12_Production610,E52_Time-Span213,P4_has_time-span
E22_Man-Made_Object2,E54_Dimension1389,P43_has_dimension
E22_Man-Made_Object2,E12_Production1609,P108i_was_produced_by
E22_Man-Made_Object2,E35_Title1588,P102_has_title
E12_Production1609,E52_Time-Span17,P4_has_time-span
E12_Production1609,E21_Person770,P14_carried_out_by
E12_Production1609,E55_Type245,P32_used_general_technique
E12_Production1,E52_Time-Span1062,P4_has_time-span
E12_Production1,E55_Type426,P32_used_general_technique
E12_Production1,E21_Person90,P14_carried_out_by
E21_Person90,E74_Group11,P107i_is_current_or_former_member_of
E21_Person90,E82_Actor_Appellation988,P131_is_identified_by
E12_Production2,E21_Person457,P14_carried_out_by
E12_Production2,E52_Time-Span66,P4_has_time-span
E12_Production2,E55_Type245,P32_used_general_technique
E21_Person457,E74_Group34,P107i_is_current_or_former_member_of
E21_Person457,E82_Actor_Appellation464,P131_is_identified_by
E22_Man-Made_Object3,E54_Dimension2097,P43_has_dimension
E22_Man-Made_Object3,E35_Title1040,P102_has_title
E22_Man-Made_Object3,E12_Production969,P108i_was_produced_by
E12_Production969,E55_Type629,P32_used_general_technique
E12_Production969,E52_Time-Span136,P4_has_time-span
E12_Production969,E21_Person285,P14_carried_out_by
E22_Man-Made_Object4,E54_Dimension1398,P43_has_dimension
E22_Man-Made_Object4,E12_Production2612,P108i_was_produced_by
E22_Man-Made_Object4,E35_Title2668,P102_has_title
E12_Production2612,E52_Time-Span7,P4_has_time-span
E12_Production2612,E21_Person614,P14_carried_out_by
E12_Production2612,E55_Type357,P32_used_general_technique
E22_Man-Made_Object5,E54_Dimension785,P43_has_dimension
E22_Man-Made_Object5,E35_Title1822,P102_has_title
E22_Man-Made_Object5,E12_Production527,P108i_was_produced_by
E12_Production527,E55_Type505,P32_used_general_technique
E12_Production527,E21_Person807,P14_carried_out_by
E12_Production527,E52_Time-Span657,P4_has_time-span
E22_Man-Made_Object6,E54_Dimension1034,P43_has_dimension
E22_Man-Made_Object6,E35_Title1848,P102_has_title
E22_Man-Made_Object6,E12_Production228,P108i_was_produced_by
E12_Production228,E55_Type378,P32_used_general_technique
E12_Production228,E52_Time-Span343,P4_has_time-span
E12_Production228,E21_Person235,P14_carried_out_by
E12_Production3,E52_Time-Span768,P4_has_time-span
E12_Production3,E55_Type378,P32_used_general_technique
E12_Production3,E21_Person250,P14_carried_out_by
E21_Person250,E82_Actor_Appellation86,P131_is_identified_by
E21_Person250,E74_Group34,P107i_is_current_or_former_member_of
E21_Person1,E82_Actor_Appellation381,P131_is_identified_by
E21_Person1,E74_Group31,P107i_is_current_or_former_member_of
E21_Person2,E74_Group1,P107i_is_current_or_former_member_of
E21_Person2,E82_Actor_Appellation830,P131_is_identified_by
E12_Production4,E55_Type409,P32_used_general_technique
E12_Production4,E21_Person323,P14_carried_out_by
E12_Production4,E52_Time-Span199,P4_has_time-span
E21_Person323,E82_Actor_Appellation111,P131_is_identified_by
E21_Person323,E74_Group21,P107i_is_current_or_former_member_of
E12_Production5,E55_Type476,P32_used_general_technique
E12_Production5,E52_Time-Span274,P4_has_time-span
E12_Production5,E21_Person636,P14_carried_out_by
E21_Person636,E82_Actor_Appellation648,P131_is_identified_by
E21_Person636,E74_Group12,P107i_is_current_or_former_member_of
E12_Production6,E21_Person623,P14_carried_out_by
E12_Production6,E55_Type281,P32_used_general_technique
E12_Production6,E52_Time-Span247,P4_has_time-span
