Attribution,Begin Date,End Date,Title,Dated,Medium,Dimensions,production_id
Romare Bearden,1911,1988,Sacrifice,1941,Gouache and casein on paper,"31 1/4 x 47 in. (79.4 x 119.4 cm)
Framed: 43 3/8 x 59 1/2 x 2 1/2 in. (110.2 x 151.1 x 6.4 cm)",9b3afe4c68a6
George Wesley Bellows,1882,1925,Excavation at Night,1908,Oil on canvas,"34 x 44 in. (86.4 x 111.8 cm)
Framed: 45 x 54 7/8 x 2 7/8 in. (114.3 x 139.4 x 7.3 cm)",555bcdcdb0c7
George Wesley Bellows,1882,1925,The Studio,1919,Oil on canvas,"48 x 38 in. (121.9 x 96.5 cm)
Framed: 57 3/8 x 47 3/8 x 3 3/8 in. (145.7 x 120.3 x 8.6 cm)",d76b00263e34
Thomas Hart Benton,1889,1975,The Steel Mill,1930,Oil on canvas mounted on board,"48 x 30 in. (121.9 x 76.2 cm)
Framed: 53 1/4 x 35 3/8 x 1 7/8 in. (135.3 x 89.9 x 4.8 cm)",9a31041386bc
Thomas Hart Benton,1889,1975,Ploughing It Under,1934,Oil on canvas,"20 1/4 x 24 1/4 in. (51.4 x 61.6 cm)
Framed: 27 1/2 x 31 3/4 x 1 3/4 in. (69.9 x 80.6 x 4.4 cm)",1a4b74f36b3f
George de Forest Brush,1855,1941,The Indian and the Lily,1887,Oil on canvas,"21 x 20 in. (53.3 x 50.8 cm)
Framed: 29 x 28 1/2 x 2 1/4 in. (73.7 x 72.4 x 5.7 cm)",97ca5801a238
Dennis Miller Bunker,1861,1890,Anne Page,1887,Oil on canvas,"42 1/2 x 54 in. (108 x 137.2 cm)
Framed: 55 x 68 x 3 in. (139.7 x 172.7 x 7.6 cm)",6ea41bb4b96d
William Merritt Chase,1849,1916,Worthington Whittredge,1890,Oil on canvas,"64 1/2 x 53 1/4 in. (163.8 x 135.3 cm)
Framed: 82 x 70 x 6 in. (208.3 x 177.8 x 15.2 cm)",35de0f701421
John Singleton Copley,1738,1815,Mrs. Theodore Atkinson Jr. (Frances Deering Wentworth),1765,Oil on canvas,"51 x 40 in. (129.5 x 101.6 cm)
Framed: 59 x 48 3/4 x 4 3/8 in. (149.9 x 123.8 x 11.1 cm)",bf95f0a79f57
Jasper Francis Cropsey,1823,1900,The Backwoods of America,1858,Oil on canvas,"42 x 70 1/4 in. (106.7 x 178.4 cm)
Framed: 59 x 86 x 7 in. (149.9 x 218.4 x 17.8 cm)",c12af737d73c
Stuart Davis,1892,1964,Still Life with Flowers,1930,Oil on canvas,"40 x 32 in. (101.6 x 81.3 cm)
Framed: 41 7/8 x 34 x 3 3/8 in. (106.4 x 86.4 x 8.6 cm)",303545006ba0
Maria Oakey Dewing,1845,1927,Rose Garden,1901,Oil on canvas,"24 x 40 1/2 in. (61 x 102.9 cm)
Framed: 39 1/2 x 55 1/2 x 1 1/8 in. (100.3 x 141 x 2.9 cm)",bd121fe44415
Robert Seldon Duncanson,1821,1872,Landscape,1865,Oil on canvas,"13 x 25 in. (33 x 63.5 cm)
Framed: 19 x 30 3/4 x 2 7/8 in. (48.3 x 78.1 x 7.3 cm)",2dc29a522cc5
Asher Brown Durand,1796,1886,Kindred Spirits,1849,Oil on canvas,"44 x 36 in. (111.8 x 91.4 cm)
Framed: 55 1/4 x 47 x 5 1/4 in. (140.3 x 119.4 x 13.3 cm)",1b8d3f73c31d
Attributed to Gerardus Duyckinck I,1695,1746,Franks Children with Bird,1735,Oil on canvas,"45 1/2 x 35 7/8 in. (115.6 x 91.1 cm)
Framed: 51 3/4 x 42 3/8 x 2 3/4 in. (131.4 x 107.6 x 7 cm)",2a9c2083ac5d
Attributed to Gerardus Duyckinck I,1695,1746,Franks Children with Lamb,1735,Oil on canvas,"44 1/2 x 35 5/8 in. (113 x 90.5 cm)
Framed: 51 3/4 x 42 5/8 x 2 1/2 in. (131.4 x 108.3 x 6.4 cm)",c428d9595dfb
Attributed to Gerardus Duyckinck I,1695,1746,Jacob Franks,1735,Oil on canvas,"45 3/4 x 35 15/16 in. (116.2 x 91.3 cm)
Framed: 52 x 42 5/8 x 2 3/4 in. (132.1 x 108.3 x 7 cm)",5fa727a74571
Attributed to Gerardus Duyckinck I,1695,1746,Moses Levy,1735,Oil on canvas,"45 1/8 x 35 3/4 in. (114.6 x 90.8 cm)
Framed: 51 7/8 x 43 x 2 3/4 in. (131.8 x 109.2 x 7 cm)",c92d0fa5e5a8
Attributed to Gerardus Duyckinck I,1695,1746,Mrs. Jacob Franks (Abigaill Levy),1735,Oil on canvas,"45 1/4 x 35 13/16 in. (114.9 x 91 cm)
Framed: 51 3/4 x 42 1/2 x 2 3/4 in. (131.4 x 108 x 7 cm)",fcb9f08577b6
Attributed to Gerardus Duyckinck I,1695,1746,Richa Franks,1735,Oil on canvas,"44 13/16 x 35 11/16 in. (113.8 x 90.6 cm)
Framed: 51 3/4 x 42 3/8 x 2 3/4 in. (131.4 x 107.6 x 7 cm)",328b7cc46efc
Thomas Eakins,1844,1916,Professor Benjamin Howard Rand,1874,Oil on canvas,"60 x 48 in. (152.4 x 121.9 cm)
Framed: 75 1/4 x 63 11/16 x 8 in. (191.1 x 161.8 x 20.3 cm)",58ac20de966a
Thomas Eakins,1844,1916,The Art Student (James Wright),1890,Oil on canvas,"42 x 32 in. (106.7 x 81.3 cm)
Framed: 54 x 44 x 2 in. (137.2 x 111.8 x 5.1 cm)",b5c1193b9199
