Object Title,Object Work Type,Artist Name,Artist Birth Date,Artist Death Date,Artist Nationality,Object Earliest Date,Object Latest Date,Object Rights,Object Facet Value 1,Object Link Source,dimensions,production_id
Stream in the Mountains,Paintings,George Inness,1825,1894,American,1825,1875,"Dallas Museum of Art, bequest of Cecil A. Keating",Oil on canvas,Dallas Museum of Art,91.12 x 128.91 cm,d9f7836247b3
Art Beauty Shoppe,Paintings,Isaac Soyer,1907,1981,American,1934,1934,"Dallas Museum of Art, gift of the Public Works of Art Project",Oil on canvas,Dallas Museum of Art,106.68 x 125.73 cm,9dfefadfb7b7
Share Cropper,Paintings,Jerry Bywaters,1906,1989,American,1937,1937,"Dallas Museum of Art, Allied Arts Civic Prize, Eighth Annual Dallas Allied Arts Exhibition, 1937",Oil on Masonite,Dallas Museum of Art,74.29 x 59.69 cm,03d00d6627a8
Cypress Fen,Paintings,William Lester,1910,1991,American,1935,1945,"Dallas Museum of Art, Kiest Fund Prize, Eleventh Annual Dallas Allied Arts Exhibition, 1940",Oil on masonite,Dallas Museum of Art,56.83 x 70.82 cm,db4f99decd40
Prodigal Son,Paintings,Thomas Hart Benton,1889,1975,American,1934,1941,"Dallas Museum of Art, Dallas Art Association Purchase",Oil and tempera on panel,Dallas Museum of Art,66.36 x 77.47 x 8.26 cm,4bdf50085c04
Drouth Stricken Area,Paintings,Alexandre Hogue,1898,1994,American,1934,1934,"Dallas Museum of Art, Dallas Art Association Purchase",Oil on canvas,Dallas Museum of Art,76.2 x 107.32 cm,4f59ae1cf50a
"An Indian Paradise (Green River, Wyoming)",Paintings,Thomas Moran,1837,1926,American,1911,1911,"Dallas Museum of Art, Munger Fund",Oil on canvas,Dallas Museum of Art,76.2 x 101.6 cm,5b791384db7a
Leadbelly,Sculpture,Michael G. Owen Jr.,1915,1976,American,1943,1943,"Dallas Museum of Art, Mr. and Mrs. Tom Gooch Fund Purchase Prize, Twelfth Annual Texas Painting and Sculpture, 1950-1951",Black serpentine,Dallas Museum of Art,30.48 x 29.21 x 24.13 cm,55da4d617aa5
Summer Foliage,Paintings,George Inness,1825,1894,American,1883,1883,"Dallas Museum of Art, bequest of Joel T. Howard",Oil on canvas,Dallas Museum of Art,76.2 x 113.03 cm,320fc16c6383
Duck Island,Paintings,Childe Hassam,1859,1935,American,1906,1906,"Dallas Museum of Art, bequest of Joel T. Howard",Oil on canvas,Dallas Museum of Art,70.49 x 96.52 cm,6a392863f817
Sleepy Baby,Works on Paper - Pastels,Mary Cassatt,1844,1926,American,1900,1920,"Dallas Museum of Art, Munger Fund",Pastel on paper,Dallas Museum of Art,64.77 x 52.07 cm,08e7d31a9648
Munich Still Life,Paintings,William Michael Harnett,1848,1892,American,1882,1882,"Dallas Museum of Art, Dallas Art Association Purchase",Oil on canvas,Dallas Museum of Art,62.55 x 76.36 cm,b142dcd3d2d5
Where the Clouds Love to Rest,Paintings,Alfred Jacob Miller,1810,1874,American,1825,1875,"Dallas Museum of Art, gift of C.R. Smith",Oil on panel,Dallas Museum of Art,24.13 x 40.01 cm,a8b000642a2f
The Lake Her Lone Bosom Expands to the Sky,Paintings,Alfred Jacob Miller,1810,1874,American,1825,1875,"Dallas Museum of Art, gift of C.R. Smith",Oil on panel,Dallas Museum of Art,24.13 x 39.37 cm,505b9b5e59db
Emma in a Purple Dress,Paintings,George W. Bellows,1882,1925,American,1920,1923,"Dallas Museum of Art, Dallas Art Association Purchase",Oil on canvas,Dallas Museum of Art,160.02 x 129.54 cm,1dd529fcb6b4
Lighthouse Hill,Paintings,Edward Hopper,1882,1967,American,1927,1927,"Dallas Museum of Art, gift of Mr. and Mrs. Maurice Purnell",Oil on canvas,Dallas Museum of Art,73.82 x 102.24 cm,d8632dfacf50
Casting in the Falls,Works on Paper - Watercolors,Winslow Homer,1836,1910,American,1889,1889,"Dallas Museum of Art, Dallas Art Association Purchase",Watercolor,Dallas Museum of Art,35.88 x 51.12 cm,a5470d93064b
That Gentleman,Paintings,Andrew Wyeth,1917,2009,American,1960,1960,"Dallas Museum of Art, Dallas Art Association Purchase",Tempera on panel,Dallas Museum of Art,59.69 x 121.28 cm,3e55c0daf8d2
Razor,Paintings,Gerald Murphy,1888,1964,American,1924,1924,"Dallas Museum of Art, Foundation for the Arts Collection, gift of the artist",Oil on canvas,Dallas Museum of Art,81.44 x 92.71 cm,a2888385298d
Watch,Paintings,Gerald Murphy,1888,1964,American,1925,1925,"Dallas Museum of Art, Foundation for the Arts Collection, gift of the artist",Oil on canvas,Dallas Museum of Art,199.39 x 200.34 cm,fff2c6c56405
The Peaceable Kingdom,Paintings,Edward Hicks,1780,1849,American,1821,1847,"Dallas Museum of Art, The Art Museum League Fund",Oil on canvas,Dallas Museum of Art,60.96 x 79.06 cm,7c2a8a448c47
Time and Tide,Paintings,Alfred Thompson Bricher,1837,1908,American,1848,1898,"Dallas Museum of Art, Foundation for the Arts Collection, gift of Mr. and Mrs. Frederick Mayer",Oil on canvas,Dallas Museum of Art,64.14 x 127 cm,1786af98473b
The Icebergs,Paintings,Frederic Edwin Church,1826,1900,American,1861,1861,"Dallas Museum of Art, gift of Norma and Lamar Hunt",Oil on canvas,Dallas Museum of Art,163.83 x 285.75 cm,50f18b3b2fe1
Dorothy,Paintings,John Singer Sargent,1856,1925,American,1900,1900,"Dallas Museum of Art, gift of the Leland Fikes Foundation, Inc.",Oil on canvas,Dallas Museum of Art,61.28 x 50.17 cm,bbc29c6dcc85
Composition 7—Snow,Paintings,Raymond Jonson,1891,1982,American,1928,1928,"Dallas Museum of Art, Foundation for the Arts Collection, gift of Mr. and Mrs. Duncan E. Boeckman",Oil on canvas,Dallas Museum of Art,83.82 x 96.52 cm,dd59b8845551
Cotton Boll,Paintings,Otis Dozier,1904,1987,American,1936,1936,"Dallas Museum of Art, gift of Eleanor and C. Thomas May, Jr.",Oil on Masonite,Dallas Museum of Art,49.53 x 39.37 cm,69642a9d66b4
Suspended Power,Paintings,Charles Sheeler,1883,1965,American,1939,1939,"Dallas Museum of Art, gift of Edmund J. Kahn",Oil on canvas,Dallas Museum of Art,83.82 x 66.04 x 5.08 cm,37c801ad5078
Christ and His Mother Studying the Scriptures,Paintings,Henry Ossawa Tanner,1859,1937,American,1899,1919,"Dallas Museum of Art, Deaccession Funds",Oil on canvas,Dallas Museum of Art,123.82 x 101.6 cm,38f97855eddb
