Title,Artist,Classification,Medium,Dimension,Owner,AquisitionDate,Image,Description,DateOfWork,CreditLine,ArtistBornDate,ArtistDiedDate,production_id
Chester A. Arthur,Ole Peter Hansen Balling,Paintings,Oil on canvas,"Sight: 62.2 x 50.8cm (24 1/2 x 20"") Frame: 79.1 x 69.2 x 7.6cm (31 1/8 x 27 1/4 x 3"") ","National Portrait Gallery, Smithsonian Institution",1967,http://npgportraits.si.edu/eMuseumNPG/media/previews/6700114a.jpg,"When Vice President Chester Arthur succeeded to the presidency on the death of James Garfield, a newspaper noted that he was ""not a man who would have entered anybody's mind"" as a worthy candidate for the office. Indeed, as a major player in a spoils system that reduced the civil service to a vehicle for rewarding party faithful, he struck many as an emblem of all that was wrong in American politics. As president, however, Arthur rose above his past to promote landmark legislation designed to curb the spoils system. He also proved to be a foe of other forms of corruption. When, for example, a ""pork barrel"" bill for public improvements reached his desk, he vetoed it.  This head-and-shoulders portrait can only hint at the fashionable figure that Arthur cut. With his muttonchop whiskers ""trimmed to the perfection point"" and his suits made of only the finest fabrics, he invariably looked like the very epitome of the well-bred Victorian gentleman. ",1881,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Harry Newton Blue; Frame conserved with funds from the Smithsonian Women's Committee",1823,1906,0ff4330a898e
George Washington Carver,Betsy Graves Reyneau,Paintings,Oil on canvas,"Stretcher: 114.9 x 89.5 x 2.5cm (45 1/4 x 35 1/4 x 1"") Frame: 130.2 x 104.8 x 5.7cm (51 1/4 x 41 1/4 x 2 1/4"") ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6500142A_2.jpg,"The Harmon Foundation, a philanthropic organization based in New York City and active from (1922-1967) included this portrait in their exhibition 閼存瑥鐎懞鎺楀灳濮ｎ剦鍎崨顏佸亾濞ｎ湹rtraits of Outstanding Americans of Negro Origins閼存瑥鐎懞鎺楀灳濮ｎ剦�?which documented noteworthy African Americans閼存瑥鐎懞鎺楀灳濮ｎ剦鍎埗鈹惧亾�?contributions to the country. Modeling their goal of social equality, the Harmon sought portraits from an African-American artist, Laura Wheeler Waring and Euro-American artist, Betsy Graves Reyneau.  The two painters  followed the conventional codes of academic portraiture, seeking to convey their sitters extraordinary accomplishments.  This painting, along with a variety of educational materials, toured nation-wide for ten years serving as a visual rebuttal to racism.",1942,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the George Washington Carver Memorial Committee to the Smithsonian Institution, 1944",1888,1964,84e1e2735202
DeWitt Clinton,John Wesley Jarvis,Paintings,Oil on canvas,"Stretcher: 122.9 x 92.7 x 2.5cm (48 3/8 x 36 1/2 x 1"") Frame: 147 x 116.2 x 11.4cm (57 7/8 x 45 3/4 x 4 1/2"") ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6500096A_1.jpg,"De Witt Clinton, masterful politician of New York-in and out of office as mayor of the city and governor of the state-was a man who saw America with the potential for unlimited progress. His great dream was for a canal linking the Great Lakes with the Hudson River. When expected federal financing did not materialize, Clinton set out to put public pressure for funding on the state legislature. A bond issue was approved just in time for Clinton, newly elected as governor, to preside over the groundbreaking ceremonies on July 4, 1817. Eight years later, Clinton, returned to office, directed the great celebration of the Erie Canal's completion. ""Clinton's Ditch"" was a popular and immediate financial success and contributed enormously to the growth and prosperity of New York and the Northwest Territory as well. ",1816,"National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942",1780,1840,f10c942f64b4
Thomas Alva Edison,Abraham Archibald Anderson,Paintings,Oil on canvas,"Stretcher: 114.3 x 138.7 x 2.5cm (45 x 54 5/8 x 1"") Frame: 157.5 x 181.8 x 9.8cm (62 x 71 9/16 x 3 7/8"") ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6500038a.jpg,"Born Milan, Ohio  Painted during Thomas Alva Edison's visit to Paris for the Universal Exposition of 1889, Abraham A. Anderson's portrait depicts the wealthy entrepreneur at the height of his career. World-renowned for his inventions-including the phonograph, incandescent lamp, and movie camera-Edison, who received numerous honors in Europe, presided over one of the most popular exhibitions at the exposition. Particularly intriguing to audiences was Edison's phonograph, the recent improvement of which Anderson chose to picture. Although Edison patented the device in 1877, earning himself the title of the ""Wizard of Menlo Park,"" eleven years passed before he achieved sufficient clarity of sound to make it commercially viable. Using the word ""specie"" as a test, Edison labored until it could be properly transmitted. ""When that was done,"" Edison reported, ""I knew everything else could be done, which was a fact.""",1890,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Eleanor A. Campbell to the Smithsonian Institution, 1942",1847,1940,482942b2a370
Albert Einstein,Max Westfield,Paintings,Oil on canvas,"Stretcher: 102.9 x 77.5cm (40 1/2 x 30 1/2"") Frame: 123.2 x 97.8 x 9.5cm (48 1/2 x 38 1/2 x 3 3/4"") ","National Portrait Gallery, Smithsonian Institution",1967,http://npgportraits.si.edu/eMuseumNPG/media/previews/6700028a.jpg,"The most brilliant scientist of the twentieth century, physicist Albert Einstein inspires comparisons to Isaac Newton. By the time he reached thirty, his theory of relativity and work in quantum mechanics had revolutionized physics and profoundly altered our perception of the world. Einstein naturally commanded great prestige in the United States when he sought refuge from the Nazi regime of his native Germany in 1933. His words thus carried enormous weight in 1939 when he wrote a letter alerting President Roosevelt that Germany was moving toward the development of nuclear weaponry. Eventually, that warning gave impetus to the Manhattan Project, the top-secret venture that in 1945 produced the world's first atomic bomb. While sitting for this likeness in 1944, Einstein mused to his portraitist, ""After fifty years they will say of me, either he was a great man or a fool!""",1944,"National Portrait Gallery, Smithsonian Institution; gift of the artist",1882,1971,4f1f3c29e83d
John Ericsson,Arvid Frederick Nyholm,Paintings,Oil on canvas,"Stretcher (Verified): 123.8 x 92.7 x 2.5cm (48 3/4 x 36 1/2 x 1"") Frame (Verified): 154.3 x 122.6 x 11.4cm (60 3/4 x 48 1/4 x 4 1/2"") ","National Portrait Gallery, Smithsonian Institution",1966,http://npgportraits.si.edu/eMuseumNPG/media/previews/6600090a.jpg,"Before he came to the United States in 1839, the Swedish-born engineer and inventor John Ericsson revolutionized navigation with his development of the screw propeller. He achieved fame during the Civil War when he designed the ironclad warship Monitor, the federal response to the threat of the Confederate ironclad Virginia (the refitted USS Merrimack). Ericsson, posing with a model of his ""tin can on a raft,"" always worked alone and had previously perfected engines for many purposes, including fire engines and a steam locomotive. He later developed the forerunner of the modern naval destroyer.",1912,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the Swedish American Republican League of Illinois to the Smithsonian Institution, 1912",1866,1927,f73e394fa377
Benjamin Franklin,Joseph Siffred Duplessis,Paintings,Oil on canvas,"Stretcher: 72.4 x 59.7 x 3.8cm (28 1/2 x 23 1/2 x 1 1/2"") Frame: 92.7 x 80 x 8.3cm (36 1/2 x 31 1/2 x 3 1/4"") ","National Portrait Gallery, Smithsonian Institution",1987,http://npgportraits.si.edu/eMuseumNPG/media/previews/8700086a.jpg,"Benjamin Franklin, in his day the most famous American in the world, returned from his years representing colonial interests in England just in time to be unanimously elected to represent Pennsylvania at the Second Continental Congress. Behind him was a lifetime of achievement as a printer, an unsurpassed author of wit and wisdom, an inventor, and a scientist. Ahead were his roles as a signer of the Declaration of Independence and as a member of the Constitutional Convention of 1787. In between was his triumph as a diplomat in France, where this portrait was ordered by Madame Brillon de Jouy, who loved Franklin's ""droll roguishness which shows that the wisest of men allows his wisdom to be perpetually broken against the rocks of femininity."" In 1995 this portrait was selected as the basis for Franklin's engraving on the redesigned $100 bill. ",1785,"National Portrait Gallery, Smithsonian Institution; gift of the Morris and Gwendolyn Cafritz Foundation",1725,1802,46597f242e5f
R. Buckminster Fuller,Boris Artzybasheff,Paintings,Tempera on board,"Sight: 43.2 x 31.1cm (17 x 12 1/4"") Frame: 74.9 x 59.7 x 3.2cm (29 1/2 x 23 1/2 x 1 1/4"") ","National Portrait Gallery, Smithsonian Institution",1978,http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0786a_1.jpg,"Born Milton, Massachusetts  Although not an accredited architect, Buckminster Fuller was best known for his many experiments in building design and his philosophy of architecture. Adhering to his ""dymaxion"" principle, which called for maximum results from a minimum of material and energy, he was an early advocate of prefabrication and modular construction. The most famous of Fuller's achievements was the geodesic dome, which artist Boris Artzybasheff wittily depicts here as the structure of Fuller's face and skull. Patented in 1947, this spherical structure required no internal support, thus creating an unobstructed interior space. In 1967, one of Fuller's domes served as the United States pavilion at the world exposition in Montreal, where it became a symbol of America's tradition in technical innovation.  ",1963,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine",1899,1965,9c66409daaf7
Grant and His Generals,Ole Peter Hansen Balling,Paintings,Oil on canvas,"304.8cm x 487.7cm (120"" x 192""), Accurate ","National Portrait Gallery, Smithsonian Institution",1966,http://npgportraits.si.edu/eMuseumNPG/media/previews/6600066A_1.jpg,"Left to right: Thomas C. Devin (1822-1878), George A. Custer (1839-1876), Hugh J. Kilpatrick (1836-1881), William H. Emory (1811-1887), Philip H. Sheridan (1831-1888), James B. McPherson (1828-1864), George Crook (1830-1890), Wesley Merritt (1834-1910), George H. Thomas (1816-1870), Gouverneur Kemble Warren (1830-1882), George G. Meade (1815-1872), John G. Parke (1827-1900), William T. Sherman (1820-1891), John A. Logan (1826-1886), Ulysses S. Grant (1822-1885), Ambrose E. Burnside (1824-1881), Joseph Hooker (1814-1879), Winfield Scott Hancock (1824-1886), John A. Rawlins (1831-1869), Edward O. C. Ord (1818-1883), Francis Preston Blair (1821-1875), Alfred H. Terry (1827-1890), Henry W. Slocum (1827-1894), Jefferson C. Davis (1828-1879), Oliver O. Howard (1830-1909), John M. Schofield (1831-1906), Joseph A. Mower (1827-1870)  After the Norwegian artist Ole Peter Hansen Balling had sketched President Lincoln at the White House in the fall of 1864, he obtained permission to paint life portraits of leading Union generals. Balling joined General Grant at City Point, Virginia, during the campaign against Richmond and spent five weeks there sketching officers in the field. Philip H. Sheridan was painted while in the Shenandoah Valley; the portraits of William T. Sherman and George H. Thomas were done in Washington after the end of the war. The image of George A. Custer, second from the left, is thought to be the only life portrait painted of him.",1865,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Harry Newton Blue in memory of her husband Harry Newton Blue (1893-1925), who served as an officer of the Regular U.S. Army 1917-1925",1823,1906,a6398546fbf8
Herbert Hoover,Douglas Granville Chandor,Paintings,Oil on canvas,"Sight: 110.8 x 92.1cm (43 5/8 x 36 1/4"") Frame: 140.3 x 95.6 x 8.3cm (55 1/4 x 37 5/8 x 3 1/4"") ","National Portrait Gallery, Smithsonian Institution",1968,http://npgportraits.si.edu/eMuseumNPG/media/previews/6800048A_1.jpg,"Herbert Hoover seemed to be the ultimate problem-solver. As a mining engineer, he had turned marginal operations into thriving enterprises. During World War I, his administration of European food relief was nothing short of brilliant. As secretary of commerce in the 1920s, he transformed a once-sleepy department into a purposeful information clearinghouse. But as the Great Depression took hold during the second year of his presidency, Hoover was hard pressed for a solution. Believing in the power of private initiative, he hesitated to involve the federal government in reviving business. When lengthening bread lines and escalating joblessness finally convinced him of the necessity of such steps, the measures proved inadequate. As a result, Hoover was defeated by a crushing margin in his 1932 reelection bid. This portrait was intended for Time magazine's cover. But Hoover delayed his sittings, and by the time it was finished, the magazine was no longer interested. Hoover is thus the only president in Time's history never to appear on a cover while in office. ",1931,"National Portrait Gallery, Smithsonian Institution; Frame conserved with funds from the Smithsonian Women's Committee",1897,1953,87c8036c864c
Thomas Jefferson,Charles Bird King,Paintings,Oil on wood panel,"Sight: 49.5 x 41.3cm (19 1/2 x 16 1/4"") Frame: 72.4 x 65.4 x 8.6cm (28 1/2 x 25 3/4 x 3 3/8"") ","National Portrait Gallery, Smithsonian Institution",1992,http://npgportraits.si.edu/eMuseumNPG/media/previews/9200220a.jpg,"This work replicates an unusual profile portrait of Thomas Jefferson that Gilbert Stuart painted in Washington, D.C., in 1805, at the beginning of Jefferson's second presidential term. The neoclassical composition ""in the medallion form"" was suggested by Jefferson, who later wrote that Stuart's portrait (now owned by Harvard University) was ""deemed the best which has been taken of me."" King, a Washington painter, made the copy for Jefferson's family, who preferred this neoclassical profile over Stuart's three-quarter view of Jefferson, which was painted at the same sittings. ",1836,"National Portrait Gallery, Smithsonian Institution",1785,1862,23174c410a88
Thomas Jefferson,Charles Willson Peale,Paintings,Oil on canvas,"Image: 61 x 50.8cm (24 x 20"") Frame: 66 x 55.9cm (26 x 22"") ",Independence National Historical Park,1854,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa300150.jpg,"In 1791, Charles Willson Peale added this portrait of Secretary of State Thomas Jefferson to his museum's collection of American heroes. Jefferson appears younger than his fifty years, perhaps evoking the young man the artist remembered as the Virginia delegate to the Continental Congress. Jefferson was well known to Americans in 1791, having also served as governor of Virginia and ambassador to France. Notwithstanding George Washington's desire for unity in his administration, Jefferson quickly found himself at odds with Secretary of the Treasury Alexander Hamilton, whose power and influence on the president rivaled his own. Jefferson favored a smaller, weaker national government, with more power residing in the states, and closer ties to France; Hamilton argued for a powerful national government allied to Great Britain. From these differences the first American party system-Democratic-Republicans (Jefferson) versus Federalists (Hamilton)-was born.",1791,"Courtesy of Independence National Historical Park Collection, Philadelphia, PA",1741,1827,898189a57229
Thomas Jefferson,Mather Brown,Paintings,Oil on canvas,"Sight: 91.4 x 71.1cm (36 x 28"") Frame: 102.2 x 82.2 x 5.7cm (40 1/4 x 32 3/8 x 2 1/4"") ","National Portrait Gallery, Smithsonian Institution",1997,http://npgportraits.si.edu/eMuseumNPG/media/previews/9900178A_3.jpg,"As the new American republic emerged from its war with the mother country, Thomas Jefferson and John Adams, collaborators in the formulation of the Declaration of Independence (although Jefferson wrote the final document), were brought together as trade negotiators in France, where their mutual respect turned into friendship. In the spring of 1786-when Jefferson was the American minister to France and Adams the American minister to England-Jefferson visited Adams, who suggested that he pose for the young Boston-born artist Mather Brown. An exchange of portraits between the two colleagues ensued. This painting, the earliest known likeness of Jefferson, remained in Adams's family until given to the nation in 1999. 	The background contains the classical figure of Freedom holding a staff topped by a cap, which had its origins in the conical cloth cap adopted by freed Roman slaves as the symbol of their liberty. ",1786,"National Portrait Gallery, Smithsonian Institution; bequest of Charles Francis Adams; Frame conserved with funds from the Smithsonian Women's Committee",1761,1831,02e9f1369541
Benjamin Latrobe,Charles Frederick Von Breda,Paintings,Oil on canvas,"Stretcher: 18.1 x 13.3cm (7 1/8 x 5 1/4"") ","National Portrait Gallery, Smithsonian Institution",2011,http://npgportraits.si.edu/eMuseumNPG/media/previews/B1000128A.jpg,"Born Yorkshire, England  Benjamin Latrobe was the most important architect of the early republic, transforming the discipline from an avocation for amateurs to a profession with standards and practices. Latrobe trained several of America閼存瑥鐎懞鎺楀灳濮ｎ剦鍎埗鈹惧亾閻忎警鏆�?next generation of architects, including the designer of this building, Robert Mills. Born in England, Latrobe trained there and in Germany. He but we know little of Latrobe閼存瑥鐎懞鎺楀灳濮ｎ剦鍎埗鈹惧亾閻忎警鏆�?early work because his records were lost at sea when he immigrated to America in 1795閼存瑥鐎懞鎺楀灳濮ｎ剦鍎埗鈺佷壕?6. His influential American buildings include the Philadelphia Water Works, New York City Hall, and redesigns of the Capitol and White House after they were burned in the War of 1812. Latrobe and artist Charles Frederick von Breda were at the beginning of their careers in London when this portrait was made. Von Breda created it to recall the lively and successful composition of a larger painting now in the collection of the Maryland Historical Society.",1790,"National Portrait Gallery, Smithsonian Institution",1759,1818,5f902dc1f00b
Cyrus Hall McCormick,Charles Loring Elliott,Paintings,Oil on canvas,"Stretcher: 51.4 x 41.3 x 3.8cm (20 1/4 x 16 1/4 x 1 1/2"") Frame: 59.7 x 49.5 x 6.7cm (23 1/2 x 19 1/2 x 2 5/8"") ","National Portrait Gallery, Smithsonian Institution",1975,http://npgportraits.si.edu/eMuseumNPG/media/previews/7500004a.jpg," Territorial expansion generated a spirit of technological adventure and a search for new methods to handle the unique conditions of American life. Cyrus McCormick, a farmer in Virginia's Shenandoah Valley, succeeded where his father had failed by constructing the first practical reaping machine. This reaper was a first step in the mechanization of American agriculture, allowing the efficient cultivation of large tracts of farmland by small numbers of farmers. This industrialization of the land allowed the United States to boost agricultural production to unprecedented levels and to feed growing cities and industrial towns. McCormick's design was pirated by competitors, but he overcame his rivals by founding his own factory outside Chicago in 1847. There, he contributed to the pace of industrial growth by using standardized parts and assembly-line production-methods that had been pioneered by Samuel Colt and others. ",mid 19th Century,"National Portrait Gallery, Smithsonian Institution; gift of Chauncey and Marion Deering McCormick Foundation and Mrs. Gilbert Harrison",1812,1868,0631ba7a1d41
Men of Progress,Christian Schussele,Paintings,Oil on canvas,"Stretcher: 128.3 x 190.5 x 5.1cm (50 1/2 x 75 x 2"") Frame: 162.6 x 225.7 x 12.7cm (64 x 88 7/8 x 5"") ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6500108A_2.jpg,"In 1857, the inventor of a coal-burning stove, Jordan Mott, commissioned Christian Schussele to paint a group portrait of eighteen American scientists and inventors who ""had altered the course of contemporary civilization."" As with Schussele's celebration of American letters, Washington Irving . . . at Sunnyside, the group portrait did not mark an actual occasion but was designed to honor the achievements of American industry. The artist sketched study portraits of each of his subjects before putting them all into his final, formal composition. Men of Progress is a remarkable document of the growth of the American economy by the 1850s as it celebrates the inventions and processes of manufacturing pioneered by men such as Cyrus McCormick, Charles Goodyear, Samuel Colt, Samuel Morse, Elias Howe, and fourteen others. ",1862,"National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942",1824,1879,f6c524597f6c
Samuel F. B. Morse Self-Portrait,Samuel Finley Breese Morse,Paintings,Oil on millboard,"Board: 27.3 x 22.5 x 0.3cm (10 3/4 x 8 7/8 x 1/8"") Frame: 35.6 x 30.5 x 4.8cm (14 x 12 x 1 7/8"") ","National Portrait Gallery, Smithsonian Institution",1980,http://npgportraits.si.edu/eMuseumNPG/media/previews/8000496A_1.jpg,"Inventor of the telegraph Samuel Morse was first a portraitist active in intellectual circles, who helped found the National Academy of Design (1826) in order to elevate and support the arts. But around 1832 he became fascinated with the idea of sending messages via electric wire. With no scientific or mechanical training, Morse devised an elegant machine that sent coded messages by opening and closing an electrical circuit. While the government neglected the telegraph, private businesses seized on the new invention as a great leap forward in communications technology. At a time when railways and water transportation were binding the country together, Morse did the same with a network of instantaneous communication. Speed has always characterized America, and Morse's breakthrough was the gigantic first step in creating ever-faster means of communicating. ",1812,"National Portrait Gallery, Smithsonian Institution; this acquisition was made possible by a generous contribution from the James Smithson Society",1791,1872,ea27569e3d0c
Thomas Paine,Laurent Dabos,Paintings,Oil on canvas,"Stretcher: 34 x 26cm (13 3/8 x 10 1/4"") Frame: 50.8 x 43.5cm (20 x 17 1/8"") ","National Portrait Gallery, Smithsonian Institution",2008,http://npgportraits.si.edu/eMuseumNPG/media/previews/A8000010A_1.jpg,"Before the Reign of Terror began in 1793, Laurent Dabos, an artist from Toulouse undertook (apparently for the purpose of engraving) small full-length portraits of twelve luminaries of the French Revolution-Thomas Paine the only non-Frenchman among them. The bust version here shows Paine about the time he reached France. Well known as the author of Common Sense and Rights of Man, he was greeted by cannon salutes and cries of ""Vive Thomas Paine.""  Outlawed in England, Paine was never able to return to his native land, but his portrait was carried there-possibly by a member of the radical Anglo contingent in Paris-and was discovered some years ago in Northumberland. ",1792,"National Portrait Gallery, Smithsonian Institution",1761,1835,5a3627ac0ef0
