origin,credit_line,birth_year,death_year,nationality,Label_on_page,dates,name,title,technique,image_url,dimension,production_id
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929",1844,1916,American,"Most of Eakins's paintings after 1886 were portraits, but he returned to sporting subjects in the late 1890s with a series that he began after attending professional boxing matches at the Philadelphia Arena (then located at the intersection of Broad and Cherry Streets, diagonally across from the Pennsylvania Academy of the Fine Arts). The resulting canvases were as revolutionary in their subject matter as his rowing scenes had been more than two decades earlier.",1898-1899,Thomas Eakins,Between Rounds,Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg,50 1/8 x 39 7/8 inches (127.3 x 101.3 cm),4e4ef36b429e
"Made in United States, North and Central America","Gift of Mrs. John Wintersteen in memory of John Wintersteen, 1953",1824,1906,American,Eastman Johnson's depictions of rural life appealed to a widespread sense of nostalgia in the American post-Civil War era.,1878,Eastman Johnson,Barn Swallows,Oil on canvas,http://www.philamuseum.org/images/cad/large/1953-111-1-CX.jpg,27 3/16 x 22 3/16 inches (69.1 x 56.4 cm),2a4ef7b8a5f2
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929",1844,1916,American,"Mrs. Frishmuth (18421926) was a passionate collector of antique musical instruments and early American artifacts, textiles, and samplers, many of which are now in the Philadelphia Museum of Art. In 1897, she gave a large part of her collection to the museum at the University of Pennsylvania (now the University Museum). Eakins very likely hoped that his grand portrait would be acquired by the university to hang with her donation. The university did accept the painting on loan, but eventually returned it to the artist after Eakins removed it repeatedly to send to other exhibitions.",1900,Thomas Eakins,Antiquated Music (Portrait of Sarah Sagehorn Frishmuth),Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-7-CX.jpg,97 x 72 inches (246.4 x 182.9 cm),27d9366e2c3f
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929",1844,1916,American,"Suzanne Santje (1873-1947) was a Philadelphia-born actress who studied music in Berlin and drama in Paris. Eakins shows her not on stage but during a private moment in her study, dressed in a vibrant gown and surrounded by objects, including a script of the romantic drama",1903,Thomas Eakins,An Actress (Portrait of Suzanne Santje),Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-23-sl.jpg,79 3/4 x 59 7/8 inches (202.6 x 152.1 cm),4f603459db58
"Made in United States, North and Central America","Purchased with the John Howard McFadden, Jr., Fund, 1956",1836,1910,American,"Homer's painting cleverly refers to the rising American temperance movement, a crusade against drinking alcohol, by depicting a stout milkmaid pausing while a farmhand drinks from her ladle. Swaying under the weight of her pail and squinting into the sun, she presents the ideal of natural womanhood. Her powerful presence, marked by broad shoulders, muscular arms, and sunburned skin, counters the farmhand's relaxed stance and shaded face, visually reversing traditional gender roles. Far from flirting, the two figures awkwardly avoid each other's gaze, modeling rural wholesomeness and rectitude.",1874,Winslow Homer,A Temperance Meeting,Oil on canvas,http://www.philamuseum.org/images/cad/large/1956-118-1-CX.jpg,20 3/8 x 30 1/8 inches (51.8 x 76.5 cm),6022767330b9
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Purchased with the J. Stogdell Stokes Fund, the Edith H. Bell Fund, and the Katharine Levin Farrell Fund, 1990",1743,1812,American,"Henry Benbridge's scene, which derives from the Greek epic tradition on the Trojan War, is one of the most baroque compositions painted in the Delaware Valley during the eighteenth century. The painting is a copy, in reverse, of a tapestry design by Peter Paul Rubens (Flemish, 1577-1640). In the painting, Achilles has been disguised as a woman and hidden among the daughters of King Lycomedes at the behest of his mother, who knows that he is fated to die if he goes to Troy. Achilles betrays himself by showing too much interest in a helmet and becomes one of Greece's great warriors.",1758-1764,Henry Benbridge,Achilles among the Daughters of Lycomedes,Oil on canvas,http://www.philamuseum.org/images/cad/large/1990-88-1.jpg,26 1/4 x 42 1/4 inches (66.7 x 107.3 cm),6491883d13da
"Made in United States, North and Central America","The William L. Elkins Collection, 1924",1836,1910,American,"Renowned artist Winslow Homer was an avid sportsman and his outdoor subjects reflect an unsentimental view of the conflict between man and nature. In this scene set in the Adirondack region of New York State, earthen colors link the hunter and the environment, making it difficult to distinguish the man from the hill behind him. Homer visited the Adirondacks as one of many vacationers who flocked there in the late nineteenth century. The huntsman in Homers painting is not a visitor but rather a local trapper or guide who has caught a deer and is carrying off its pelt, antlers, and, likely, a pack full of meat.",1891,Winslow Homer,A Huntsman and Dogs,Oil on canvas,http://www.philamuseum.org/images/cad/large/E1924-3-8-CX.jpg,28 1/8 x 48 inches (71.4 x 121.9 cm)\r\nFramed: 37 x 57 inches (94 x 144.8 cm),e2f0ee771eb0
"Made in United States, North and Central America","Gift of Christian Brinton, 1941",1888,1946,American,"Philadelphia art critic Christian Brinton---who donated his extensive collection of modern paintings, sculptures, graphic arts, costumes, and textiles to the Philadelphia Museum of Art in 1941---was a major advocate of Philadelphia-area artists. Impressed by Horace Pippin's contributions to the annual open exhibition at the West Chester Art Association in 1937, Brinton organized a solo exhibition of Pippin's work, which propelled the artist from relative obscurity to national fame. Shortly thereafter, Pippin painted this portrait, an example of his distinctive ability to combine the navet of self-taught art with modern painting techniques.",1940,Horace Pippin,A Chester County Art Critic (Portrait of Christian Brinton),Oil on canvas,http://www.philamuseum.org/images/cad/large/1941-79-139.jpg,21 1/2 x 15 7/8 inches (54.6 x 40.3 cm),6ee8a28b7286
"Made in United States, North and Central America","Purchased with the Edith H. Bell Fund and the J. Stogdell Stokes Fund, 1987",1779,1843,American,"The figures in this meticulously executed scene respond with a variety of emotions to a plan by Petruchio to subdue his argumentative new wife. Proclaiming that her new dress is not good enough, he threatens the tailor. Katharina's atypical composure suggests Petruchio's success in ""taming"" her temper. Best known for biblical history pictures, romantic portraits, and landscapes, Allston was also a poet and novelist. His interest in Shakespeare undoubtedly was stimulated by his close friendship with Shakespearean scholar Samuel Taylor Coleridge. Not long before this picture was painted, the two men had toured Italy, where Allston learned to emulate the lustrous glazes and jewel-like colors of Venetian painting.",1809,Washington Allston,"Scene from Shakespeare's ""The Taming of the Shrew"" (Katharina and Petruchio)",Oil on canvas,http://www.philamuseum.org/images/cad/large/1987-8-1.jpg,27 3/4 x 30 7/8 inches (70.5 x 78.4 cm),4e35be30857c
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Miss Fannie Ringgold Carter, 1949",1743,1812,American,"Enoch Edwards (17511802) was a Philadelphian who trained as a physician and served as a surgeon in the Continental Army (the colonial army formed during the American Revolutionary War). This group portrait commemorates his marriage to the half-sister of Henry Benbridge, who painted the scene. Benbridge depicts himself, along with Dr. Edwardss sister, on the couples left, clothing the bride in a luxurious form of imaginary dress employed by many eighteenth-century artists. Benbridge had traveled to Rome and London to study but returned to his native Philadelphia in 1770. A composition of this type, portraying an informal gathering of family or friends, is called a conversation piece.",1779,Henry Benbridge,Portrait of the Enoch Edwards Family,Oil on canvas,http://www.philamuseum.org/images/cad/large/1949-53-1-ov.jpg,30 x 23 11/16 inches (76.2 x 60.2 cm),a029c9bff5ab
"Made in United States, North and Central America","Gift of Dr. and Mrs. Matthew T. Moore, 1984",1888,1946,American,"Horace Pippin began to paint in earnest in the 1930s, combining the navet of the self-taught artist with an awareness of modern painting styles. World War I, in which he sustained a crippling arm wound, provided a frequent subject for his work, as did childhood memories and religious subjects. Human rights and social issues also often figure in his pictures, but",1943,Horace Pippin,Mr. Prejudice,Oil on canvas,http://www.philamuseum.org/images/cad/large/1984-108-1-CX.jpg,18 1/8 x 14 1/8 inches (46 x 35.9 cm),4635b5a81c6b
