TITLE,AUTHOR,IMAGE__IMAGESRC,DESCRIPTION,VIDEO,production_id
Vermilion Sands and Other Stories from the Neon West,Isa Melsheimer,https://smmoa.org/wp-content/uploads/2012/06/12-03-Isa-Melsheimer.jpg,"Isa Melsheimer: Vermilion Sands and Other Stories from the Neon West is a never-before-seen installation that explores Hollywood s cinematic heyday and its motion picture icons, investigating notions of glamour and luxury as they relate to characters, architecture, and locations in and around Los Angeles.\nSanta Monica Museum of Art Deputy Director Lisa Melandri is curator of Vermilion Sands and Other Stories from the Neon West, in which the artist utilizes commonplace, and largely domestic materials, to create site-specific environments, including a mixture of altered and embroidered t-shirts, live plants, paper, pearls, yarn constructions, and cast concrete sculptures.\nDuring a 2007 residency at Villa Aurora a nonprofit organization located in Pacific Palisades dedicated to German-American cultural exchange Melsheimer became interested in Los Angeles s landscape and architecture, as well as the fictional and historical characters that inhabit these spaces.\nInfluenced by classic Hollywood films such as David Lynch s Mulholland Drive and Billy Wilder s Sunset Boulevard, and the stories of James Graham Ballard, Melsheimer examines the affects of architecture and location on Los Angeles s glamorized cinematic figures; as well as the demise of those figures from lifestyles of fame and financial success. Melsheimer is particularly drawn to examples such as the Salton Sea, a former glamorous resort area new Palm Springs that has since degenerated into a kind of wasteland, and the character Norma Desmond and her shabby mansion from Wilder s iconic film.\nWith Vermilion Sands and Other Stories from the Neon West, Melsheimer wants viewers to be aware that architecture is always representative of ideas or subjects that permeate society. She asks viewers to consider: Which fictional and historical subjects are admired within Los Angeles? Why do residents emigrate from Los Angeles? What aesthetics characterize Los Angeles s buildings; and what sentiments manifest in the region s architecture?\nSome content may be deemed inappropriate for younger viewers.\nSupport for Isa Melsheimer: Vermilion Sands and Other Stories from the Neon West has been provided in part by Institut f鐪塺 Auslandsbeziehungen e.V.鑱絓nAbout the artist:Melsheimer (b. 1968) was born in Neuss, Germany, and lives and works in Berlin. She attended the Hochschule der K鐪塶ste (Academy of Fine Arts), Berlin, and completed a master class with painter Georg Baselitz.\nMelsheimer s work has been shown in solo exhibitions in museums and galleries throughout Europe, including in Paris at Galerie Jocelyn Wolff, in N鍗痬es at Mus鑼卐 d Art Contemporain, in Vienna at Galerie N鐩瞔hst St. Stephan, in Berlin at Esther Schipper Gallery, in Switzerland at Kunsthaus Langenthal, in Maastricht, Netherlands at Bonnefantenmuseum, and in Marfa, Texas at The Chinati Foundation. Melsheimer s work has also been presented in numerous group exhibitions, including in Chamarande, France, at Domaine D鑼卲artemental de Chamarande, in Berlin at Kunsthalle Autocenter, in Copenhagen at the Institute of Contemporary Art, in Istanbul at BM SUMA Contemporary Art Center, in Mexico City at Museo Tamayo, and in Philadelphia at Cereal Art Project Room.\n								",https://smmoa.org/audio/project-room-1-isa-melsheimer/,b74aeac84654
Origin of the Universe,Mickalene Thomas,https://smmoa.org/wp-content/uploads/2012/06/12-2-Interior-Blue-Couch.jpg,"Mickalene Thomas: Origin of the Universe鑱絠s鑱絫he first major solo museum exhibition for the New York-based multi-media artist. Best known for her elaborate paintings of African American women against the backdrop of d鑼卌or recalled from her childhood, Thomas has created an all-new suite of works that examine aspects of landscape painting. She introduces a new model of trans-generational female empowerment as she explores interior and exterior environments in relation to the female figure. The exhibition opens at SMMoA on April 14, 2012 and continues through August 18, 2012. It will then travel to the Brooklyn Museum for display from September 28, 2012 to January 20, 2013.\nThomas is best known for her bold enamel and acrylic paintings adorned with rhinestones, glitter, and  bling.  Her subjects seem to have stepped directly from a 1970s Blaxploitation film, yet Thomas s influences extend far beyond. Her oeuvre stems from her long study of art history and the classical genres of portraiture, landscape, and still life. Thomas s layered鑱絝acture鑱絧rocess begins with a photographic portrait that is translated into a collage, and ultimately reenvisioned as a painting. Her imagery comprises careful borrowings from art history and from contemporary popular culture.\nFor鑱絆rigin of the Universe, Thomas examines art historical constructs of feminine identity, sexuality, beauty, and power in 15 works in a variety of sizes, shapes, and media. Taking cues from Marcel Duchamp s鑱借劇tant Donn鑼卻: 1?la chute d eau, 2?le gaz d 鑼卌lairage?Given: 1.鑱絋he Waterfall, 2.鑱絋he Illuminating Gas) and Gustave Courbet s L Origine du Monde (The Origin of the World), Thomas presents the female figure as the origin of the universe, focusing on how the female body both engenders and inhabits landscape. The works on view are in communication with one another portraits of Qusuquzah and Din gaze out at modernist interiors and plein-air landscapes, all confronted by the artist s arresting recreations of Courbet s Origin.\nIn nineteenth-century visual culture, black female sexuality functioned as something to be rejected or disparaged, but Thomas reconfigures these historical tropes into contemporary statements of empowerment. By casting African American women as the  heroines  of her works, she makes a profound statement regarding gender and racial identity. Thomas s dialogue with Courbet and Duchamp is a strong reclamation of history, reasserting the subjective nature of beauty. In addition to her paintings and photographs, she will create an installation in SMMoA s Project Room 1, to reinvent鑱借劇tant Donn鑼卻, where the  peep show  reveals the true surprise of a 70s-style paneled interior in the place of Duchamp s splayed female body.\nSome content may be deemed inappropriate for younger viewers.\nMickalene Thomas was born in 1971. She earned a Bachelor s of Fine Arts degree from Pratt Institute and a Master s of Fine Arts from Yale University. She has participated in residency programs at the Versailles Foundation Munn Artists Program, Giverny, France, and the Studio Museum in Harlem, New York. Her work has been shown in group exhibitions at the Museum of Contemporary Art Detroit, The Renaissance Society, Chicago, and MoMA PS1, New York, and is included in the important collections of the Museum of Modern Art, New York; the Solomon R. Guggenheim Museum, New York; the National Portrait Gallery, Smithsonian Institution, Washington, D.C. the Whitney Museum of American Art, New York; the Art Institute of Chicago; The Museum of Fine Arts Boston; and the San Francisco Museum of Modern Art.\nMickalene Thomas: Origin of the Universe鑱絠s organized by the Santa Monica Museum of Art; SMMoA Deputy Director Lisa Melandri is the exhibition curator. The exhibition will be accompanied by a series of free, engaging public programs and a full-color, illustrated catalog published by SMMoA and distributed by DAP. The publication includes an interview with the artist by Melandri; an essay that contextualizes Thomas s work by writer/curator Sarah Lewis, Professor at Yale University School of Art; and an in-depth investigation of Thomas s nineteenth-century influences by scholar Denise Murrell,鑱絘 2011 PhD Dissertation Fellow at Reid Hall of Columbia University in Paris.\nGenerous support for this exhibition has been provided by The National Endowment for the Arts, Lehmann Maupin Gallery, New York, The Andy Warhol Foundation for the Visual Arts, and Susanne Vielmetter Los Angeles Projects. Additional support has also been provided by the Los Angeles County Board of Supervisors through the Los Angeles County Arts Commission and Janine and Lyndon Barrois.\n \nAll images ?Mickalene Thomas, Lehmann Maupin Gallery, New York, and Susanne Vielmetter Los Angeles Projects, Photo: Christopher Burke Studio\n								",https://smmoa.org/video/the-making-of-mickalene-thomas-origin-of-the-universe-at-smmoa/,e5781f504a52
Endangered Spaces,Adam Berg,https://smmoa.org/wp-content/uploads/2012/06/12-mg-9304.jpg," \nArtist s acknowledgements and thanks to: The Getty Research Institute, Research Library/photo collection; Julius Shulman photography of Neutra s Kronish House; The friends of the Schindler House; The City of Los Angeles and Barnsdall Art Park; Friends of the Hollyhock House; Joshua White photography of Lautner s Beyer House; Special effects: Maya Zuckerman; Matthew Klein Media; and Edward Cella Art+Architecture\n								",https://smmoa.org/video/gallery-talk-adam-berg-endangered-spaces-at-smmoa/,7ba9a95e1d58
Mirror House,Kelly Barrie,https://smmoa.org/wp-content/uploads/2012/06/Mirror_House_onweb.jpg,"Kelly Barrie: Mirror House is a new, large-format photographic work created especially for Project Room 1 at the Santa Monica Museum of Art. Including drawing, dance, performance, and digital collage, Barrie s work investigates the relationship between historical memory and aesthetic practice in this case, using Hurricane Katrina as the backdrop.\nBarrie uses images of the effects of traumatic events as his artistic source material. Mirror House began with a found photograph of a flooded house and tree from New Orleans in the aftermath of Katrina. The ghost image of the scene evokes a dreamscape rather than a pictorial representation of a calamity. The end result is a poignant, Surrealist-like mural that transforms a real-life disaster into a disorienting but beautiful reverie.\nBarrie s multi-dimensional process combines many artistic genres. He  performs  his response to found photographs on his studio floor by literally drawing the image with his feet, dragging photo-luminescent pigment on black paper with toe drags, heel spins, snake walks, and foot sweeps. He then photographs his  drawing  with a 35 mm camera utilizing natural daylight stored in the light-sensitive powder. The powder s light is released by using the vertical blinds in the studio as a type of aperture. More than seventy photographs were taken with a grid system to document the drawing. Barrie then digitally stitched these photographs together to construct the finished work which is both haunting and painterly.\nThis exhibition has been supported by David Knaus. Special thanks to Michael Maloney.\n								",https://smmoa.org/audio/project-room-2-kelly-barrie-the-mirror-house/,6434199de512
"Career  Woman閳ユ弴rawings, Paintings, Vessels, and Objects",Beatrice Wood,https://smmoa.org/wp-content/uploads/2012/06/12-2-green.jpg,"Beatrice Wood: Career Woman閳ユ弴rawings, Paintings, Vessels, and Objects offers a comprehensive survey and a new assessment of this emblematic California artist a scholarly, commemorative evaluation of Wood, whose extraordinary life and career traversed and contributed to the cultural and artistic highlights of the entire 20th century. SMMoA Executive Director Elsa Longhauser and Deputy Director Lisa Melandri are co-curators for the exhibition.\nBeatrice Wood: Career Woman is part of Pacific Standard Time: Art in L.A. 1945-1980. This unprecedented collaboration, initiated by the Getty, brings together more than sixty cultural institutions from across Southern California for six months beginning October 2011 to tell the story of the birth of the L.A. art scene. An artist who worked on both the East and West coasts and bridged gaps between areas as disparate as New York Dada and Southern California ceramics, Wood (1893-1998) was a vital contributor to the art scene of the period and is thus a key player in the Pacific Standard Time project.\nBeatrice Wood: Career Woman includes over 100 works of art. The exhibition begins with Wood s early Dada work, which includes drawings, paintings, posters, prints, and illustrated albums and travelogues. Wood first encountered Dada a primary creative and personal influence in New York, arising from her intimate friendships with Marcel Duchamp and the collectors Walter and Louise Arensberg. It was Dada that first inspired Wood to become an artist, and it shaped her creative thinking for the rest of her life. The exhibition also feature prominent examples of Wood s ceramics created from the 1940s until her death in 1998. Wood was exceptionally prolific, even given her remarkable longevity. She repeatedly investigated and revisited a number of subjects, forms, and materials over a 60- to 70-year period.\nThough Wood did not turn to ceramics until 1933 at the age of 40, she became an accomplished clay artist and went on to produce some of her most notable works well into her 90s. Her experimentation with ceramic glazing and firing was extraordinary, a compendium of clay technique. She first began to experiment with clay pieces that took the form of tiles or plates. By the 1980s, Wood was creating objects on a much larger scale, such as colossal goblets more than a foot tall and wide. The exhibition will survey the full range of her ceramics from the miniature to the large-scale, from the utilitarian to the decorative, and from the vessel to figurative sculpture.\nA fully-illustrated 144-page comprehensive catalog, published by the Santa Monica Museum of Art, accompanies the exhibition and offers a scholarly assessment of Beatrice Wood. This elegant publication includes 58 full-color plates, over 90 photographs, forward and acknowledgements by curators Elsa Longhauser and Lisa Melandri, original texts by Garth Clark, Kathleen Pyne and Jenni Sorkin, Wood s original diaries annotated and edited by Francis M. Naumann and Marie T. Keller, and a chronology by Lida M. Sunderland. The catalog s essays range from the examination of Wood s threshold position in early modernism, to her relationship with the Theosophical community in Ojai, as well as a technical evaluation of her work in clay. Wood began her life in art as a dilettante, and emerged a serious artist, nearly fifty years later. The accompanying writings illuminate the evolution of her work and document the art historical trajectory that delineates her vibrant contribution to the canon of Twentieth Century art.\nWood created a complex, thoughtful, and inexhaustible oeuvre, one that is equal parts narrative and form, equal parts poetry and wit. Her irrepressible sensibility could be bold, audacious, insouciant, sexually charged, and at times biographical. This exhibition will honor Wood s indomitable spirit and dynamic artistic force, a pairing that produced a mature body of work that defines her importance as an artist. Watch the behind-the-scenes video of Beatrice Wood: Career Woman Drawings, Paintings, Vessels, and Objects. The exhibition and publication are underwritten by lead grants from the Getty Foundation.\nGenerous support has also been provided by the LLWW Foundation. Additional support has been given by Rosa and Bob Sinnott; The Bluhm Family Foundation; Julie Chapgier and Brian Biel; the Frederick R. Weisman Art Foundation; Susie and Jaime Gesundheit; the Kayne Foundation; Ric   Suzanne Kayne and Jenni, Maggie   Saree; the Pasadena Art Alliance; and Brenda R. Potter.\nThe exhibition was designed by potter Adam Silverman, partner and studio director of Heath Ceramics in Los Angeles.  Beatrice Wood: Career Woman is part of Pacific Standard Time: Art in L.A., 1946-1980.\nGenerous Support Provided By South Coast Plaza, The Coffee Bean   Tea Leaf, Tiffany   Co.\nJohn and Louise Bryson, David and Marianna Fisher, The Mohn Family Foundation, Anne and Jim Rothenberg, Elizabeth and Henry Segerstrom, Christina and Mark Siegel, Maria Hummer-Tuttle and Robert Holmes Tuttle\nAdditional Support Provided By The Ahmanson Foundation, The Broad Art Foundation, California Community Foundation, The James Irvine Foundation, W. M. Keck Foundation, The Ralph M. Parsons Foundation, Sotheby s\nClick here for a full list of Pacific Standard Time鑱絪ponsors\nAbout Pacific Standard Time: Art in L.A. 1945   1980 Pacific Standard Time is a collaboration of more than sixty cultural institutions across Southern California, coming together for six months beginning in October 2011 to tell the story of the birth of the Los Angeles art scene and how it became a major new force in the art world. Each institution will make its own contribution to this grand-scale story of artistic innovation and social change, told through a multitude of simultaneous exhibitions and programs. Exploring and celebrating the significance of the crucial post-World War II years through the tumultuous period of the 1960s and 70s, Pacific Standard Time encompasses developments from L.A. Pop to post-minimalism; from modernist architecture and design to multi-media installations; from the films of the African American L.A. Rebellion to the feminist activities of the Woman s Building; from ceramics to Chicano performance art; and from Japanese American design to the pioneering work of artists  collectives. Initiated through $10 million in grants from the Getty Foundation, Pacific Standard Time involves cultural institutions of every size and character across Southern California, from Greater Los Angeles to San Diego and Santa Barbara to Palm Springs.\n								",https://smmoa.org/video/visions-of-india-in-california-at-the-smmoa/,61f077427811
Wire Instruments and Pet Stains,Al Taylor,https://smmoa.org/wp-content/uploads/2012/09/Peabody.jpg,"Al Taylor: Wire Instruments and Pet Stains is the first American survey of work by this important and prolific artist. The exhibition features two major series in Taylor s vast oeuvre: Wire Instruments (1989-1990) and Pet Stains (1989-1992). These distinctive bodies of work will illustrate the importance of Taylor s process and creative breadth.\nTaylor was born in Springfield, Missouri in 1948. He studied at the Kansas City Art Institute and moved to New York in 1970, where he lived and worked until his death at the age of 51 from lung cancer in 1999. Taylor worked for many years as studio assistant to Robert Rauschenberg (where he met his future wife Debbie) and was acquainted with such burgeoning luminaries as James Rosenquist, Cy Twombly, and Brice Marden. Although these relationships nourished Taylor s abundant talent, his future work was inspired but not defined by these friendships. Out of financial necessity, he scavenged art materials from the street. His connection with the commonplace which remained unpredictable and deep resulted in a body of work that is singular, inventive, and eloquent.\nTaylor began his studio practice as a painter in the seventies and early eighties. By 1985, however, he had developed a unique approach to process that encompassed a synergistic relationship between two-dimensional drawings and three-dimensional assemblages. Taylor s goal was to create a new way to experience and envision space; the works from this period helped him refine his investigations of visual perception across several dimensions.  Al felt that his work was research into vision,  says Debbie Taylor.  His work is really about looking, but he used everything around him. Seeing something could lead him to making one of these pieces, that could combine with something that he d read that morning, or with some music playing on the stereo, or with something on TV. Any of those things could inspire him. \nTaylor made no distinction between his three-dimensional constructions and his drawings. Dismissing the term  sculpture,  he preferred to see the 3-D work as  drawing in space.  Fashioned from such simple elements as wooden broomsticks, wire, carpentry remnants, and other ephemera, his constructions offer a multitude of distinct points of view. Taylor s drawings, in fact, often inspired the development of his three-dimensional works, which he created as an extension, in order to  see more.  Taylor remarked that  [the work] isn t at all about sculptural concerns; it comes from a flatter set of traditions. What I am really after is finding a way to make a group of drawings that you can look around. Like a pool player, I want to have all the angles covered. \nThe drawings and constructions titled Wire Instruments show Taylor experimenting with the simplest variations of geometric form (especially the triangle). These fragile ink, pencil, and gouache drawings and wood and wire constructions have not been the focus of any previous exhibitions or scholarly investigation. Their simplicity and ephemeral beauty provide a poignant glimpse into Taylor s creative production.\nThe body of work called Pet Stains (which includes Pet Stains, Pet Names, Pet Stain Removal Devices, and the Peabody Group) portrays sensuous, abstract imagery of drop-like puddles, formulated with toner, paint, or ink on paper. The constructions in this series are made from wood and Plexiglas that is dribbled and dripped with paint of every viscosity. In this series, Taylor transformed patterns of dog urine on an urban sidewalk into art. The playful ease and subtle humor of these works is apparent: various pee-stains are often tagged with imaginary names of the dogs/artists who made them Buddy, Norman, Getty, Goya, and Everready or, with a nod to Duchamp, given such titles as Puddle Descending a Staircase, and so on. Again, as in Wire Instruments, permutation and variation on the theme is integral to his process how many pet names, how many puddles of pee can he transform into nuanced drawings or quirky constructions.\nWire Instruments and Pet Stains will include 47 works. Connie Butler, The Robert Lehman Foundation Chief Curator of Drawings at the Museum of Modern Art, will contribute a major essay to accompany the exhibition.\nMajor support for the exhibition is generously provided by The Andy Warhol Foundation for the Visual Arts and The Audrey and Sydney Irmas Charitable Foundation. Additional support is provided by the Frederick R. Weisman Foundation, Susan and Leonard Nimoy, and David Zwirner, New York.\n								",https://smmoa.org/audio/introduction-al-taylor-wire-instruments-and-pet-stains/,14f56ebe3a14
Recent Paintings,Daniel Cummings,https://smmoa.org/wp-content/uploads/2012/06/1.Metro-shadow_onweb.jpg,"Daniel Cummings: Recent Paintings is the artist s first museum exhibition. Cummings (b. 1980) is a graduate of the MFA program at UCLA in sculpture, where he transferred his interest in 3-dimensional objects to painting. His abstract work plays with space and color in a variety of scales. The result: Deceptively simple, formal compositions that belie complex figure/ground relationships.\nThis exhibition will feature six new works that investigate surface and pictorial depth, as well as the space between abstraction and figuration. In works like Metro, figures seem to emerge from shadowy environments, alluding to deep space and movement. Works like Untitled-with its central, ghostly, soft pink blur placed on background shapes in orange, blue, white, and black-deftly combine loose and semi-transparent washes with carefully wrought pictorial structure. Born in Pittsburgh, he lives and works in Los Angeles.\n								",https://smmoa.org/audio/project-room-2-daniel-cummings-recent-paintings/,db9effa21e6f
"Between My Hands to Water Falling, Selected Works from 1990-2010",Andrew Lord,https://smmoa.org/wp-content/uploads/2012/06/river-Spodden-at-Healey-Dell-Whitworth-III.jpg,"Andrew Lord is a British artist working in New York and the Netherlands, who, from his earliest exhibitions in the late 1970s, has explored sculptural and pictorial concerns through clay, plaster, beeswax, bronze, video, drawing, and printmaking. Lord s work transforms sensation into physical form charged with emotion, reflection, physical identity, and personal history.\nIn Lord s exhibition for SMMoA, elements from five series of works represent developments in his oeuvre from the 1990s to the present day. Breathing, biting, swallowing, tasting, smelling, listening, watching is a landmark series of forms (1992-1998) in which Lord transforms abstract sensation into material form by molding his own body into clay with repeated applications of his chest, teeth, neck, nostrils, ears and eyes. By using his body as a tool, he translates the senses hearing, seeing, tasting, feeling from their liminal states into tactile and visual objects. In another series round, modeling, marking, touching and holding, pressing and squeezing, palm, fist Lord explores the sculptural variations made by the actions and gestures of his hands.\nIn untitled series (2004), Lord observes and rebuilds the ceramics of Paul Gauguin, who has been a pivotal influence for him since the 1970s. Lord s untitled series explores Gauguin s enigmatic narrative in clay, of figures emerging from a natural landscape or engaged in everyday activity.\nMore recently in Whitworth (2009), Lord built a series of clay sculptures that record the monuments, landscapes and people of his birthplace Whitworth, in Lancashire, England. In these works he uses memory as a sense in itself, giving it three-dimensional form. By imbuing the act of remembering with corporeal potential, Lord creates a sculptural map of the town, navigating his personal history through the recognizable landmarks of Whitworth s geography. Lord is also creating river Spodden at Healey Dell, a new series of plaster and beeswax sculptures that depict abstracted elements of the river on its rocky course through Whitworth. A video of the same name, made in 2008, accompanies the sculptures.\nLord studied at Rochdale College of Art, England and later at the Central School of Art and Design, London. His work is in the collections of the Art Institute of Chicago; the Museum of Modern Art, New York; Stedelijk Museum, Amsterdam; Museum Boijmans van Beuningen, Rotterdam; and The Carnegie Museum of Art, Pittsburgh, PA. Lord has had solo exhibitions at Galerie Art   Project, Amsterdam; The Carnegie Museum of Art; Camden Arts Centre, London; and Rijksmuseum Twenthe, Enschede. His work has been included in Westkunst-Heute at the Museen dr Stadt, K鏋歭n; the 1995 Whitney Biennial; Site and Insight at PS1, New York; and The Third Mind at the Palais de Tokyo, Paris.\nSMMoA is collaborating with Milton Keynes Gallery in England on the production of a major catalogue that features an interview between Lord and James Rondeau (Curator, Frances and Thomas Dittmer Chair of Contemporary Art, The Art Institute of Chicago), and an essay by independent curator and scholar, Linda Norden. The combined exhibitions at SMMoA and Milton Keynes Gallery will comprise a comprehensive survey of Lord s work.\nThe exhibition curator for Andrew Lord: between my hands to water falling, selected works from 1990 to 2010 is Elsa Longhauser, SMMoA Executive Director.\nMajor support is generously provided by The Andy Warhol Foundation for the Visual Arts, Abby Sher, the Frederick R. Weisman Foundation, and Gladstone Gallery\n								",https://smmoa.org/audio/andrew-lord-between-my-hands-to-water-falling-selected-works-from-1990-to-2010/,f5d5a170591f
Luminescence,Arik Levy,https://smmoa.org/wp-content/uploads/2012/06/Levy_red_cloudOnWeb.jpg,"Born in Tel Aviv, Israel, and now working in Paris, Arik Levy is an industrial designer who finds inspiration in the elements and natural forms.\nLevy has also created stage designs for contemporary dance and opera that illustrate his passion for space, exchange and the relationship to the body. His company L Design was founded with partner, graphic designer Pippo Lionni, and encompasses product development, packaging, signage, visual identity, lighting, store and interior design. Their strikingly creative projects in lighting and furniture are produced for Ligne Roset, L`Oreal, Boucheron, Renault, and Vitra.\nLevy`s work for SMMoA`s Project Room consists of two flower-like chandeliers, one red, one blue, made of very thin fluorescent tubes and hanging from a long wire. These fragile, tiny, bulbs hang over a stainless steel table in the form of a log, reflecting off its facets the colored light of the chandeliers above.\nAfter attending Art Center Europe in Switzerland where he studied the history of design, Levy received a diploma in industrial design in 1991. He is also the winner of the Seiko Epson Inc. contest. Levy participated in the 2005 group exhibition at MoMA, Safe: Design Takes on Risk with his bulletproof jacket made from swan feathers, garnering accolades from within the international design community.?As a designer, technician, artist, photographer, and filmmaker, Levy`s multi-disciplinary skills have been shown in prestigious galleries and museums worldwide, including Wright20 Gallery, Chicago; Moss Gallery, New York; Victoria   Albert Museum, London; Centre Georges Pompidou, Paris; the Israel Museum in Jerusalem; and the Museum of Modern Art in New York.\nSupport for the exhibition is generously provided by The Philip and Muriel Berman Foundation.\n								",https://smmoa.org/audio/project-room-1-arik-levy-luminescence/,1125d7d7bd1e
RING,Park Studio,https://smmoa.org/wp-content/uploads/2012/06/Dominique.jpg,"Park Studio is the Santa Monica Museum of Art s signature free outreach program offered to neighborhood high school students during spring break. This year, SMMoA s Park Studio collaborates with the LA Opera for Ring Festival LA, which runs from April 15 to June 30, 2010. An exhibition of student work inspired by the themes of Richard Wagner s opera, Der Ring des Nibelungen, entitled Park Studio: RING, will be on view at SMMoA from May 15 through August 21, 2010. Park Studio is developed and organized by Asuka Hisa, SMMoA`s Director of Education.\nThis summer, LA Opera unveils the first complete performances of Richard Wagner`s Ring Cycle ever presented in Los Angeles. In celebration of this monumental event, LA Opera has joined forces with Los Angeles  cultural and educational institutions to stage the first significant citywide cultural festival since the 1984 Olympic Arts Festival. SMMoA s partnership with the LA Opera for Ring Festival LA aligns with the goals of the Park Studio program.\nFor Park Studio: RING, approximately twenty high school students will learn about Richard Wagner s seminal work and explore the symbolism of the ring in the opera power, jealousy, desire which has parallels in today s culture. They will participate in Ring Cycle discussions with SMMoA s educators, collaborating artists, and guest speakers, visit the backstage of the LA Opera, and enjoy a dress rehearsal of G鏋歵terd鐩瞞merung. Finally, with the help of environmental artist Gordon Bowen and his Arts ReFoundry Atelier (a portable foundry made completely from recycled materials), students will interpret the meaning and power of the ring to cast their own original bronze ring-shaped sculptures. The exhibition of the student s bronze works will be displayed at SMMoA from May 15 to August 21, 2010.\nPark Studio takes interdisciplinary art education outside museum walls and into the community. This free program is held annually during the spring break, when contemporary artists lead workshops, art history lessons, and field trips to cultural sites. Park Studio is open to high school students residing or attending school in the Santa Monica Malibu Unified School District. Students enrolled at Santa Monica`s Olympic High School, a continuation school, may receive a full semester credit toward earning their high school diploma. SMMoA presents this program in partnership with the City of Santa Monica Cultural Affairs Department and the Teen Center at Virginia Avenue Park.\nFor over 10 years, Park Studio has provided unforgettable and formative experiences for teens. Through transformative experiences of art making and collaboration with established artists and organizations, participants gain access to ideas and opportunities that have the potential to shape their adult lives.\n								",https://smmoa.org/video/park-studio-ring-at-smmoa-2/,59eac4747e16
