technique,provenance,title,imageUrl,dimensions,artist,additionalInfo,url,production_id
Cast bronze with patina,Gift of Florence Kricheff in loving memory of Alexander Kricheff,Bust of Frederick Douglass,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDouglass+bust%2Ejpg,"26"" H x 24"" W x 12.5"" D",Alexander Kricheff,"Bust of Frederick Douglass (1818-1895) ""portrayed as a young man at the height of his power from photographs taken at that time"".",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alexander+Kricheff&whereclause=where+maker%3D%27Alexander+Kricheff%27+OR+cleanmaker%3D%27Alexander+Kricheff%27+OR+maker1%3D%27Alexander+Kricheff%27+OR+maker2%3D%27Alexander+Kricheff%27+OR+maker3%3D%27Alexander+Kricheff%27+OR+maker4%3D%27Alexander+Kricheff%27+OR+maker5%3D%27Alexander+Kricheff%27&current_record=1,01424a58e3f4
Mixed media/cement fresco on wood,Gift of Gary and Tracy Mezzatesta,Bramble Dance,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FBrambleMan%2EJPG,"74"" H x 31.5"" W",Alison Saar,Red male figure (modeled after Saint Sebastian) attempting to remove bramble that has pierced various portions of his body.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alison+Saar&whereclause=where+maker%3D%27Alison+Saar%27+OR+cleanmaker%3D%27Alison+Saar%27+OR+maker1%3D%27Alison+Saar%27+OR+maker2%3D%27Alison+Saar%27+OR+maker3%3D%27Alison+Saar%27+OR+maker4%3D%27Alison+Saar%27+OR+maker5%3D%27Alison+Saar%27&current_record=1,506d7e67c2ed
photograph,Gift of The Ella Fitzgerald Charitable Foundation,"Photographs of Performing Artists, 1973-1989 [Ella Fitzgerald]",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5CFringe%2Ejpg,"10"" H x 8"" W",Allen J. Winigrad,photograph of Ella Fitzgerald performing in a yellow satin dress; used by Pablo recordings.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Allen+J%2E+Winigrad&whereclause=where+maker%3D%27Allen+J%2E+Winigrad%27+OR+cleanmaker%3D%27Allen+J%2E+Winigrad%27+OR+maker1%3D%27Allen+J%2E+Winigrad%27+OR+maker2%3D%27Allen+J%2E+Winigrad%27+OR+maker3%3D%27Allen+J%2E+Winigrad%27+OR+maker4%3D%27Allen+J%2E+Winigrad%27+OR+maker5%3D%27Allen+J%2E+Winigrad%27&current_record=1,9185d2172092
Oil on panel,Gift of Dr. and Mrs. Leon O. Banks,Still Life ( Mexico),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CALMA%2EJPG,"33 x 25""",Alma Woodsey Thomas,A rather abstract still life painting of a vase of flowers resting on a table top with a smaller vase of pot containing a plant sitting next to it.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alma+Woodsey+Thomas&whereclause=where+maker%3D%27Alma+Woodsey+Thomas%27+OR+cleanmaker%3D%27Alma+Woodsey+Thomas%27+OR+maker1%3D%27Alma+Woodsey+Thomas%27+OR+maker2%3D%27Alma+Woodsey+Thomas%27+OR+maker3%3D%27Alma+Woodsey+Thomas%27+OR+maker4%3D%27Alma+Woodsey+Thomas%27+OR+maker5%3D%27Alma+Woodsey+Thomas%27&current_record=1,20dbd527617d
Oil on canvas,Gift of Frank and Ruth Drucker,Untitled,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAlonzo%5FDavis%5CDavis%5FFlag%2EJPG,"49.5 x 41""",Alonzo Joseph Davis,"Altered version of United States flag with eight red & white vertical stripes, nine red & white horizontal stripes, with blue field depicting abstract white and black figures--on a black and white background split equally in half.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alonzo+Joseph+Davis&whereclause=where+maker%3D%27Alonzo+Joseph+Davis%27+OR+cleanmaker%3D%27Alonzo+Joseph+Davis%27+OR+maker1%3D%27Alonzo+Joseph+Davis%27+OR+maker2%3D%27Alonzo+Joseph+Davis%27+OR+maker3%3D%27Alonzo+Joseph+Davis%27+OR+maker4%3D%27Alonzo+Joseph+Davis%27+OR+maker5%3D%27Alonzo+Joseph+Davis%27&current_record=1,a10e53f31873
Oil on canvas,Gift of Frank and Ruth Drucker,Black Square,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAlonzo%5FDavis%5CDavis%5FBlkSquare%2EJPG,"31.75 x 26.25""",Alonzo Joseph Davis,Painting of white and natural colored figures on three (3) different colored quadrants. The upper PL quadrant is blue.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alonzo+Joseph+Davis&whereclause=where+maker%3D%27Alonzo+Joseph+Davis%27+OR+cleanmaker%3D%27Alonzo+Joseph+Davis%27+OR+maker1%3D%27Alonzo+Joseph+Davis%27+OR+maker2%3D%27Alonzo+Joseph+Davis%27+OR+maker3%3D%27Alonzo+Joseph+Davis%27+OR+maker4%3D%27Alonzo+Joseph+Davis%27+OR+maker5%3D%27Alonzo+Joseph+Davis%27&current_record=2,5d73374ffc42
Rotogravure on paper,"Gift of Christine Roberts, in memory of her Grandmother, Christina Palmer Schoene",99th Pursuit Squadron First Annual Banquet,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CAAPS%5FFirstAnnualBanquet%2Ejpg,"10"" H x 7.25"" W",American Anti-Predjudice Society,"Program dedicated to the ""brave, determined members of the 99th Air Squadron, who stood the acid test while all the world looked on, and downed eight of the enemy planes manned by Germany's 'supermen' forcing the rest of the opposing forces to flee.""",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+American+Anti%2DPredjudice+Society&whereclause=where+maker%3D%27American+Anti%2DPredjudice+Society%27+OR+cleanmaker%3D%27American+Anti%2DPredjudice+Society%27+OR+maker1%3D%27American+Anti%2DPredjudice+Society%27+OR+maker2%3D%27American+Anti%2DPredjudice+Society%27+OR+maker3%3D%27American+Anti%2DPredjudice+Society%27+OR+maker4%3D%27American+Anti%2DPredjudice+Society%27+OR+maker5%3D%27American+Anti%2DPredjudice+Society%27&current_record=1,bff157d41ba5
printed on paper,Gift of MacDonald and Charlotte Jean Jones,"""Jump For Joy""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMusic%5Fprograms%5CJump2%2Ejpg,"11.75"" H  x 8.75"" W","American Revue Theatre (Walter Jurmann, Chairman)","Eight page booklet (playbill) for Duke Ellington's performance in ""Jump For Joy"" featuring Dorothoy Dandridge, Ivy Anderson and Herb Jeffries.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29&whereclause=where+maker%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+cleanmaker%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker1%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker2%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker3%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker4%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker5%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27&current_record=1,ead1816fbd9f
Copper Plate Engraving with Recent Hand Coloring,Gift of Edward T. Garcia,"Plan du Fort Anglois de Juida, ou Fort Williams",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CGarcia%5FFtWilliams%2Ejpg,"10"" H x 7.25"" W",Antoine-François Prevost,"Small engraving of Fort Williams which was one of the many infamous slave forts that were built along Africa west coast in the 17th and 18th centuries. Extracted from Prevost's ""L`Histoire Generale des Voyages"" (vol. IV, no. 11).",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Antoine%2DFran%E7ois+Prevost&whereclause=where+maker%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+cleanmaker%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker1%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker2%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker3%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker4%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker5%3D%27Antoine%2DFran%E7ois+Prevost%27&current_record=1,cd145655b5b1
lithograph,Bequest of Alfred C. Darby,untitled,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTapies%5FAntoni%2Ejpg,"28¾"" x 34¾""",Antoni Tàpies,"Abstract lithograph in black, grey and beige colors. Edition number 62/150, signed in bottom right corner by artist.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Antoni+T%E0pies&whereclause=where+maker%3D%27Antoni+T%E0pies%27+OR+cleanmaker%3D%27Antoni+T%E0pies%27+OR+maker1%3D%27Antoni+T%E0pies%27+OR+maker2%3D%27Antoni+T%E0pies%27+OR+maker3%3D%27Antoni+T%E0pies%27+OR+maker4%3D%27Antoni+T%E0pies%27+OR+maker5%3D%27Antoni+T%E0pies%27&current_record=1,0942706ed6dc
