name,artist,title,year,description,image,production_id
Armand Hammer Collection,Gustave Moreau,Salome Dancing Before Herod,1876,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/939/600/450.JPG,399bc368778c
Armand Hammer Collection,Camille Pissarro,"The Boulevard Montmartre, Mardi Gras",1897,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/940/600/450.JPG,756e1bc86c8b
Armand Hammer Collection,Rembrandt van Rijn,Juno,1662-1665,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/955/600/450.JPG,54ca84ae4316
Armand Hammer Collection,Paul Gauguin,Bonjour Monsieur Gauguin,1889,Oil on canvas on panel. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/938/600/450.JPG,f3643a99e357
Armand Hammer Collection,John Singer Sargent,Dr. Pozzi at Home,1881,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/943/600/450.JPG,c763722508fd
Armand Hammer Collection,Vincent van Gogh,Hospital at Saint-Remy,1889,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/951/600/450.JPG,849e737be860
Armand Hammer Collection,Henri Fantin-Latour,Portrait of Miss Edith Crowe,1874,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/936/600/450.JPG,dd7e944b928f
Armand Hammer Collection,Henri de Toulouse-Lautrec,"Touc, Seated on a Table",1879-1881,Oil on panel. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/950/600/450.JPG,2705f3558e21
Hammer Contemporary Collection,John Baldessari,Person with Guitar (Red),2005,"Five-color screen print construction. Hammer Museum, Los Angeles. Purchased with funds provided by Brenda Potter and Michael Sandler.",http://hammer.ucla.edu/image/560/600/450.JPG,b11b08e99edd
Hammer Contemporary Collection,Nathan Mabry,Mosaic Mask (XXX),2007,"Colored pencil and Swarovski crystal on mylar. Hammer Museum, Los Angeles. Gift of Campari, USA.",http://hammer.ucla.edu/image/2143/600/450.JPG,e4098fdbf6a3
Hammer Contemporary Collection,Michaël Borremans,The Skirt,2005,"Oil on cardboard. Hammer Museum, Los Angeles. Purchased with funds provided by the Buddy Taub Foundation, Dennis Roach, Director.",http://hammer.ucla.edu/image/959/450/450.JPG,a29659257fbc
Hammer Contemporary Collection,Llyn Foulkes,The Crucifixion,1985,"Mixed media. 29 x 21 in. (73.7 x 53.3 cm). Hammer Museum, Los Angeles. Purchased with funds provided in part by Jean Stein. Photo by Robert Wedemeyer. Courtesy of the artist and Kent Gallery, New York.",http://hammer.ucla.edu/image/2132/600/450.JPG,9e946d20181a
Hammer Contemporary Collection,Christopher Williams,"Supplement '96, Conversation with a Flight Attendant",1996,Video. Gift of Soo Jin Jeong-Painter and Patrick Painter.,http://hammer.ucla.edu/image/960/450/450.JPG,2482895da097
Hammer Contemporary Collection,Nic Hess,Spindle Implosion (Automatic Crash Response),2009,"Tape. 6 1/2 x 20 1/2 x 7 in. (16.5 x 52.1 x 17.8 cm). Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/4281/600/450.JPG,c07af00b89d5
Hammer Contemporary Collection,Hirsch Perlman,"Operation Idiocracy, Roll 3, Frames 3/4",2007,"Chromogenic print. 56 x 63 in. (142.24 x 160 cm) framed. Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2133/600/450.JPG,32e441f449aa
Hammer Contemporary Collection,Liz Craft,Hairy Guy (with flower basket),2005,"Bronze and oil paint. 41 x 44 x 30 in. (104.1 x 111.8 x 76.2 cm) Hammer Museum, Los Angeles. Gift of David and Tia Hoberman.",http://hammer.ucla.edu/image/2151/600/450.JPG,2e0aa8a9f679
Hammer Contemporary Collection,Richard Hawkins,disembodied zombie george green,1997,"Inkjet print. 47 x 36 in. (119.4 x 91.4 cm) Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2147/600/450.JPG,4e8d4c7e5481
Hammer Contemporary Collection,Andrea Bowers,Nonviolent Civil Disobedience Drawing (Elvira Arellano in Sanctuary at Adalberto United Methodist Church in Chicago as Protest Against Deportation),2007,"Colored pencil on paper. 30 x 22 1/4 in. (76.2 x 56.6 cm) Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2141/600/450.JPG,e03a91b70937
Hammer Contemporary Collection,Dinh Q. Le,Untitled (Red),2007,"C-print and linen tape. Hammer Museum, Los Angeles. Purchased with funds provided by Larry and Susan Marx.",http://hammer.ucla.edu/image/2138/600/450.JPG,b15bd0637cf5
Hammer Contemporary Collection,Whitney Bedford,Houdini (Upside Down),2007,"Ink and oil on unprimed paper. Hammer Museum, Los Angeles. Purchased with funds provided by Larry and Susan Marx.",http://hammer.ucla.edu/image/2136/450/450.JPG,2bc8bc453e10
Hammer Contemporary Collection,Shahzia Sikander,Pathology of Suspension #4,2005,"Ink and gouache on prepared paper. Hammer Museum, Los Angeles. Gift of Rosette V. Delug.",http://hammer.ucla.edu/image/2149/450/450.JPG,3d382fcba08b
Hammer Daumier Collection,Honoré Daumier,Le passe. Le present. L’avenir.,1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/998/600/450.JPG,c838187e15d5
Hammer Daumier Collection,Honoré Daumier,Un Avocat Plaidant (The Pleading Lawyer),1845,"Watercolor, ink, gouache,  and charcoal. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ",http://hammer.ucla.edu/image/981/600/450.JPG,e9ce237e1289
Hammer Daumier Collection,Honoré Daumier,Les Avocats (The Lawyers) ,1860,Oil on canvas. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/983/600/450.JPG,39893a8f4589
Hammer Daumier Collection,Honoré Daumier,Don Quixote et Sancho Panza (Don Quixote and Sancho Panza),1866-1868,Oil on canvas. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/982/600/450.JPG,d736745d50df
Hammer Daumier Collection,Honoré Daumier,"-Dites donc, papa Drouillet, avec c'te envergure lå, vous devez pas nager comme un Dauphin. -Oui mais vous, vous étes joliment taillé pour faire la planche. -Well say then, papa Drouillet, with that breadth, you shouldn't swim like a Dolphin. -Yes, but you, you are beautifully sized to be the gangblank.",1840,"Lithograph. Sheet: 10 1/4 x 13 1/2 in. (26 x 34.3 cm). The Armand Hammer Daumier and Contemporaries Collection, Gift of Dr. Armand Hammer. Hammer Museum, Los Angeles.",http://hammer.ucla.edu/image/5899/600/450.JPG,818b9ee3b3e1
Hammer Daumier Collection,Honoré Daumier,"M.M. Victor Hugo et Emile Giradin cherchent á élever le prince Louis sur un Pavois, ça n’est pas très solide! (Misters Victor Hugo and Emile Girardin trying to raise Prince Louis, it isn’t very solid!)",1848,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/984/600/450.JPG,7c5728e5c526
Hammer Daumier Collection,Honoré Daumier,Ratapoil,1925,Bronze. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer. ,http://hammer.ucla.edu/image/985/600/450.JPG,947098d38ffa
