dimensions,title,photo,technique,credittext,artyear,link,artdesc,nationality,artist,artist_birth,artist_death,production_id
38 x 30 inches,Portrait of Florence Pierce,http://www.mfah.org/site_media/cache/72/7c/727c9b61b85b16d432a79031137e3d6b.jpg,Oil on canvas,Gift of Mr. and Mrs. Meredith Long in memory of Agnes Cullen Arnold,1914,http://www.mfah.org/art/100-highlights/portrait-florence-pierce/,"Florence (Flossie) Pierce was the daughter of a lighthouse keeper who lived on an island off the coast of Maine, where artist George Bellows spent several summers. In this portrait of her, Bellows experiments with bold color arranged in large blocks. At the same time, he suggests a complex psychological presence conveyed by the brightly lit gaze of his subject. (International Exhibition of Modern Art). uBellows was associated with the Ashcan School, a group of painters in New York City who celebrated everyday subject matter in paintings of the urban scene. His energetic style and broad brushwork won immediate praise and recognition, and at the age of 27, he was elected as one of the youngest associates in the history of the National Academy of Design. Four years later, in 1913, he became an academician and exhibited in New York's landmark Armory Show , His exposure there to modern European art is evident in the heightened color, and concern for form and structure, seen in Portrait of Florence Pierce . The dramatic lighting and loose paint handling, especially beautiful in the sitter's foreshortened arm and hand draped over the chair back, are characteristic of the powerful, realistic portraits that Bellows painted throughout his career.",American,George Bellows,1882,1925,00189732c277
4 3/4 x 3 5/8 inches,Advertisement for the George P. Ide Company,http://www.mfah.org/site_media/cache/86/78/86782e380562e26230328213f0882f69.jpg,Platinum print,Gift of Target Stores,1922,http://www.mfah.org/art/100-highlights/advertisement-george-p-ide-company/,"As one of the most important fashion and advertising photographers of the 1920s and 1930s, Paul Outerbridge often reduced objects to their essential forms. The resulting images are refined, abstract compositions akin to early Modernist experiments. Of the numerous influential ad photographs taken by Outerbridge, Advertisement for George P. Ide Company remains his most famous. Vanity Fair Harper's Bazaar With his fierce attention to tone, lighting, and composition, Outerbridge managed to elevate this advertisement for Ide shirt collars from a simple sales solicitation to a stylized still life. The crisp contrast of the curved form of the collar against the checkered tile presents the product with an elegance that speaks to both high fashion and art. The MFAH owns the only known 8 x 10 version of this image printed in gelatin silver, as well as this 4 x 5 version printed in platinum, as typically preferred by the artist. After studying at the Clarence H. White School of Photography in New York, Outerbridge began to publish his photographs in and magazines and to work in advertising. In the 1930s, Outerbridge become a pioneer of color photography using the carbro-color process, challenging the then-prevalent view that color photography was a purely commercial medium. uTo view specific works by Outerbridge in the collection, contact the museum's , for an appointment.",American,Paul Outerbridge,1896,1958,2de64127900b
23 1/16 x 30 1/8 inches,Gloucester Harbor,http://www.mfah.org/site_media/cache/b1/7a/b17afa6df943b9420da146c38b513fe2.jpg,"Oil on canvas, mounted on panel",Museum purchase with funds provided by; the Agnes Cullen Arnold Endowment Fund,1938,http://www.mfah.org/art/100-highlights/gloucester-harbor/,"Stuart Davis fragments the elements that make up this harbor scene in Massachusetts-sea, boats, piers, buoys, tackle, and flag-and represents them with patterns of bright color arranged to convey a lively rhythm. In fact, Davis conceived of compositions such as this one in terms of the staccato pulse of American jazz. (International Exhibition of Modern Art) Over a career spanning more than half a century, Davis uniquely combined Cubist syntax with the ambience of American life, providing a bridge between the first generation of American Modernists and the later Abstract Expressionists. A student of Realist painter Robert Henri, Davis participated in the landmark 1913 Armory Show Gloucester Harbor in New York and was inspired by the display of European avant-garde art. Davis's assimilation of Modernist techniques in general, and of Cubism in particular, was strongly colored by his avocation of Realism. Here, the flat, patterned forms reduce spatial relationships and contradict illusionism. At the same time, Davis maintains a real sense of the bustle and life of a busy harbor. was executed during Davis's tenure in the Works Progress Administration program as a government-supported artist. It was featured in the exhibition of contemporary American art sponsored by the WPA at the New York World's Fair in 1939.",American,Stuart Davis,1892,1964,4923b4fb9395
55 x 54 x 22 7/8 inches,Parlor Cabinet,http://www.mfah.org/site_media/cache/b3/7d/b37d25f0b1ffb923c60f22b30bcb6852.jpg,"Rosewood, burled ash, maple, eastern white pine, and other woods; gilt and bronze",Museum purchase with funds provided; by the Agnes Cullen Arnold Endowment Fund,1862,http://www.mfah.org/art/100-highlights/parlor-cabinet/,"With its extravagant ornamentation and luxurious materials, this cabinet is a dramatic example of mid-19th-century Neoclassical design. Elaborate parlor cabinets were often showpieces in the interiors of the very rich at that time. The prestigious New York cabinetmaking and decorating firm of Pottier and Stymus worked in a highly eclectic style that borrowed from Roman, Egyptian, and Renaissance sources. The elaborate marquetry (inlaid wood) panel depicting Bacchus, the Roman god of wine, was made in France by specialist craftsman Joseph Cremer.",American;French,Joseph Cremer,1859,1910,2353bc4722fc
78 x 163 3/16 inches,Black on White,http://www.mfah.org/site_media/cache/58/83/5883ffb80190da3bdd90436177c53e9b.jpg,Oil on canvas,Museum purchase,1961,http://www.mfah.org/art/100-highlights/black-white/,"In the monumental oil painting Black on White , Robert Motherwell characteristically balances contradictory elements-intellect and emotion, shape and line, sweeping gesture and measured rhythms-in pursuit of lyrical and poetic expression. This majestic work was composed in panoramic format. uAmerican artist Motherwell was associated with the Abstract Expressionist generation of painters who emphasized the process of painting. One of the youngest of this group, he stressed the emotive powers of color and the gestural brushstroke in his broadly expansive compositions. Through his writings, Motherwell served as the Abstract Expressionists' major theorist. In 1951 he stated, ""One might truthfully say that abstract art is stripped bare of other things in order to intensify it, its rhythms, spatial intervals, and color structure. Abstraction is a process of emphasis, and emphasis vivifies life.""",American,Robert Motherwell,1915,1991,ba5475647ec4
22 3/8 x 21 1/2 inches,The Cradle,http://www.mfah.org/site_media/cache/1f/5f/1f5fdaa4c67462fa873b523906f599e4.jpg,Conte crayon on paper,"25th Annual Houston Artists Exhibition, museum purchase prize, 1950",1950,http://www.mfah.org/art/100-highlights/cradle/,"John Biggers came to Houston in 1949 to establish an art department for Texas Southern University. With his presentation of The Cradle at the annual Houston Artists Exhibition at the MFAH the following year, he became one of the leading figures of Houston's growing art scene. The Cradle Perhaps more than any artist of his generation, Biggers had a profound influence on shaping the history and identity of Houston as he steadily gained national recognition and acclaim. Over a career spanning more than five decades, he created a body of paintings, drawings, prints, and sculpture that is without parallel. His early paintings charted African American folkways and history. Following a UNESCO-sponsored trip to Ghana, Togo, and the Republic of Benin in 1957, he created groundbreaking murals that introduced an Africa unfamiliar to most Americans. In the 1970s and 1980s, his compositions achieved a remarkable synthesis of personal experience and ancestral memory. is typical of the compassionate vision Biggers brought to his early work, expressing his sympathy for the downtrodden and poor. He returned to the image of the mother and child many times, always celebrating the love and strength of women in all walks of life.",American,John Biggers,1924,2001,e4f4c894cb51
40 1/16 x 29 3/4 inches,Indian Pass,http://www.mfah.org/site_media/cache/6b/04/6b043de9063b2a09f4da7ee362c8534f.jpg,Oil on canvas,Museum purchase with funds provided by; the Agnes Cullen Arnold Endowment Fund,1847,http://www.mfah.org/art/100-highlights/indian-pass/,"In Indian Pass , Thomas Cole creates a primeval American past. Deeply concerned about the political and economic turbulence of his time, Cole filled his landscapes with symbols and warnings, capturing a resplendent America that was ultimately fraught with moral and national urgency. Indian Pass Scholars have long proclaimed Cole the ""father"" of the first native school of American painting. Dubbed the Hudson River School, the movement is perhaps more accurately described as the American branch of 19th-century Romantic landscape painting. A British-born American transplant, Cole created a distinct niche for American scenery by isolating its constituent parts: majestic mountains, brilliant skies, abundant wilderness, flowing rivers, and flaming autumn trees, all of which he celebrates in . In this classic Hudson River School landscape, sunlight illuminates a glorious wilderness scene, filled with fallen branches, lichen-covered woods, and framing trees that give way to a towering mountain that pierces passing clouds. In the foreground, blasted trees suggest the inevitable passage of time while the Native American figure, bow in hand, introduces a nostalgic element; by 1847, when this work was painted, Native Americans no longer inhabited the scenic wilderness Cole depicts. By combining these elements with a lush, dramatic setting, Cole offered 19th-century viewers a marker by which to measure the nation's past, present, and future.","American, born England",Thomas Cole,1801,1848,d317321b9c69
58 1/8 x 38 1/8 inches,Mrs. Joshua Montgomery Sears (Sarah Choate Sears),http://www.mfah.org/site_media/cache/a1/7f/a17ff1d3e0f617ddc2f7a146557b2613.jpg,Oil on canvas,"Gift of George R. Brown in honor of his wife, Alice Pratt Brown",1899,http://www.mfah.org/art/100-highlights/mrs-joshua-montgomery-sears-sarah-choate-sears/,"This portrait depicts John Singer Sargent's lifelong friend Sarah Sears, a photographer and patron of the arts in Boston. Her alert pose, intense gaze, and upper-body posture contrast with the seemingly relaxed position of her lower body, an instance of how Sargent seemed to capture, as one critic wrote, ""the nervous tension of the age."" Sears played an important role in a number of artists' careers by buying their works and providing additional support. Together with her friend, and often rival, art collector Isabella Stewart Gardner, Sears served as a preeminent Boston tastemaker at the turn of the 20th century. In addition, Sears was an accomplished painter and photographer who exhibited her work in important international exhibitions such as the Columbian Exposition of 1893 in Chicago and the Pan-American Exposition of 1901 in Buffalo, New York. In this painting, Sears's satin dress exemplifies Sargent's extraordinary skill at rendering white, subtly nuanced with painterly flourishes of lavender, blue, and pink. The stunning surface display of paint connotes elegance and dash, and illustrates what made Sargent the portraitist of choice for the aristocracy of England and America in the late 19th and early 20th centuries.","American, born Italy",John Singer Sargent,1856,1925,6a1d51780346
Male figure: 33 x 17 x 13 inches; Female figure: 34 x 17 x 11 inches,Tango,http://www.mfah.org/site_media/cache/c4/60/c460d54d2507d263791b417da80aad36.jpg,Cherry wood and gesso,Gift of Mr. and Mrs. Meredith Long,1918-1924,http://www.mfah.org/art/100-highlights/tango-nadelman/,"Tango displays the elegant and fluid geometries associated with the best of sculptor Elie Nadelman's work. This European \xe9migr\xe9 developed a quality of playfulness, grace, and charm-hallmarks of his style-by distilling references to both folk art and the newer trends in abstraction in American art at the time. Nadelman's sculptures derive from observed nature: specifically performers, entertainers, members of elite and vaudeville society, pianists, conductors, hosts and hostesses, and, as illustrated here, dancing couples. To produce this work, Nadelman used cherry wood. He brushed the surface with gesso and then painted each figure, wiping and rubbing the wood in order to create an aged, roughened surface that resembles the American folk art sculptures he admired and collected. Here, an elegantly dressed gentleman in black tie guides his graceful partner through the steps of the tango, a Latin American dance craze that raged in Europe and the United States during and after World War I. Although the tango is well known for its seductive qualities, this one is danced by a buttoned-up pair who perform its steps far from the ports of Buenos Aires. Nadelman simplifies forms, refining the curves and counter-curves, the masses and counter-masses. This sculpture becomes a playful image of the couple suspended in motion, gliding toward each other. Indeed, Nadelman's skill resides in isolating the sexual energy of the dance and filling the empty spaces between the man and the woman, capturing the charged moment just before their hands clasp.","American, born Poland",Elie Nadelman,1882,1946,f099154c7964
36 1/8 x 27 1/8 inches,Self-Portrait with Angelica and Portrait of Rachel,http://www.mfah.org/site_media/cache/16/dd/16ddade85d05ff9be65feba92b728998.jpg,Oil on canvas,The Bayou Bend Collection; Gift of Miss Ima Hogg,1782-1785,http://www.mfah.org/art/100-highlights/Self-Portrait-Peale/,"Charles Willson Peale painted a number of self-portraits throughout his career, but this work stands as one of the most complex and revealing of the artist's statements about his art and its close relationship to among such issues as family domesticity, family enterprise, and the educational role of science and art. Seated in a Windsor-back armchair, the artist turns slightly and directs his gaze toward the viewer. He tilts his palette toward the viewer, and with his right hand dips his brush into the paint appearing on the palette. Without actually gripping the brush, daughter Angelica Kauffmann Peale (1775-1853) playfully appears to guide it with one hand, as her other hand points toward heaven, as if she is playing the allegorical muse of painting. To the left of the artist, Rachel Brewer Peale (1744-1790), the artist's wife, peers out of the painted canvas with an expression as life-like as those of the artist and daughter. In other words, Peale seems to beg the viewer to consider issues of illusion and reality, and the artist's magical ability to transform mere pigment (as suggested by the blobs of paint revealed to the viewer on the palette, carefully juxtaposed with the painted canvas) into life (as revealed by the vibrantly alive portrait of his wife on the easel). Such investigations into painting as more than a mimetic enterprise are characteristic of the artist's most sophisticated works.",American,Charles Willson Peale,1741,1827,a87991650be1
