title,name,nationality,birthDate,deathDate,production_id
Joy of the Waters,Harriet Whitney Frishmuth,American,1880,1980,a3e12351ac04
Concave or Standing Woman,Alexander Archipenko,American,1887,1964,7b4575969392
Henry Look Unhitching,Thomas Hart Benton,American,1889,1975,14cc1ab260cc
"New York, New Haven and Hartford",Edward Hopper,American,1882,1967,ef08e7b2b3d5
Afternoon - Yellow Room,Frederick Carl Frieseke,American,1874,1939,c2deceef4e9d
"Washington Street, Indianapolis at Dusk",Theodor Groll,German,1857,1913,6efd18d7cd10
Herman and Verman,Hugh M. Poe,American,1902,1973,ea5c3c1fca54
A Summer Day,John Henry Twachtman,American,1853,1902,7e0fda3755f3
At the End of the Porch,John Sharman,American,1879,1971,01dc7f144a3a
Pioneer's House,Daniel Garber,American,1880,1958,f5e3b4d3ac06
Quarry at Byram,Daniel Garber,American,1880,1958,f1add46af387
Edna Smith in a Japanese Wrap,Robert Henri,American,1865,1929,68fa7777fe44
The Robe,Frederick Carl Frieseke,American,1874,1939,4b5856ec10d2
Tidying Up,Isabel Bishop,American,1902,1988,40eed3f84bf6
Cliff Rock - Appledore,Childe Hassam,American,1859,1935,3fc25bd5ae24
Portrait of William Merritt Chase,James Carroll Beckwith,American,1852,1917,488b4c5c42aa
Little Brown Girl,John W. Hardrick,American,1891,1968,b1d837dc0fdb
Monday Morning,Edmund Brucker,American,1912,1999,5750b5344241
Still Life,Julian Alden Weir,American,1852,1919,a94c8c4cf513
Red Kimono on the Roof,John Sloan,American,1871,1951,0e76adf5aae1
Portrait of Mrs. Addison C. Harris,Cecilia Beaux,American,1855,1942,76a75b0e048d
Bronco Buster,Frederic Remington,American,1861,1909,b89506ba7200
Poppies,Robert William Vonnoh,American,1858,1933,98a9eb06d775
Across the Harbor,Arthur Bowen Davies,American,1862,1928,599d0e28d8bf
Winter Landscape,Rockwell Kent,American,1882,1971,638fbb586f77
Preparing for the Matinee,Edmund Charles Tarbell,American,1862,1938,eb8c93e25592
The Love Song,Norman Rockwell,American,1894,1978,99a96195e1c3
The Artist's Party,Joseph Delaney,American,1904,1991,d790024f59fb
Training for War,William H. Johnson,American,1901,1970,46473fa9f8f6
Girl Sweeping,William McGregor Paxton,American,1869,1941,a95011f81f8c
Gamin,Augusta Savage,American,1892,1962,7bfea982781c
The Blue Tiger,Horace Pippin,American,1888,1946,ce05eff8eeab
Early Morning Sunshine,Louis Ritman,American,1889,1963,e2a0ba0128dd
Sunlight,Frank Weston Benson,American,1862,1951,47f3990339a3
"Rainy Night, Etaples",William Edouard Scott,American,1884,1964,5a69fd2f009b
Mushrooms on a Blue Background,Marsden Hartley,American,1877,1943,e037dcaa3392
Above the Clouds,Ralph Albert Blakelock,American,1847,1919,640966f1a904
Wash Day,John Ottis Adams,American,1851,1927,300d384fffd3
Portrait of Clara Fisher,Henry Inman,American,1801,1846,6faa7bcee7e1
Diana,Augustus Saint-Gaudens,American,1848,1907,07811da1a759
"The Consecration, 1861",George Cochran Lambdin,American,1830,1896,0de9a2e5e7b4
Portrait of Robert Louis Stevenson,Augustus Saint-Gaudens,American,1848,1907,6903bf4488a0
Pool in the Adirondacks,Ralph Albert Blakelock,American,1847,1919,068eaa9f8a8e
Mountains and Valleys,Victor Higgins,American,1884,1949,490fbcb619bd
Dorothy,William Merritt Chase,American,1849,1916,6692b8de6c8c
The Young Artist,Thomas Mickell Burnham,American,1818,1866,9e8b7f777554
Summer Pastorale (View of Kallenfels),Worthington Whittredge,American,1820,1910,72282c1889f4
Girl at the Piano: Recording Sound,Theodore Roszak,American,1907,1981,81e07b38eb29
