title,sourceURL,imageURL,artist,nationality,birthDate,deathDate,materials,dimensions,creditLine,creationDate,galleryLabel,provenance,production_id
Concave or Standing Woman,http://www.imamuseum.org/art/collections/artwork/concave-or-standing-woman-archipenko-alexander,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/60/6079be07-d6e7-4782-8141-51cbcac8ef28.jpg,Alexander Archipenko,American,1887,1964,bronze with green patina,H: 12 3/4 in.,"Gift of Frank C. Springer, Jr. in memory of his wife, Irving Moxley Springer",1917,"This female figure, an elegantly abstracted form from the prime of the artist's career in Paris, reflects Archipenko's innovative exploration of form and space, void and concavity.\nAs Archipenko observed: ""in art the shape of the empty space should be no less important than the meaning of the shape of solid matter.""","Purchase from Perls Gallery, New York, on April 6, 1962, by Frank C. Springer, Jr. and Irving Moxley Springer, Indianapolis, for $2,070\nPartial gift to the IMA from Frank C. Springer, from 1991 through 2006.",794bb3c2f846
The Artist's Party,http://www.imamuseum.org/art/collections/artwork/artists-party-delaney-joseph,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c6/c6dc7312-64d6-4e97-b187-6ba8e19f6e34.jpg,Joseph Delaney,American,1904,1991,oil on canvas,30 x 25 in.,"Gift of the National Coalition of 100 Black Women, Indianapolis Chapter and Mr. Kim Anderson and the Estate of Hermine Floch by exchange",1941-1943,"Delaney combines aggressive brushwork, exaggerated poses and a tendency toward caricature to suggest the group's animated conversation.\nDelaney is shown with his back to the viewer talking to a man believed to be the Abstract Expressionist painter Jackson Pollock.",Collection of Derek Beard; ACA Galleries,e69fcc2dffa6
Training for War,http://www.imamuseum.org/art/collections/artwork/training-war-william-h-johnson,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9d/9d08250a-d87a-4378-b9bf-7951e0b4d654.jpg,William H. Johnson,American,1901,1970,color silkscreen (pochoir) on paper,11 1/2 x 17 1/2 in.,"National Coalition of 100 Black Women, Indianapolis Chapter, Estate of Hermine Floch by exchange and James E. Roberts Fund",1942,"Johnson's style consists of flat, simplified patterns presented in a na茂ve manner with a touch of humor.\nThe artist pokes fun at the army's regimentation and discipline.\nPochoir is a stencil technique characterized by crisp lines and brilliant colors.","Thurlow Tibbs, Washington, D.C.; purchased from dealer Craig F. Starr Associates",cdd1ffcaf24e
Mushrooms on a Blue Background,http://www.imamuseum.org/art/collections/artwork/mushrooms-blue-background-hartley-marsden,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/f6/f69f9dd9-ae80-47a0-be9d-0e01001f7e4c.jpg,Marsden Hartley,American,1877,1943,oil on masonite,15 x 18 in.,The Robert and Traude Hensel Collection,1929,"With its rapid brushwork and tilted perspective, this painting summons a strong sense of motion.\nHartley worked in France in the late 1920s, where he produced numerous still lifes.\nThe artist was a member of the Stieglitz Group of American Modernist artists.",Bernard Dannenberg Gallery in New York; Mrs. Francis Phipp Mallek from the estate of the artist,cbbcf9ec3400
Woodcutters in Windsor Park,http://www.imamuseum.org/art/collections/artwork/woodcutters-windsor-park-west-benjamin,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/69/6901db54-9bea-4edd-9d62-1884f44b8c6b.jpg,Benjamin West,American,1738,1820,oil on canvas,26 1/2 x 35 in.,Gift of Mrs. Nicholas H. Noyes,1795,"Born in Pennsylvania, Benjamin West studied painting in Rome in his early twenties and moved to England in 1763, where he remained for the rest of his career. The setting for this landscape is the Queen's Lodge in the Great Park at Windsor, where woodcutters are shown making a clearing to provide a ""view."" Such vistas were an essential part of 18th-century English landscape design. The landscape was painted the same year West began work on a major cycle of decorations for the chapel at Windsor Castle.","(back to top)Provenance Research is on-going at the Indianapolis Museum of Art, and information will be added to this record as research is completed. Please contact Annette Schlagenhauff, Assoc. Curator of Research, at aschlagenhauff@imamuseum.org with any questions.",ae30a6f54778
Pelvis with Distance,http://www.imamuseum.org/art/collections/artwork/pelvis-distance-okeeffe-georgia,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b1/b198ba39-73fe-474b-a0ab-3d8e7597e3d7.jpg,Georgia O'Keeffe,American,1887,1986,oil on canvas,23 7/8 x 29 3/4 in.,Gift of Anne Marmon Greenleaf in memory of Caroline Marmon Fesler,1943,"The radical manipulation of perspective and scale, and the strong but elegant contours of the bone, exemplify O'Keeffe's genius for capturing the essential forms of nature.\nIn 1929 O'Keeffe began to summer in New Mexico, where the colors, shapes, and vistas of the Southwest became central to her work.",Purchased from the artist by Caroline Fesler; Anne Marmon Greenleaf 1960; donated to the IMA 1977,885b63e8faf9
Ruth Gleaning,http://www.imamuseum.org/art/collections/artwork/ruth-gleaning-rogers-randolph,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/38/384f3665-0a6f-41cd-8af2-c794f8629d0f.jpg,Randolph Rogers,American,1825,1892,marble on plum marble pedestal,35 1/2 x 20 x 20 in.,Gift in honor of Mr. and Mrs. William L. Fortune by their children and Gift of the Alliance of the IMA,"modeled 1853, carved 1860","The statue's elegant face and poised bearing have the grace and dignity of the neo-classical ideal.\nRogers was a member of the neo-classical movement considered to be America's first native school of sculpture.\nRuth was an Old Testament heroine who left her birthplace and settled in Israel, uttering the words, ""Whither thou goest, I will go.""","Purchased in Italy in the mid-1930s; collection of gaetano Lancellotti, Rhode Island until 1987; sold to the museum through Conner-Rosenkranz",493c943f66b0
Marianne Ashley Walker,http://www.imamuseum.org/art/collections/artwork/marianne-ashley-walker-stuart-gilbert,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b6/b6fd8061-0978-48a1-a00a-79126a2403c6.jpg,Gilbert Stuart,American,1755,1828,oil on canvas,30 1/2 x 25 1/2 in.,Gift of Mrs. Nicholas H. Noyes,1799,"Stuart endows his subject with character and elegance through sheer technical facility, which is evident in Walker's exquisitely rendered flesh tones and lifelike eyes.\nThis portrait was painted on the occasion of the sitter's marriage.",Daniel H. Farr; John Levy Gallery in New York 1933; given to the museum in 1952,0c941b3213ea
Reflections,http://www.imamuseum.org/art/collections/artwork/reflections-dove-arthur-garfield,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9a/9ae3431e-afb4-46bc-9d5c-b51bcda5addc.jpg,Arthur Garfield Dove,American,1880,1946,oil on canvas,15 1/8 x 21 1/16 in.,Caroline Marmon Fesler Fund,1935,"Reflections features the circular shapes, natural forms and feathered brushstrokes that are hallmarks of Dove's style.\nDove, an artist known for his humor and whimsy, said that this painting was about reflections from headlights on the windshield of a car.\nThe artist was a key member of the Stieglitz Group of modernist painters and a pioneer of abstraction.",The artist; Alfred Stieglitz in New York; The Downtown Gallery in New York; collection of Mr. and Mrs. Denman Bellevue WA; private collection; corporate collection; purchased from Alexandre Gallery in 2003 by the IMA,29a8e5f4fb86
Sunlit Window,http://www.imamuseum.org/art/collections/artwork/sunlit-window-ritman-louis,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c2/c2a71315-aadd-449a-84b8-069d00a7d62f.jpg,Louis Ritman,American,1889,1963,oil and tempera on canvas,47 x 39 3/4 in.,Gift of the Louis Ritman Estate,1918,"Ritman's interest in decorative patterning is evident in the mixture of floral prints with stripes that contrast with the buzzing confusion of nature seen through the open window.\nRitman, a Chicago artist, settled in Giverny, France near the home of Claude Monet, in 1909.",Donated to the museum by the Louis Ritman estate through Maurice Ritman,9ebe0336f249
