artworkTitle,artistName,nationality,birthDate,deathDate,dateOfStartOfCreation,dateOfEndOfCreation,medium,dimensions,classification,creditLine,production_id
Studio Interior,Stuart Davis,American,1892,1964,1917,1917,Oil on canvas,18 7/8 x 23in. (47.9 x 58.4cm),Paintings,"George A. Hearn Fund, 1994",b8d9f24bf271
Albert Gallatin,Gilbert Stuart,American,1755,1828,1803,1803,Oil on canvas,29 3/8 x 24 7/8 in. (74.6 x 63.2 cm),Paintings,"Gift of Frederic W. Stevens, 1908",473985b7eea2
Head in Red,Lester Johnson,American,1919,2010,1964,1964,Oil on canvas,"H. 8, W. 9-7/8 inches (20.3 x 25.1 cm.)",Paintings,"Gift of Stuart D. Buchalter, 1983",42e01e30a988
George Washington,After Gilbert Stuart,American,1755,1828,1920,1920,Watercolor on ivory,Sight: 3 5/16 x 2 1/2 in. (8.4 x 6.4 cm),Paintings,"Bequest of Mary Clark Thompson, 1924",16f3de335b4f
Delaware Water Gap,George Inness,American,1825,1894,1861,1861,Oil on canvas,36 x 50 1/4 in. (91.4 x 127.6 cm),Paintings,"Morris K. Jesup Fund, 1932",80a7520d414f
Landscape in Provence,Loren MacIver,American,1909,1998,1967,1967,Oil on canvas,45 1/4 x 57 3/4in. (114.9 x 146.7cm) 47 1/2 x 60 x 1 3/4 in. (120.7 x 152.4 x 4.4 cm) (Frame),Paintings,"Purchase, Maria-Gaetana Matisse Gift, 1993",a363302f78ff
Nicoll Havens Dering,Daniel Huntington,American,1816,1906,1871,1871,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Gift of Sylvester Dering, 1916",579f8230455d
Ten Cents A Ride,Louis Bouch?American,1896,1969,1942,1942,Oil on canvas,45 x 30in. (114.3 x 76.2cm) 47 1/2 x 32 1/4 x 2 1/4 in. (120.7 x 81.9 x 5.7 cm) (Frame),Paintings,"George A. Hearn Fund, 1942",9a00c699c5b9,46964a074f54
Matilda Stoughton de Jaudenes,Gilbert Stuart,American,1755,1828,1794,1794,Oil on canvas,50 5/8 x 39 1/2 in. (128.6 x 100.3 cm),Paintings,"Rogers Fund, 1907",9fcbf7da5ff4
Lake of Lecco (from Switzerland 1869 Sketchbook),John Singer Sargent,American,1856,1925,1869,1869,"Watercolor, gouache, and graphite on off-white wove paper",7 3/4 x 11 3/4 in. (19.7 x 29.8 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",11d501bfb5ed
Landscape with Ruins (from Sketchbook),Jervis McEntee,American,1828,1891,1869,1869,Graphite and white gouache on blue wove paper,4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",402cbfb87657
Design for window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Graphite, brown and black wash, and white gouache on sketching board",Overall: 24 1/2 x 14 9/16 in. (62.2 x 37 cm) Design: 14 9/16 x 5 5/8 in. (37 x 14.3 cm),Architecture,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",778698fcffe7
Prescience,Charles Houghten Howard,American,1899,1978,1942,1942,Oil on canvas,28 1/4 x 40 1/2in. (71.8 x 102.9cm),Paintings,"Arthur Hoppock Hearn Fund, 1942",a023012bb754
Knowledge of the Past Is the Key to the Future: Some Afterthoughts on Discovery,Robert Colescott,American,1925,2009,1986,1986,Acrylic on canvas,"H. 90, W. 114 inches (228.6 x 249.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1987",a1a2315ffc32
East River from the Shelton Hotel,Georgia O'Keeffe,American,1887,1986,1928,1928,Oil on canvas,12 x 32 in. (30.5 x 81.3 cm),Paintings,"Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986",277091ba4838
A Brittany Beadle鈥擲ketch from Nature,John La Farge,American,1835,1910,1856,1856,Watercolor and gouache with graphite on brown wove paper,5 3/4 x 4 in. (14.6 x 10.2 cm),Drawings,"Gift of Mrs. William G. Peckham, 1951",9c59aac663b7
"Excursionists, Nahant",Maurice Brazil Prendergast,American,1858,1924,1896,1897,"Watercolor, gouache, and graphite on off-white wove paper",19 1/2 x 14 3/16 in. (49.5 x 36 cm),Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",a745a2f1e893
Henry Pearson,Will Barnet,American,1911,2012,1967,1967,Oil on canvas,"H. 39-3/4, W. 32-1/2 inches (101 x 82.6 cm.)",Paintings,"Gift of Mrs. Will Barnet, 1981",170392074efe
Waterlilies,Alfred Levitt,American,1894,2000,1946,1946,Watercolor and gouache on paper,"H. 11-1/8, W. 15-1/8 inches (28.3 x 38.4 cm.)",Drawings,"Gift of the artist, 1985",f50810be218c
Boy with Baseball,George Luks,American,1866,1933,1925,1925,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"The Edward Joseph Gallagher III Memorial Collection, Gift of Edward Joseph Gallagher, Jr., 1954",c5e6ff70ce31
The Seven Deadly Sins: Lust,Paul Cadmus,American,1904,1999,1945,1945,Egg tempera on Masonite,24 1/4 x 11 3/4in. (61.6 x 29.8cm),Paintings,"Gift of Lincoln Kirstein, 1993",350973deafd5
The Cup of Love,Elihu Vedder,American,1836,1923,1887,1887,Oil on wood,12 x 10 in. (25.4 x 30.5 cm),Paintings,"Gift of Mrs. Harold G. Henderson, 1976",40dd8fe69d63
Riders on the Heath,John Singer Sargent,American,1856,1925,1868,1872,Watercolor and gouache on off-white wove paper,8 1/4 x 14 in. (21 x 35.6 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",7209e057e3a1
The Pleiades,Elihu Vedder,American,1836,1923,1885,1885,Oil on canvas,24 1/8 x 37 5/8 in. (61.3 x 95.6 cm),Paintings,"Gift of George A. Hearn, 1910",4f5cb4588a48
Weather Vanes,Hananiah Harari,American,1912,2000,1940,1940,Oil on canvas,"H. 13-1/8, W. 10-1/8 inches (33.8 x 25.7 cm.)",Paintings,"Gift of Murray D. Garson, in memory of Margaret S. Garson, 1981",a322fcba21b6
