Artist_Name,Process,Dimensions,Provenance,image,Artwork_Name,Artwork_Year,production_id
Vito Acconci,"Cinderblocks, stools, planks, light, audio",18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px,Under-History Lessons,1976,ffcf255b6812
Robert Arneson,Ceramic,16 x 16 x 13 in. (40.6 x 40.6 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the Lasky Charitable Lead Trust, Marshall P. Levine and Harlan B. Levine, Trustees, in honor of Morelle I. Levine and Norman D. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.40&dim=300px,Hear (Self-Portrait),1973,9e6f9d7ac4d5
Vito Acconci,"6 prints, aquatint and photoetching, edition 11/25",Each: 23 1/2 x 31 in. (59.7 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px,3 Flags for 1 Space and 6 Regions,1979,6cb78bdca7bc
Richard Misrach,"Dye coupler photograph, edition 1/25",20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by William Chase and Tom Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.6&dim=300px,"Barracks, Wendover Air Force Base, Utah",1991,4588f28559a1
Deborah Mesa-Pelly,C-print mounted on aluminum,30 x 40 in. (76.2 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Steven Neu",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.257&dim=300px,Sleeper,2000,b5aa0768311e
Vito Acconci,"Rebar, plaster, canvas, steel cable, audio, and lights",288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of James Corcoran Gallery",http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.8&dim=300px,Adjustable Wall Bra,1990,2cface6abbc3
Weiwei Ai,"Single channel video, color, sound
10 hours, 13 minutes","The Museum of Contemporary Art, Los Angeles
The East West Bank Collection, Purchased and Promised gift of East West Bank",2008.12,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.12&dim=300px,Beijing: Chang&#039;an Boulevard,2004,0bf5125a948c
Matt Mullican,"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b/w, color, and polaroid photographs on board",96 x 48 in. (243.8 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.118&dim=300px,Untitled,1972,494b00393baf
Richard Misrach,"Fuji dye-coupler print, edition 10/10",29 3/4 x 39 in. (75.6 x 99.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Chip and Lara Leavitt",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.122&dim=300px,Santa/Driver,1992,32e0f0caf233
Hans Namuth,Silver print,31 1/8 x 28 1/4 in. (79.1 x 71.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Atlantic Richfield Company",http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.97&dim=300px,Jackson Pollock,1950,b2475535efd3
Michael Mueller,Pencil on paper,44 1/2 x 36 1/2 in. (113 x 92.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Chung King Project",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.131&dim=300px,Trinitatis,2008,116ce1a1cccf
Enrique Martinez Celaya,Oil and tar on canvas,100 x 78 in. (254 x 198.1 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Larry and Susan Marx",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.51&dim=300px,December,2003,b555c90ed0cc
George McNeil,Oil on canvas,68 x 56 in. (172.7 x 142.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of David J. Haddad",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.60&dim=300px,Pere Ubu and Friends,1982,80c918a19de1
Matt Mullican,Oil on canvas,72 x 192 in. (182.9 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Gerard Junior Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.101&dim=300px,Untitled (Yellow and Black City),1985,7bdf8f697952
Franz Ackermann,Mixed media on paper on aludibond on wood,48 3/16 x 70 5/16 x 33 11/16 in. (122.4 x 178.6 x 85.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.62&dim=300px,African Diamond,2006,a4f4bdcc3a03
Matt Mullican,"Video, DVD-R, PAL, edition2/16",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by John Baldessari",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.8&dim=300px,Untitled (Matt Mullican Under Hypnosis: Geneva),2004,ffe3bd2586e3
Marilyn Minter,Acrylic on aluminum,30 x 24 in. (76.2 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.58&dim=300px,Dilettette No. 3,1989,174e6c3eaa93
Victoria Morton,Oil on canvas,Image: 16 x 14 in. (40.6 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Matthew Aberle",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.129&dim=300px,The Fountain in the Park,2001,461b85a08fb2
Arnold Newman,Gelatin silver print,Image: 20 x 16 in. (50.8 x 40.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.89&dim=300px,"Alberto Giacometti,  , 0",1954,ca88cfb08217
Yoko Ono,"Bronze with patina, edition 6/9",11 7/8 x 8 7/8 x 1 3/4 in. (30.2 x 22.5 x 4.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Audrey and Sydney Irmas Charitable Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.16&dim=300px,Painting to Hammer a Nail In,1961,4fbf57c06dd1
Yoshitomo Nara,Oil stick on paper,Paper: 16 5/8 x 13 in. (42.2 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.101.2&dim=300px,Untitled,1999,843cc50e1d4f
