dim,made,prov,title,nationality,artist,image_url,birth_date,death_date,production_id
28-3/4 x 36-3/8 in. (73.0 x 92.5 cm),1891,The Norton Simon Foundation,"The Yellow Boat,",French,Gustave Caillebotte,http://images.nortonsimon.org/viewer/index.php?id=F.1985.2.1.P,1848,1894,382cbaf1c63b
27-5/8 x 40 in. (70.2 x 101.6 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.5,1912,1992,0be3d79f412c
71-7/8 x 47-7/8 in. (182.6 x 121.6 cm),1954,"Norton Simon Museum, Gift of Mr. and Mrs. Melvin Hirsh","Kelp, Rocks and Sea,",American,William Brice,http://images.nortonsimon.org/viewer/index.php?id=P.1967.14,1921,2008,176e4f99e1f3
Sheet: 23-7/8 x 18-7/8 in. (60.6 x 47.9 cm),1966,"Norton Simon Museum, Anonymous Gift, 1968","Figures and Stream,",American,William Brice,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.179,1921,2008,dec00be5083b
14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.4,1912,1992,4706c4186976
14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.3,1912,1992,fb2ad9dec00b
25-1/2 x 36-1/4 in. (64.8 x 92.1 cm),1918,Norton Simon Art Foundation,"Still Life with Musical Instruments,",French,Georges Braque,http://images.nortonsimon.org/viewer/index.php?id=M.1986.2.P,1882,1963,ab1ca369c89c
14-1/2 x 47-1/4 in. (36.8 x 120.0cm),1926,Norton Simon Art Foundation,"Pitcher, Score, Fruits and Napkin,",French,Georges Braque,http://images.nortonsimon.org/viewer/index.php?id=M.1977.15.1.P,1882,1963,bfe2a687cb57
51-1/8 x 70-7/8 in. (129.9 x 180 cm),1939,Norton Simon Art Foundation,"Artist and Model,",French,Georges Braque,http://images.nortonsimon.org/viewer/index.php?id=M.1976.05.P,1882,1963,4f125390fa8c
73 in. (185.4 cm),1931,The Norton Simon Foundation,"Bird in Space,",Romanian,Constantin Brancusi,http://images.nortonsimon.org/viewer/index.php?id=F.1972.08.S,1876,1957,477a24a79c46
14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.2,1912,1992,49eec6d7e14a
14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.1,1912,1992,f9fa12fedb0c
