Subtype_of_Art,Type_of_Art,Title,Date_made,Credit,ArtistName,Inscription,Pic_URL,Dimensions,BirthDate,DeathDate,production_id
Oil on canvas,Paintings,Portrait of Eliza  Jane Steen Johnson,1858,"Collection of the Oakland Museum of California, gift of Dr. Gerald H. Gray",Charles Christian Nahl, Crocker Gallery.  CC Nahl:  Artist of the Gold Rush.  1976-1977. 25 Years of Collecting California 9/25/94 - 1/8/95 (TOM),http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A77.113.1_DGPT_090_02.jpg,34.25 in HIGH x 26.5 in WIDE(86.99 cm HIGH x 67.31 cm WIDE),1818,1878,cda7a04a4f4e
Oil on canvas,Paintings,El Capitan,1866,Gift of May Dornin,Thomas Hill, TOM.  Thomas Hill:  The Grand View.  1981.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A89.22_DGAH_157_02.jpg,18 in HIGH x 26 in WIDE(45.72 cm HIGH x 66.04 cm WIDE),1829,1908,e7f399f0ff17
Oil on canvas,Paintings,Yosemite Valley,1868,Gift of Miss Marguerite Laird in memory of Mr. and Mrs. P. W. Laird,Albert Bierstadt," The Brooklyn Museum,N.Y., Albert Bierstadt Spring, 1991.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0024245.jpg,36 in HIGH x 54 in WIDE(91.44 cm HIGH x 137.16 cm WIDE),1830,1902,4094f6328ee3
Oil on canvas,Paintings,California Indian Camp:  Scene Near Mariposa,1872,The Oakland Museum Kahn Collection,Albert Bierstadt," M.H. de Young.  Albert Bierstadt:An Observer of Air, Light, and a Feeling of a Place.  1985.  // Gene Autry Museum, L.A., CA. Native Americans: 5 Centuries of Changing Images, 11/15/89 - 3/16/90. // Autry Museum of Western Heritage, Los Angeles, Western W",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0006513.jpg,14 in HIGH x 21 in WIDE(35.56 cm HIGH x 53.34 cm WIDE),1830,1902,89c5cf928b37
Oil on canvas,Paintings,Lake Ralphine,1877,Anonymous gift in memory of Marlan L. Mel,Thomas Hill," Maxwell Galleries, S.F., CA ret: MAY 30, 1991",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A84.10.2_DGAH_043_02.jpg,13 in HIGH x 21 in WIDE(33.02 cm HIGH x 53.34 cm WIDE),1829,1908,5131e545405c
Oil on wood panel,Paintings,Landscape-Paris,1886,Gift of the Art Guild,Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1972. TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/100_Square/A65.13.19_DGMA_064_02.jpg,7.87 in HIGH x 12 in WIDE(19.99 cm HIGH x 30.48 cm WIDE),1860,1945,59f0707a58a0
Oil on canvas,Paintings,"View from Goat Island, San Francisco Bay",1887,The Oakland Museum Kahn Collection,Marius Dahlgren, San Diego Museum of Art.  The Golden Land.  1986.,http://collections.museumca.org/?q=system/files/imagecache/100_Square/0600628b.jpg,30.5 in HIGH x 50 in WIDE(77.47 cm HIGH x 127.00 cm WIDE),1844,1920,430d9ca13958
Oil on canvas,Paintings,Imogen and Arviragus,1887,Gift of the Art Guild,Arthur Mathews," TOM.  Mathews Exhibition.  1972. TOM.  Mathews Exhibition.  1985.//Twenty-Five Years of Collecting California. September 25,1994- January 8, 1995 (TOM)",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.13.1_DGAH_074_02.jpg,34.5 in HIGH x 46.25 in WIDE(87.63 cm HIGH x 117.47 cm WIDE),1860,1945,08bb2e3fba84
Oil on canvas,Paintings,Grand Canyon of the Yellowstone from Hayden Point,1891,Oakland Museum Founders Fund,Grafton Tyler Brown, 15TOM.  Hist. Dept. Ca.  Grafton Tyler Brown exhibition.  1972. TOM.  Spec. Exhib. and Ed. Dept.  Ca.  Blacks in the Westward Movement. 1975. MET.  N.Y.C.  Selections of 19th Century Afro-American Art.  1976. USC Art Galleries.  L.A.  Pack-In Painters of,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A68.72_DGAH_116_02.jpg,24 in HIGH x 16 in WIDE(60.96 cm HIGH x 40.64 cm WIDE),1841,1918,8e7ff2779d8b
Oil on canvas,Paintings,"San Francisco in July, 1849",1891,"Oakland Museum of California, gift of the Women's Board",George Henry Burgess," Gold Fever! The Lure and Legacy of the California Gold Rush.  Jan 24, 1998 - Oct. 31, 1999 Mark Hopkins Institute of Art, S.F.  Loan Exhibition.  1900. Golden Gate International Exposition, Wells Fargo exhibit in S.F. Bldg., S.F.  1939-40. Amon Carter Mus",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0027283.jpg,62 in HIGH x 132.75 in WIDE(157.48 cm HIGH x 337.18 cm WIDE),1830,1905,d70441d7c132
