birthYear,image-URL,collection,type,url,title,nationality,when-acquired,dimensions,birthPlaceCity,artistName,credit,deathYear,production_id
1880,http://www.sfmoma.org/images/artwork/medium/51.4095_01_b04.jpg,SFMOMA,Paintings,http://www.sfmoma.org/explore/collection/artwork/204,Gebirge (Mountains) [formerly Landschaft (Landscape)],German,1951,130.81 cm x 100.97 cm,Munich,Franz Marc,Gift of the Women's Board and Friends of the Museum,1916,f60057787511
1880,http://www.sfmoma.org/images/artwork/medium/PS04.37%2001_b02.jpg,SFMOMA,Print,http://www.sfmoma.org/explore/collection/artwork/116978,Schopfungsgeschichte (Tale of Creation),German,2004,23.5 cm x 19.69 cm,Munich,Franz Marc,Bequest of Dr. Gertrude Ticho,1916,1930e7d7f0a9
1896,http://www.sfmoma.org/images/artwork/medium/82.349_01_cs02.jpg,SFMOMA,Paintings,http://www.sfmoma.org/explore/collection/artwork/208,La Poursuite (The Pursuit),French,1982,69.85 cm x 111.76 cm,Balagne,André Masson,Gift of Mr. and Mrs. Hervey Parke Clark,1987,d8d0737ab268
1885,http://www.sfmoma.org/images/artwork/medium/78.78_01_e02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/12772,Lady in White,American,1978,23.65 cm x 18.73 cm,Salt Lake City,Margrethe Mather,Gift of Nikki Arai and Simon Lowinsky in honor of John Humphrey,1952,b43bf3771ac0
1885,http://www.sfmoma.org/images/artwork/medium/76.111_01_e02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/12771,Pierrot (Otto Matiesen),American,1976,24.45 cm x 19.05 cm,Salt Lake City,Margrethe Mather,Gift of Elise S. Haas in honor of Clifford R. Peterson,1952,aaa5314a69a4
1885,http://www.sfmoma.org/images/artwork/medium/59.2106_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/12773,Untitled,American,1959,23.81 cm x 17.46 cm,Salt Lake City,Margrethe Mather,Gift of Mrs. Drew Chidester,1952,4138ea2ae164
1925,http://www.sfmoma.org/images/artwork/medium/89.28_small_ema.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/12808,Untitled,American,1989,17.46 cm x 17.3 cm,Normal,Ralph Eugene Meatyard,"Gift of the Ralph Eugene Meatyard Estate, Lexington, Kentucky",1972,56cb6db1d82f
1925,http://www.sfmoma.org/images/artwork/medium/84.431_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/12804,Untitled,American,1984,17.3 cm x 17.94 cm,Normal,Ralph Eugene Meatyard,Gift of Van Deren Coke,1972,2aa475b40913
1925,http://www.sfmoma.org/images/artwork/medium/89.15_01_D03.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/12807,Cranston Ritchie,American,1989,16.99 cm x 17.3 cm,Normal,Ralph Eugene Meatyard,Purchase and a gift of Jonathan Morgan,1972,f9843740a2bd
1925,http://www.sfmoma.org/images/artwork/medium/84.429_small_ema.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/12802,Untitled (Detail of Stone Wall),American,1984,17.3 cm x 16.35 cm,Normal,Ralph Eugene Meatyard,Gift of Van Deren Coke,1972,74210f7d29b0
