source,target,edge_label
EuropeanaAggregation1,data_value7281,label
EuropeanaAggregation1,CulturalHeritageObject1354,aggregatedCHO
EuropeanaAggregation1,WebResource721,hasView
CulturalHeritageObject1354,data_value6372,provenance
CulturalHeritageObject1354,Person30,creator
CulturalHeritageObject1354,data_value10586,title
CulturalHeritageObject1354,data_value9890,description
WebResource721,data_value11857,label
CulturalHeritageObject1,data_value6068,provenance
CulturalHeritageObject1,data_value7371,extent
CulturalHeritageObject1,data_value4903,description
CulturalHeritageObject1,Person85,creator
CulturalHeritageObject1,data_value1029,title
CulturalHeritageObject1,data_value12389,medium
Person85,data_value12753,nameOfThePerson
CulturalHeritageObject2,data_value1536,medium
CulturalHeritageObject2,data_value11027,title
CulturalHeritageObject2,Person71,creator
CulturalHeritageObject2,data_value10120,description
CulturalHeritageObject2,data_value8174,provenance
CulturalHeritageObject2,data_value1994,extent
Person71,data_value10238,nameOfThePerson
EuropeanaAggregation2,WebResource171,hasView
EuropeanaAggregation2,data_value5018,label
EuropeanaAggregation2,CulturalHeritageObject1803,aggregatedCHO
WebResource171,data_value12767,label
CulturalHeritageObject1803,data_value6372,provenance
CulturalHeritageObject1803,data_value8211,title
CulturalHeritageObject1803,Person30,creator
CulturalHeritageObject1803,data_value9006,description
CulturalHeritageObject3,data_value12988,title
CulturalHeritageObject3,Person30,creator
CulturalHeritageObject3,data_value10923,extent
CulturalHeritageObject3,data_value10150,description
CulturalHeritageObject3,data_value6372,provenance
Person30,data_value6620,nameOfThePerson
WebResource1,data_value11567,label
EuropeanaAggregation3,WebResource2768,hasView
EuropeanaAggregation3,CulturalHeritageObject1856,aggregatedCHO
EuropeanaAggregation3,data_value12866,label
WebResource2768,data_value7765,label
CulturalHeritageObject1856,data_value11635,description
CulturalHeritageObject1856,data_value6372,provenance
CulturalHeritageObject1856,Person30,creator
CulturalHeritageObject1856,data_value11712,title
CulturalHeritageObject4,Person29,creator
CulturalHeritageObject4,data_value9671,extent
CulturalHeritageObject4,data_value3610,provenance
CulturalHeritageObject4,data_value12389,medium
CulturalHeritageObject4,data_value7485,description
CulturalHeritageObject4,data_value11393,title
Person29,data_value4911,nameOfThePerson
CulturalHeritageObject5,Person38,creator
CulturalHeritageObject5,data_value13242,provenance
CulturalHeritageObject5,data_value1803,medium
CulturalHeritageObject5,data_value11461,extent
CulturalHeritageObject5,data_value11624,title
CulturalHeritageObject5,data_value9030,description
Person38,data_value11204,nameOfThePerson
WebResource2,data_value12280,label
WebResource3,data_value7301,label
EuropeanaAggregation4,data_value9767,label
EuropeanaAggregation4,CulturalHeritageObject1431,aggregatedCHO
EuropeanaAggregation4,WebResource641,hasView
CulturalHeritageObject1431,data_value7821,title
CulturalHeritageObject1431,data_value3239,description
CulturalHeritageObject1431,data_value791,provenance
CulturalHeritageObject1431,data_value13000,extent
CulturalHeritageObject1431,Person62,creator
CulturalHeritageObject1431,data_value12389,medium
WebResource641,data_value3422,label
EuropeanaAggregation5,data_value13200,label
EuropeanaAggregation5,CulturalHeritageObject695,aggregatedCHO
EuropeanaAggregation5,WebResource3043,hasView
CulturalHeritageObject695,data_value7711,medium
CulturalHeritageObject695,Person71,creator
CulturalHeritageObject695,data_value8174,provenance
CulturalHeritageObject695,data_value9531,description
CulturalHeritageObject695,data_value990,title
CulturalHeritageObject695,data_value1994,extent
WebResource3043,data_value12961,label
EuropeanaAggregation6,data_value4816,label
EuropeanaAggregation6,CulturalHeritageObject1168,aggregatedCHO
EuropeanaAggregation6,WebResource2638,hasView
CulturalHeritageObject1168,Person64,creator
CulturalHeritageObject1168,data_value4231,provenance
CulturalHeritageObject1168,data_value1751,medium
CulturalHeritageObject1168,data_value7360,extent
CulturalHeritageObject1168,data_value8973,description
WebResource2638,data_value8810,label
CulturalHeritageObject6,Person71,creator
CulturalHeritageObject6,data_value12931,description
CulturalHeritageObject6,data_value7711,medium
CulturalHeritageObject6,data_value2503,title
CulturalHeritageObject6,data_value8174,provenance
CulturalHeritageObject6,data_value1994,extent
CulturalHeritageObject7,data_value4788,extent
CulturalHeritageObject7,Person64,creator
CulturalHeritageObject7,data_value4231,provenance
CulturalHeritageObject7,data_value906,description
CulturalHeritageObject7,data_value1751,medium
Person64,data_value13143,nameOfThePerson
WebResource4,data_value11280,label
CulturalHeritageObject8,data_value11934,title
CulturalHeritageObject8,Person48,creator
CulturalHeritageObject8,data_value12824,description
CulturalHeritageObject8,data_value8148,provenance
CulturalHeritageObject8,data_value4262,extent
Person48,data_value605,nameOfThePerson
EuropeanaAggregation7,data_value11901,label
EuropeanaAggregation7,WebResource3033,hasView
EuropeanaAggregation7,CulturalHeritageObject2484,aggregatedCHO
WebResource3033,data_value8863,label
CulturalHeritageObject2484,data_value5048,provenance
CulturalHeritageObject2484,data_value551,medium
CulturalHeritageObject2484,data_value9973,title
CulturalHeritageObject2484,data_value4056,extent
CulturalHeritageObject2484,data_value10388,description
CulturalHeritageObject2484,Person72,creator
CulturalHeritageObject9,data_value1955,description
CulturalHeritageObject9,Person30,creator
CulturalHeritageObject9,data_value9353,title
CulturalHeritageObject9,data_value6372,provenance
CulturalHeritageObject10,data_value6372,provenance
CulturalHeritageObject10,Person30,creator
CulturalHeritageObject10,data_value4449,description
CulturalHeritageObject10,data_value11963,title
EuropeanaAggregation8,WebResource2997,hasView
EuropeanaAggregation8,data_value11243,label
EuropeanaAggregation8,CulturalHeritageObject128,aggregatedCHO
WebResource2997,data_value412,label
CulturalHeritageObject128,data_value7711,medium
CulturalHeritageObject128,data_value1994,extent
CulturalHeritageObject128,data_value10698,description
CulturalHeritageObject128,data_value9715,title
CulturalHeritageObject128,data_value8174,provenance
CulturalHeritageObject128,Person71,creator
CulturalHeritageObject11,data_value1994,extent
CulturalHeritageObject11,data_value12279,description
CulturalHeritageObject11,data_value11936,title
CulturalHeritageObject11,data_value8174,provenance
CulturalHeritageObject11,Person71,creator
CulturalHeritageObject11,data_value1751,medium
EuropeanaAggregation9,WebResource1105,hasView
EuropeanaAggregation9,CulturalHeritageObject2156,aggregatedCHO
EuropeanaAggregation9,data_value6021,label
WebResource1105,data_value9852,label
CulturalHeritageObject2156,data_value3777,title
CulturalHeritageObject2156,data_value8148,provenance
CulturalHeritageObject2156,data_value12270,description
CulturalHeritageObject2156,data_value2805,extent
CulturalHeritageObject2156,Person48,creator
WebResource5,data_value3591,label
EuropeanaAggregation10,data_value9975,label
EuropeanaAggregation10,WebResource2627,hasView
EuropeanaAggregation10,CulturalHeritageObject1633,aggregatedCHO
WebResource2627,data_value12186,label
CulturalHeritageObject1633,data_value1825,description
CulturalHeritageObject1633,data_value9504,provenance
CulturalHeritageObject1633,Person55,creator
EuropeanaAggregation11,data_value6231,label
EuropeanaAggregation11,CulturalHeritageObject573,aggregatedCHO
EuropeanaAggregation11,WebResource2390,hasView
CulturalHeritageObject573,Person45,creator
CulturalHeritageObject573,data_value13242,provenance
CulturalHeritageObject573,data_value4840,description
CulturalHeritageObject573,data_value5091,medium
CulturalHeritageObject573,data_value829,title
CulturalHeritageObject573,data_value8953,extent
WebResource2390,data_value4290,label
EuropeanaAggregation12,data_value4914,label
EuropeanaAggregation12,WebResource1060,hasView
EuropeanaAggregation12,CulturalHeritageObject868,aggregatedCHO
WebResource1060,data_value11608,label
CulturalHeritageObject868,data_value3610,provenance
CulturalHeritageObject868,data_value11393,title
CulturalHeritageObject868,data_value2120,extent
CulturalHeritageObject868,Person29,creator
CulturalHeritageObject868,data_value6282,description
CulturalHeritageObject868,data_value12389,medium
CulturalHeritageObject12,data_value2558,description
CulturalHeritageObject12,Person69,creator
CulturalHeritageObject12,data_value7007,title
CulturalHeritageObject12,data_value6372,provenance
Person69,data_value5460,nameOfThePerson
EuropeanaAggregation13,WebResource312,hasView
EuropeanaAggregation13,CulturalHeritageObject1683,aggregatedCHO
EuropeanaAggregation13,data_value3734,label
WebResource312,data_value6034,label
CulturalHeritageObject1683,data_value12389,medium
CulturalHeritageObject1683,data_value1054,description
CulturalHeritageObject1683,data_value2492,title
CulturalHeritageObject1683,Person62,creator
CulturalHeritageObject1683,data_value791,provenance
CulturalHeritageObject1683,data_value10713,extent
EuropeanaAggregation14,data_value7694,label
EuropeanaAggregation14,CulturalHeritageObject1189,aggregatedCHO
EuropeanaAggregation14,WebResource591,hasView
CulturalHeritageObject1189,data_value2322,extent
CulturalHeritageObject1189,data_value13242,provenance
CulturalHeritageObject1189,data_value8102,medium
CulturalHeritageObject1189,data_value5038,description
CulturalHeritageObject1189,data_value9001,title
CulturalHeritageObject1189,Person13,creator
WebResource591,data_value8268,label
WebResource6,data_value11114,label
CulturalHeritageObject13,data_value3610,provenance
CulturalHeritageObject13,data_value8321,description
CulturalHeritageObject13,Person29,creator
CulturalHeritageObject13,data_value11393,title
CulturalHeritageObject13,data_value12389,medium
CulturalHeritageObject13,data_value4693,extent
EuropeanaAggregation15,CulturalHeritageObject3101,aggregatedCHO
EuropeanaAggregation15,WebResource268,hasView
EuropeanaAggregation15,data_value3861,label
CulturalHeritageObject3101,data_value13242,provenance
CulturalHeritageObject3101,data_value10261,description
CulturalHeritageObject3101,data_value4955,extent
CulturalHeritageObject3101,data_value923,medium
CulturalHeritageObject3101,data_value11427,title
WebResource268,data_value11600,label
CulturalHeritageObject14,Person55,creator
CulturalHeritageObject14,data_value9504,provenance
CulturalHeritageObject14,data_value13140,description
Person55,data_value9468,nameOfThePerson
EuropeanaAggregation16,WebResource3089,hasView
EuropeanaAggregation16,data_value6646,label
EuropeanaAggregation16,CulturalHeritageObject2941,aggregatedCHO
WebResource3089,data_value8998,label
CulturalHeritageObject2941,data_value6983,extent
CulturalHeritageObject2941,data_value1021,description
CulturalHeritageObject2941,data_value8148,provenance
CulturalHeritageObject2941,data_value9607,title
CulturalHeritageObject2941,Person48,creator
WebResource7,data_value6368,label
WebResource8,data_value9765,label
CulturalHeritageObject15,data_value5135,description
CulturalHeritageObject15,data_value6372,provenance
CulturalHeritageObject15,data_value12197,title
CulturalHeritageObject15,Person30,creator
WebResource9,data_value13025,label
CulturalHeritageObject16,data_value2418,title
CulturalHeritageObject16,Person85,creator
