Object Title,Object Work Type,Artist Name,Artist Birth Date,Artist Death Date,Artist Nationality,Object Earliest Date,Object Rights,Object Facet Value 1,Object Link Source,dimensions
Stream in the Mountains,Paintings,George Inness,1825,1894,American,1825,"Dallas Museum of Art, bequest of Cecil A. Keating",Oil on canvas,Dallas Museum of Art,91.12 x 128.91 cm
Art Beauty Shoppe,Paintings,Isaac Soyer,1907,1981,American,1934,"Dallas Museum of Art, gift of the Public Works of Art Project",Oil on canvas,Dallas Museum of Art,106.68 x 125.73 cm
Share Cropper,Paintings,Jerry Bywaters,1906,1989,American,1937,"Dallas Museum of Art, Allied Arts Civic Prize, Eighth Annual Dallas Allied Arts Exhibition, 1937",Oil on Masonite,Dallas Museum of Art,74.29 x 59.69 cm
Cypress Fen,Paintings,William Lester,1910,1991,American,1935,"Dallas Museum of Art, Kiest Fund Prize, Eleventh Annual Dallas Allied Arts Exhibition, 1940",Oil on masonite,Dallas Museum of Art,56.83 x 70.82 cm
Prodigal Son,Paintings,Thomas Hart Benton,1889,1975,American,1934,"Dallas Museum of Art, Dallas Art Association Purchase",Oil and tempera on panel,Dallas Museum of Art,66.36 x 77.47 x 8.26 cm
Drouth Stricken Area,Paintings,Alexandre Hogue,1898,1994,American,1934,"Dallas Museum of Art, Dallas Art Association Purchase",Oil on canvas,Dallas Museum of Art,76.2 x 107.32 cm
"An Indian Paradise (Green River, Wyoming)",Paintings,Thomas Moran,1837,1926,American,1911,"Dallas Museum of Art, Munger Fund",Oil on canvas,Dallas Museum of Art,76.2 x 101.6 cm
Leadbelly,Sculpture,Michael G. Owen Jr.,1915,1976,American,1943,"Dallas Museum of Art, Mr. and Mrs. Tom Gooch Fund Purchase Prize, Twelfth Annual Texas Painting and Sculpture, 1950-1951",Black serpentine,Dallas Museum of Art,30.48 x 29.21 x 24.13 cm
Summer Foliage,Paintings,George Inness,1825,1894,American,1883,"Dallas Museum of Art, bequest of Joel T. Howard",Oil on canvas,Dallas Museum of Art,76.2 x 113.03 cm
Duck Island,Paintings,Childe Hassam,1859,1935,American,1906,"Dallas Museum of Art, bequest of Joel T. Howard",Oil on canvas,Dallas Museum of Art,70.49 x 96.52 cm
Sleepy Baby,Works on Paper - Pastels,Mary Cassatt,1844,1926,American,1900,"Dallas Museum of Art, Munger Fund",Pastel on paper,Dallas Museum of Art,64.77 x 52.07 cm
Munich Still Life,Paintings,William Michael Harnett,1848,1892,American,1882,"Dallas Museum of Art, Dallas Art Association Purchase",Oil on canvas,Dallas Museum of Art,62.55 x 76.36 cm
Where the Clouds Love to Rest,Paintings,Alfred Jacob Miller,1810,1874,American,1825,"Dallas Museum of Art, gift of C.R. Smith",Oil on panel,Dallas Museum of Art,24.13 x 40.01 cm
The Lake Her Lone Bosom Expands to the Sky,Paintings,Alfred Jacob Miller,1810,1874,American,1825,"Dallas Museum of Art, gift of C.R. Smith",Oil on panel,Dallas Museum of Art,24.13 x 39.37 cm
Emma in a Purple Dress,Paintings,George W. Bellows,1882,1925,American,1920,"Dallas Museum of Art, Dallas Art Association Purchase",Oil on canvas,Dallas Museum of Art,160.02 x 129.54 cm
Lighthouse Hill,Paintings,Edward Hopper,1882,1967,American,1927,"Dallas Museum of Art, gift of Mr. and Mrs. Maurice Purnell",Oil on canvas,Dallas Museum of Art,73.82 x 102.24 cm
Casting in the Falls,Works on Paper - Watercolors,Winslow Homer,1836,1910,American,1889,"Dallas Museum of Art, Dallas Art Association Purchase",Watercolor,Dallas Museum of Art,35.88 x 51.12 cm
That Gentleman,Paintings,Andrew Wyeth,1917,2009,American,1960,"Dallas Museum of Art, Dallas Art Association Purchase",Tempera on panel,Dallas Museum of Art,59.69 x 121.28 cm
Razor,Paintings,Gerald Murphy,1888,1964,American,1924,"Dallas Museum of Art, Foundation for the Arts Collection, gift of the artist",Oil on canvas,Dallas Museum of Art,81.44 x 92.71 cm
Watch,Paintings,Gerald Murphy,1888,1964,American,1925,"Dallas Museum of Art, Foundation for the Arts Collection, gift of the artist",Oil on canvas,Dallas Museum of Art,199.39 x 200.34 cm
The Peaceable Kingdom,Paintings,Edward Hicks,1780,1849,American,1821,"Dallas Museum of Art, The Art Museum League Fund",Oil on canvas,Dallas Museum of Art,60.96 x 79.06 cm
Time and Tide,Paintings,Alfred Thompson Bricher,1837,1908,American,1848,"Dallas Museum of Art, Foundation for the Arts Collection, gift of Mr. and Mrs. Frederick Mayer",Oil on canvas,Dallas Museum of Art,64.14 x 127 cm
The Icebergs,Paintings,Frederic Edwin Church,1826,1900,American,1861,"Dallas Museum of Art, gift of Norma and Lamar Hunt",Oil on canvas,Dallas Museum of Art,163.83 x 285.75 cm
Dorothy,Paintings,John Singer Sargent,1856,1925,American,1900,"Dallas Museum of Art, gift of the Leland Fikes Foundation, Inc.",Oil on canvas,Dallas Museum of Art,61.28 x 50.17 cm
Composition 7—Snow,Paintings,Raymond Jonson,1891,1982,American,1928,"Dallas Museum of Art, Foundation for the Arts Collection, gift of Mr. and Mrs. Duncan E. Boeckman",Oil on canvas,Dallas Museum of Art,83.82 x 96.52 cm
Cotton Boll,Paintings,Otis Dozier,1904,1987,American,1936,"Dallas Museum of Art, gift of Eleanor and C. Thomas May, Jr.",Oil on Masonite,Dallas Museum of Art,49.53 x 39.37 cm
Suspended Power,Paintings,Charles Sheeler,1883,1965,American,1939,"Dallas Museum of Art, gift of Edmund J. Kahn",Oil on canvas,Dallas Museum of Art,83.82 x 66.04 x 5.08 cm
Christ and His Mother Studying the Scriptures,Paintings,Henry Ossawa Tanner,1859,1937,American,1899,"Dallas Museum of Art, Deaccession Funds",Oil on canvas,Dallas Museum of Art,123.82 x 101.6 cm
Buildings,Paintings,Charles Demuth,1883,1935,American,1930,"Dallas Museum of Art, Dallas Art Association Purchase Fund, Deaccession Funds/City of Dallas (by exchange) in honor of Dr. Steven A. Nash",Tempera and plumbago on composition board,Dallas Museum of Art,76.2 x 60.96 cm
Bather with Cigarette,Paintings,Yasuo Kuniyoshi,1893,1953,American,1924,"Dallas Museum of Art, Dallas Art Association Purchase Fund, Deaccession Funds/City of Dallas (by exchange) in honor of Dr. Steven A. Nash",Oil on canvas,Dallas Museum of Art,106.68 x 63.5 cm
Rachel Leeds Kerr,Paintings,Charles Willson Peale,1741,1827,American,1790,"Dallas Museum of Art, gift of the Pauline Allen Gill Foundation",Oil on canvas,Dallas Museum of Art,91.44 x 68.58 cm
Untitled (Field of Bluebonnets),Paintings,Julian Onderdonk,1882,1922,American,1900,"Dallas Museum of Art, bequest of Margaret M. Ferris",Oil on canvas,Dallas Museum of Art,59.37 x 100.01 cm
Grey Blue & Black—Pink Circle,Paintings,Georgia O'Keeffe,1887,1986,American,1929,"Dallas Museum of Art, gift of The Georgia O'Keeffe Foundation",Oil on canvas,Dallas Museum of Art,91.44 x 121.92 cm
Road Signs,Paintings,Coreen Mary Spellman,1905,1978,American,1931,"Dallas Museum of Art, gift of Helen, Mick and Thomas Spellman",Oil on canvas,Dallas Museum of Art,71.12 x 91.44 cm
Male Torso,Sculpture,Dorothy Austin,1911,2011,American,1936,"Dallas Museum of Art, gift of Dr. and Mrs. Robert W. Webb",White pine,Dallas Museum of Art,28.89 x 11.43 x 10.8 cm
Woodbury Langdon,Paintings,John Singleton Copley,1738,1815,American,1767,"Dallas Museum of Art, The Eugene and Margaret McDermott Art Fund, Inc.",Oil on canvas,Dallas Museum of Art,126.36 x 101.6 cm
Sarah Sherburne Langdon,Paintings,John Singleton Copley,1738,1815,American,1767,"Dallas Museum of Art, The Eugene and Margaret McDermott Art Fund, Inc.",Oil on canvas,Dallas Museum of Art,126.36 x 100.96 cm
Cinderella at the Kitchen Fire,Paintings,Thomas Sully,1783,1872,American,1843,"Dallas Museum of Art, gift of the Pauline Allen Gill Foundation",Oil on canvas,Dallas Museum of Art,147.32 x 162.56 cm
Miss Dorothy Quincy Roosevelt (later Mrs. Langdon Geer),Paintings,John White Alexander,1856,1915,American,1901,"Dallas Museum of Art, gift of the Pauline Allen Gill Foundation in memory of Pauline Gill Sullivan",Oil on canvas,Dallas Museum of Art,152.4 x 101.6 cm
Winter Scene in Brooklyn,Paintings,Francis Guy,1760,1820,American,1812,"Dallas Museum of Art, The Eugene and Margaret McDermott Art Fund, Inc.",Oil on canvas,Dallas Museum of Art,104.14 x 163.83 cm
"Mountains, no. 19",Paintings,Marsden Hartley,1877,1943,American,1930,"Dallas Museum of Art, The Eugene and Margaret McDermott Art Fund, Inc.",Oil on board,Dallas Museum of Art,91.44 x 83.82 cm
Lady Godiva,Sculpture,Anne Whitney,1821,1915,American,1856,"Dallas Museum of Art, gift of Dr. Alessandra Comini in memory of Dr. Eleanor Tufts, who discovered the Massachusetts-backyard whereabouts of this long-forgotten statue and brought it to Dallas",Marble,Dallas Museum of Art,170.18 x 71.12 x 60.96 cm
"View from Garrison, West Point, New York",Paintings,David Johnson,1827,1908,American,1870,"Dallas Museum of Art, The Patsy Lacy Griffith Collection, gift of Patsy Lacy Griffith by exchange, and General Acquisitions Fund",Oil on canvas,Dallas Museum of Art,46.36 x 76.2 cm
