image,Date,Geography,Medium,Dimensions,Classification,Credit Line,Who,Description,Provenance,EA_id
http://images.metmuseum.org/CRDImages/ad/web-large/DP228047.jpg,1770-76,"Mid-Atlantic, New York City, New York, United States",Silver,11 3/16 x 14 7/16 x 11 3/8 in. (28.4 x 36.7 x 28.9 cm); 41 oz. 5 dwt. (1282.7 g),Silver,"Morris K. Jesup Fund, 1954",Myer Myers,"American baskets for bread, cake, or fruit are extremely rare. The monogram on the interior is for Susannah and Samuel Cornell. Myers made several objects for these wealthy patrons from New York and New Bern, North Carolina. According to the inscription on the underside of the basket, the Cornells later gave it to their daughter Hannah, who married Herman LeRoy on October 19, 1786.","Made for Samuel (1731-1781) and Susannah Mabson (d. 1778) Cornell, New York, NY and New Bern, NC; to their daughter, Hannah Cornell Le Roy (ca. 1760-1818); by descent to Stuyvesant Le Roy (b. 1865); to his cousin, Augusta McCagg (b. 1895)I; bought by The Metropolitan Museum of Art, 1954.",08afa22e620f
http://images.metmuseum.org/CRDImages/ad/web-large/DP104414.jpg,1700-1710,"Mid-Atlantic, New York City, New York, United States",Silver,Overall 5 3/8 x 13 13/16 in. (13.7 x 35.1 cm); 25 oz. 19 dwt. (806.9 g); Lip Diam. 9 11/16 in. (24.6 cm); Foot Diam. 4 13/16 in. (12.2 cm),Silver,"Samuel D. Lee Fund, 1938",Cornelius Kierstede,"Derived from Dutch, Scandinavian, and English sources, brandywine bowls were used on festive occasions such as the kindermaal, when women gathered to welcome a newborn child. Following Dutch custom, a bowl would be filled with raisins and brandy and passed from guest to guest. Here, boldly chased tulips create a sumptuous effect. The bowl belonged to Theunis Jacobsen Quick, a wealthy baker, and his wife, Vroutje 4516 Janse Haring.","Theunis Jacobsen Quick and Vroutje Janse Haring; with Robert Ensko, New York; sold to The Metropolitan Museum of Art, 1938.",6e2b5f8bee34
http://images.metmuseum.org/CRDImages/ad/web-large/DP108633.jpg,1758,"New England, Newport, Rhode Island, United States","Walnut, maple",46 3/8 x 32 3/8 x 25 7/8 in. (117.8 x 82.2 x 65.7 cm),Furniture,"Gift of Mrs. J. Insley Blair, 1950",Caleb Gardner,"Eighteenth-century easy chairs heavily padded, with thick down-filled cushions, and with wings to rest one's head against and keep drafts away—were often reserved for the elderly or the infirm. This New England example is remarkable for its elaborate upholstery and intact condition. The front is covered with Irish stitch needlework and the back with a needlework landscape scene. The seams are covered with silk tape. The frame is inscribed by ""Gardner Junr,"" presumably the upholsterer, and dated ""Newport, May 1758.""","The Keech or Keach family, Newport, Rhode Island, by 1850-1926; with Ginsburg and Levy Inc., New York, 1926; Mrs. J. Insley Blair, Tuxedo Park, New York, 1926-1950",2e988ead147f
http://images.metmuseum.org/CRDImages/ad/web-large/DT2511.jpg,1765-69,"Mid-Atlantic, Albany, New York, United States","Wood, paper, and paint",Dimensions unavailable,Architecture,"Gift of Mrs. William Bayard Van Rensselaer, in memory of her husband, 1928",,,"Stephen Van Rensselaer II, Albany, New York, 1769; Mrs. William Bayard Van Rensselaer, Albany, New York, until 1928",e5fbadec3457
http://images.metmuseum.org/CRDImages/ad/web-large/DP116692.jpg,ca. 1772,"New England, Newport, Rhode Island, United States","Mahogany, chestnut, tulip poplar",86 3/4 x 44 x 21 3/8 in. (220.3 x 111.8 x 54.3 cm),Furniture,"Purchase, Friends of the American Wing Fund, Mr. and Mrs. Robert G. Goelet Gift, Sansbury-Mills Fund, and Leigh Keno and The Hohmann Foundation Gifts, 2005",Thomas Townsend,,"Presumably David Gardiner (1738-1774), Gardiner's Island; to John Lyon Gardiner, and thence in direct descent to Robert D.L. Gardiner, from whose estate it was sold in January 2005. The recently discovered ""Nicholas Easton 1772"" inscription offers exciting opportunities for further research. The date is absolutely appropriate for the manufacture of the piece. Nicholas Easton (1733-1811), descended from one of the founders of Newport, is said to have been a cabinetmaker, but as yet we know very little about him.",bb900122ebf3
http://images.metmuseum.org/CRDImages/ap/web-large/DT1551.jpg,1895,,Oil on canvas,52 1/4 x 63 5/8 in. (132.7 x 161.6 cm),Paintings,"Anonymous Gift, 1980",John White Alexander,,"the artist, until died 1915; his wife, Elizabeth A. Alexander, New York and Princeton, New Jersey, 1915-died 1947; her son, James W. Alexander, Princeton, New Jersey, 1947-died 1971; his daughter, Irina A. Reed, New York, 1971-1979",0d2b0c37d96c
http://images.metmuseum.org/CRDImages/ap/web-large/DT82.jpg,1863,,Oil on canvas,73 1/2 x 120 3/4 in. (186.7 x 306.7 cm),Paintings,"Rogers Fund, 1907",Albert Bierstadt,"This painting is the major work that resulted from the artist's first trip to the West. His intention to create panoramic views of the American frontier was apparent by December 1858, just before he embarked on the trip. In early 1859 he accompanied a government survey expedition, headed by Frederick W. Lander, to the Nebraska Territory. By summer, the party had reached the Wind River Range of the Rocky Mountains in what is now Wyoming. Bierstadt dubbed the central mountain in the picture Lander's Peak following the colonel's death in the Civil War. This was one of a number of large works painted after Bierstadt's return from these travels. It was completed in 1863, exhibited to great acclaim, and purchased in 1865 for the then-astounding sum of $25,000 by James McHenry, an American living in London. Bierstadt later bought it back and gave or sold it to his brother Edward.","With Emil Seitz, Seitz and Noelle Gallery, New York, by 1864; James McHenry, London, 1866-98; the artist's brother, Edward Bierstadt, 1898-died 1907; his daughter, Mary Adeline Bierstadt, 1907",8a494b57653e
http://images.metmuseum.org/CRDImages/ap/web-large/DT73.jpg,1845,,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),Paintings,"Morris K. Jesup Fund, 1933",George Caleb Bingham,"On June 4, 1845, Bingham returned from a winter stay in central Missouri to St. Louis, bringing with him several paintings and many sketches. This apparently was one of the pictures that he brought with him, and he sent it later that year for sale to the American Art-Union. It was first called ""French-Trader—Half breed Son,"" but the Art-Union gave it the title by which it is now known. Bingham, whose earliest efforts were portraits, produced a masterpiece of genre painting with little precedent in his oeuvre. The strikingly spare, geometric composition and luminist light recall the paintings of William Sidney Mount, particularly his ""Eel Spearing at Setauket"" (New York State Historical Association, Cooperstown). The solemn, motionless scene immortalizes the vanished world of the American frontier, constructed for a northeastern audience. The tranquil work was submitted to the Art-Union as a possible companion to the more implicitly violent ""The Concealed Enemy"" (Stark Museum of Art, Orange, Texas), in which an armed Osage warrior lies in wait behind a boulder. The polar opposition of quietude, savagery, and frontier danger embodied in the paintings held enormous appeal for urban viewers. Bingham painted a similar, though less extraordinary, picture called ""The Trapper's Return"" (Detroit Institute of Arts) in New York in 1851.","American Art-Union, New York, 1845; by lottery to Robert S. Bunker, Mobile, Alabama; his daughter, Josephine (Mrs. Alphonse) du Mont; her daughter, Lina du Mont, Point Clear, Alabama; with E. Herndon Smith, New York, as agent, 1932; with John Wise Ltd, New York, 1933",52360a9b6d1a
http://images.metmuseum.org/CRDImages/ap/web-large/DT95.jpg,ca. 1892,,Oil on canvas,20 x 34 in. (50.8 x 86.4 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967",William Merritt Chase,"Beginning in 1891 Chase taught at a summer art school in Shinnecock, Long Island. The following year, he and his family moved into their new summer home, Shinnecock Hall, which had been designed and built by the well-known firm of McKim, Mead and White. Chase taught at the beach resort until 1902, conducting open-air classes for as many as a hundred students each summer. This work is characteristic of the outdoor scenes that Chase painted during the 1890s on Long Island beaches.","Laird collection, Philadelphia, until 1943; sale, Samuel T. Freeman and Company, Philadelphia, April 19, 1943, no. 26; with Mr. Michelotti, New York, 1943; with M. Knoedler and Company, New York, 1943; with Grand Central Art Galleries, New York, 1943; Adelaide Milton de Groot, New York, 1943-died 1967",2f1e8589e657
http://images.metmuseum.org/CRDImages/ap/web-large/DT78.jpg,1859,,Oil on canvas,66 1/8 x 119 1/4in. (168 x 302.9cm),Paintings,"Bequest of Margaret E. Dows, 1909",Frederic Edwin Church,"This picture was inspired by Church's second trip to South America in the spring of 1857. Church sketched prolifically throughout his nine weeks travel in Ecuador, and many extant watercolors and drawings contain elements found in this work. The picture was publicly unveiled in New York at Lyrique Hall, 756 Broadway, on April 27, 1859. Subsequently moved to the gallery of the Tenth Street Studio Building, it was lit by gas jets concealed behind silver reflectors in a darkened chamber. The work caused a sensation, and twelve to thirteen thousand people paid twenty-five cents apiece to file by it each month. The picture was also shown in London, where it was greatly admired as well.","William T. Blodgett, New York, 1859-76; sale, Chickering Hall, New York, April 27, 1876, no. 92 [bought before the auction by David Dows]; David Dows, New York, 1876-died 1890; his wife, Mrs. David (Margaret E.) Dows, New York, 1890-died 1909",5369baf337cd
