Title,Artist,Classification,Medium,Dimension,Owner,Image,Description,DateOfWork,CreditLine,Sitter,sitterBirthDate,sitterDeathDate,birthDate,deathDate,EA_id
Henry Larcom Abbot,Nahum Ball Onthank,Painting,Oil on canvas,"41.9cm x 36.8cm (16 1/2"" x 14 1/2"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/9200254a.jpg,,1857,"National Portrait Gallery, Smithsonian Institution; gift of Henry Merriam Abbot, in loving memory of his great-grandfather, Henry Larcom Abbot",Henry Larcom Abbot,1831,1927,1823,1888,704dbec6c83f
Jean Louis Rodolphe Agassiz,Louis Mayer,Painting,Oil on canvas,"88.9cm x 76.2cm (35"" x 30""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600030a.jpg,,1913,"National Portrait Gallery, Smithsonian Institution; transfer from the National Museum of Natural History",Jean Louis Rodolphe Agassiz,1807,1873,1869,1969,f6f94ecf62ba
Jean Louis Rodolphe Agassiz,Walter Ingalls,Painting,Oil on canvas,"92cm x 76.5cm (36 1/4"" x 30 1/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600052a.jpg,,1872-1873,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum",Jean Louis Rodolphe Agassiz,1807,1873,1805,1874,b98ae1d498d4
Apollo 11 Crew,Ronald B. Anderson,Painting,Oil on board,"Board: 102.2 x 81.3 x 2.5cm (40 1/4 x 32 x 1"") Frame: 118.1 x 97.8 x 6.4cm (46 1/2 x 38 1/2 x 2 1/2"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7000062a.jpg,,1969,"National Portrait Gallery, Smithsonian Institution; gift of Mr. and Mrs. William D. Blakemore, Midland, Texas; Mr. and Mrs. Omar Harvey, Dallas, Texas; Mr. and Mrs. R.K. Keitz, Dallas, Texas; Col. and Mrs. Thomas A.P. Krock, Dallas, Texas; Mr. and Mrs. W.R. Lloyd, Jr., Houston, Texas; Dr. and Mrs. J.R. Maxfield, Dallas, Texas; Mr. and Mrs. Wesley Nagorny, Jr., Houston, Texas; Dr. and Mrs. H.B. Renfrow, Dallas, Texas; Mr. and Mrs. J.W. Taylor, Dallas, Texas; Dr. and Mrs. J. Robert Terry, Miami, Florida; Mr. and Mrs. Thomas B. Young, Dallas, Texas; and an anonymous donor",Neil Alden Armstrong,1930,2012,1929,,dfbc9f94d187
Neil Armstrong,Robert Theodore McCall,Painting,Oil on canvas,"Stretcher: 50.8 x 76.2cm (20 x 30"") Frame: 70.2 x 95.3 x 5.1cm (27 5/8 x 37 1/2 x 2"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/B0000234C.jpg,,2009,"National Portrait Gallery, Smithsonian Institution; gift of McCall Studios",Neil Alden Armstrong,1930,2012,1919,2010,1a62f7891004
Neil Armstrong,Louis Glanzman,Painting,Acrylic and casein on Masonite,"Sight: 76.8 x 56.5cm (30 1/4 x 22 1/4"") Frame: 83.8 x 64.1 x 3.8cm (33 x 25 1/4 x 1 1/2"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/78T1686A_2.jpg,"Born Wapakoneta, Ohio   On July 20, 1969, Neil Armstrong became the first person to walk on the moon, meeting President John F. Kennedy闂佺偨鍎查悰?1961 goal for Americans to reach the moon by the end of the decade. Descending from the Lunar Excursion Module (LEM) to the lunar surface, Armstrong declared, 闂佺偨鍎叉导鎭榚 small step for (a) man, one giant leap for mankind ?as a camera beamed images back to earth. The lunar landing闂佺偨鍎查弨顪籸ing which Armstrong had to override the LEM闂佺偨鍎查悰?autopilot to manually guide the aircraft to a safe landing on the moon闂佺偨鍎查弫淇resents a defining moment in Armstrong闂佺偨鍎查悰?distinguished career, which included service in the Korean War. In honor of his achievement, the nation recognized him with the Presidential Medal of Freedom in 1969; he also received many other national and international accolades. He went on to teach and to work in private industry and helped the nation continue to strengthen its space program.",1969,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine",Neil Alden Armstrong,1930,2012,1922,,c4b28f76ec81
Chester Alan Arthur,Matthew Wilson,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6800074a.jpg,,1883,"National Portrait Gallery, Smithsonian Institution; transfer from the Harry S Truman Library, Independence, Missouri",Chester Alan Arthur,1829,1886,1814,1892,e0f40f480c31
Chester Alan Arthur,Eastman Johnson,Painting,,"134.5cm x 98.6cm (52 15/16"" x 38 13/16""), Sight ",Union League Club of New York,http://npgportraits.si.edu/eMuseumNPG/media/previews/ny270002.jpg,,1887?,"Union League Club, New York",Chester Alan Arthur,1829,1886,1824,1906,720327343bee
Chester Alan Arthur,George Peter Alexander Healy,Painting,Oil on canvas,"Sight: 75 x 62.4cm (29 1/2 x 24 9/16"") ",Newberry Library,http://npgportraits.si.edu/eMuseumNPG/media/previews/il090060.jpg,,1884,"The Newberry Library, Chicago, Illinois",Chester Alan Arthur,1829,1886,1813,1894,98fa24088824
Chester A. Arthur,Ole Peter Hansen Balling,Painting,Oil on canvas,"Sight: 62.2 x 50.8cm (24 1/2 x 20"") Frame: 79.1 x 69.2 x 7.6cm (31 1/8 x 27 1/4 x 3"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6700114a.jpg,"When Vice President Chester Arthur succeeded to the presidency on the death of James Garfield, a newspaper noted that he was ""not a man who would have entered anybody's mind"" as a worthy candidate for the office. Indeed, as a major player in a spoils system that reduced the civil service to a vehicle for rewarding party faithful, he struck many as an emblem of all that was wrong in American politics. As president, however, Arthur rose above his past to promote landmark legislation designed to curb the spoils system. He also proved to be a foe of other forms of corruption. When, for example, a ""pork barrel"" bill for public improvements reached his desk, he vetoed it.  This head-and-shoulders portrait can only hint at the fashionable figure that Arthur cut. With his muttonchop whiskers ""trimmed to the perfection point"" and his suits made of only the finest fabrics, he invariably looked like the very epitome of the well-bred Victorian gentleman. ",1881,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Harry Newton Blue; Frame conserved with funds from the Smithsonian Women's Committee",Chester Alan Arthur,1829,1886,1823,1906,4f47ee938db7
