origin,audio_url,nationality,category,dates,name,title,technique,image_url,dimension,birthDate,deathDate,EA_id
"Made in United States, North and Central America",,American,American Art,c. 1850,Artist/maker unknown,"""He That Tilleth His Land Shall Be Satisfied""",Oil on wood panel,http://www.philamuseum.org/images/cad/large/1965-209-5-ov.jpg,"22 7/16 x 29 3/4 inches (57 x 75.6 cm)
Framed: 26 3/8 x 33 5/8 x 2 inches (67 x 85.4 x 5.1 cm)",,,c572b4607425
"Made in United States, North and Central America",,American,Modern and Contemporary Art,c. 1900,Julius Gari Melchers,Baptism (Church Interior),Oil on canvas,http://www.philamuseum.org/images/cad/large/1946-5-1-nyd.jpg,43 1/2 x 33 3/16 inches (110.5 x 84.3 cm),1860,1932,90ed4a99559e
"Made in Philadelphia, Pennsylvania, United States, North and Central America",http://www.philamuseum.org/audio/collections/historicAmericaFamilyTour/694.mp3,American,American Art,1898-99,Thomas Eakins,Between Rounds,Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg,50 1/8 x 39 7/8 inches (127.3 x 101.3 cm),1844,1916,e984615acac3
"Made in United States, North and Central America",,American,American Art,1901,Warren Sheppard,Antrim Coastline,Oil on canvas,http://www.philamuseum.org/images/cad/large/2008-124-2-pma.jpg,20 x 30 inches (50.8 x 76.2 cm),1858,1937,d57472c7557f
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,,American Art,"Sketch for the painting in the Metropolitan Museum of Art, New York (81.14)",c. 1875,"Bertrand Gardel (Sketch for ""The Chess Players"")","Thomas Eakins, American, 1844 - 1916",http://www.philamuseum.org/images/cad/large/1930-32-6.jpg,,,,c24002dc7fc1
"Made in United States, North and Central America",,American,American Art,1878,Eastman Johnson,Barn Swallows,Oil on canvas,http://www.philamuseum.org/images/cad/large/1953-111-1-CX.jpg,27 3/16 x 22 3/16 inches (69.1 x 56.4 cm),1824,1906,4a362d8962a9
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American,American Art,1900,Thomas Eakins,Antiquated Music (Portrait of Sarah Sagehorn Frishmuth),Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-7-CX.jpg,97 x 72 inches (246.4 x 182.9 cm),1844,1916,ea9c4883180d
"Made in United States, North and Central America",,American,Modern and Contemporary Art,c. 1940,John Sloan,Arachne,Tempera glazed with oil on Masonite,http://www.philamuseum.org/images/cad/large/1941-103-3-nyd.jpg,27 15/16 x 26 inches (71 x 66 cm),1871,1951,f4036f78420e
"Made in United States, North and Central America",,American,American Art,1823,Bass Otis,"Annette Savage and her daughters, Charlotte & Pauline",Oil on canvas,http://www.philamuseum.org/images/cad/large/1965-48-1.jpg,66 3/8 x 50 1/4 inches (168.6 x 127.6 cm),1784,1861,7bacca6693fd
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American,American Art,1903,Thomas Eakins,An Actress (Portrait of Suzanne Santje),Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-23-sl.jpg,79 3/4 x 59 7/8 inches (202.6 x 152.1 cm),1844,1916,26358cbdb53a
"Made in United States, North and Central America",,American(activeLondon,American Art,c. 1910,John Singer Sargent,A Waterfall,Oil on canvas,http://www.philamuseum.org/images/cad/large/2004-5-1.jpg,"44 1/2 x 28 1/2 inches (113 x 72.4 cm)
Framed: 55 1/2 x 39 inches (141 x 99.1 cm)",,,b0f1ccebbd96
"Made in United States, North and Central America",,American,American Art,c. 1811,Washington Allston,"Adoration of the Magi, after Titian",Oil on canvas,http://www.philamuseum.org/images/cad/large/2004-8-1front-rec.jpg,"Framed: 35 1/4 x 43 1/4 x 3 1/2 inches (89.5 x 109.9 x 8.9 cm)
Canvas: 28 1/2 x 36 inches (72.4 x 91.4 cm)",1779,1843,57c9e8a1ea35
