description,title,artist,credit,materials,image_URL,dimensions,EA_id
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, November 14, 1963.  President's Committee on Equal Employment Opportunity (PCEEO) met at the Sunset Room in the Ambassador Hotel in Los Angeles, California, November 14, 1963.  Hobart Taylor, Jr. vice chairman of the PCEEO, a tall African American man in suit and striped necktie with eyeglasses in breast pocket, stands in center holding a folder, ""Regional Community Leaders Conference,"" with a slender Japanese man in suit and eyeglasses.  They are flanked by three other men in suits.  Includes John Yoshino, deputy director of field services, right; Art Takei, Local 77, Retail Clerks Union; Wilbur Sato and Tak Kubota, officers of Japanese American Citizens' League (JACL).","President's Committee on Equal Employment Opportunity at Ambassador Hotel, Los Angeles, California, November 14, 1963",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.804_1_p_a.jpg,,2af4a3965967
"1 kote (mon making tool) : wood, iron ; 11.5 x 0.875 (diameter) in.  Kote (mon making tool) composed of a heavy iron cylinder (0.875 in. diameter) attached to metal rod with wooden handle with five grooves on end.  Flat surface of cylinder on end.",Kote,,Gift of Barbara Kawakami,wood; iron,http://media.janm.org/collections/janm_2004.1.155_a.jpg,"L: 11.5 in, Diam: .875 in",3e8d92d4d72a
"1 obidome on cord ; obidome 1.5 x 1 in., cord 91 x 0.5 in.  Accompanied by box (2004.1.150B).  Sculpted maroon oval obidome (obi brooch) on a bi-colored orange and tan cord with tassels.  Cord is sewn onto a cardboard that fits inside a box.  Cord is 88 in. long with 1.5 in. tassels.<br>",Maroon obidome on orange and tan cord,,Gift of Barbara Kawakami,,http://media.janm.org/collections/janm_2004.1.151A-151B_a.jpg; http://media.janm.org/collections/janm_2004.1.151A_detail_a.jpg,"L: 91 in, Circum: 0.5 in",74c6b4da7e99
"1 kimono : cotton ; 43.5 x 23.25 (center back) in., sleeves 14 x 12.25 in., collar 2.5 in. wide.  Labeled: Maeda collection.  Indigo blue handwoven cotton kasuri kimono with turquoise pattern. Lined with natural color cotton at top front and back extending to armhole, and in seat area (approx. 14 x 13 in.).  Sleeves are short and have rounded bottom edge.  Collar is padded.",Indigo blue and turquoise kasuri kimono,,Gift of Barbara Kawakami,cotton,http://media.janm.org/collections/janm_2004.1.128_front_a.jpg; http://media.janm.org/collections/janm_2004.1.128_back2_a.jpg; http://media.janm.org/collections/janm_2004.1.128_detail_a.jpg; http://media.janm.org/collections/janm_2004.1.128_detail2_a.jpg; http://media.janm.org/collections/janm_2004.1.128_detail3_a.jpg,"L: 43.5 in,  center back: 23.25 in",70982cb6156f
"1 kimono : silk ; 59.5 x 24.5 in., sleeves 24.25 x 12 in., collar 4.375 in. wide.  Bright red montsuki kimono with bamboo design on interior and exterior front panels at hemline.  White and gold threads highlight some of the bamboo leaves.  Lined with off-white silk at collar, half of front panels, three-quarters of back panels, and sleeve interior.  There is a Kamon (family crest) design of a butterfly with diamond-shaped flower on center back below collar, back of both sleeves and front chest.  Mon is same design as kimono 2004.1.125 and 127.",Red silk montsuki kimono with bamboo design,,Gift of Barbara Kawakami,silk; gold thread,http://media.janm.org/collections/janm_2004.1.126_a.jpg; http://media.janm.org/collections/janm_2004.1.126_detail_a.jpg,"L: 59.5 in,  center back: 24.5 in",823c536f33b3
"1 kimono : silk ; 61 x 24.25 in. (center back), sleeves 24.5 x 12 in., collar 4.375 in. wide.  Dark brown montsuki kimono with embroidered pinecone and leaf design on interior and exterior of front panels at hemline.  Pinecones are embroidered with brown thread; gold and white thread on some pine needles.  Lined with off-white silk at collar and top half (front &amp; back) of kimono and sleeve interior.  There is a Kamon (family crest) design of a butterfly with tiny diamond-shaped flower on center back below collar, back of both sleeves and front.  Padded hemline.  Mon is same design as kimono 2004.1.126 and 127.",Dark brown kimono with pine cone design,,Gift of Barbara Kawakami,silk,http://media.janm.org/collections/janm_2004.1.125_a.jpg; http://media.janm.org/collections/janm_2004.1.125_detail_a.jpg,"L: 61 in,  center back: 24.25 in",262178fc9a61
"1 kimono ; 54 x 24 (center back) in., sleeves 20.5 x 12 in., collar 4.25 in. wide.  Dark brown (faded navy) silk montsuki kimono with creamy white phoenix bird and green &amp; white pine needles on inside and outside of proper right and left front panels near hem.  Lined with off-white silk in half of front panels, three-quarters of back panels and sleeve interior; padded hemline.  Kamon (family crest) of three circles around a plum blossom located center back below collar, back of both sleeves, and front chest.",Dark brown montsuki kimono with phoenix and pine,,Gift of Barbara Kawakami,silk,http://media.janm.org/collections/janm_2004.1.124_front_a.jpg; http://media.janm.org/collections/janm_2004.1.124_back_a.jpg; http://media.janm.org/collections/janm_2004.1.124_detail_a.jpg; http://media.janm.org/collections/janm_2004.1.124_detail2_a.jpg,"L: 57 in,  center back: 24 in",46ebd80a869d
"1 michiyuki (visiting coat) : silk ; 43.75 x 22.5 in., right sleeve 22.5 x 12.25 in., left sleeve 22.75 x 12.5 in.  Navy blue chirimen (pebble crepe) michiyuki (visiting coat) with subtle vertical stripe woven into fabric; body lined with gray, blue, brown horizonal striped habutai silk for 27 in. and navy chirimen at bottom, sleeves fully lined with striped silk.  Two black decorative knots sit at corners of 1.125 in. square neckline collar; two decorative knots with long ties at the front waistline.  Two short navy blue fabric ties are located inside of coat at waist to secure front.  Dimensions of sleeves are not exactly the same.","Navy blue chirimen michiyuki, Hiroshima, Japan",,Gift of Barbara Kawakami,silk,http://media.janm.org/collections/janm_2004.1.108_a.jpg,"L: 43.75 in,  center back: 22.5 in",843ae515bf3e
"1 pair of zori straps : fabric, cotton, twine ; each 6 x 1.5 (circumference) in.  Yellow straps for goza zori with pattern of rosy pink flowers, green leaves, and purple outlined ribbon bows stuffed with layers of fabric, paper, &amp; cotton batting and twine; matching fabric toe loops to anchor to front of zori.  Twine extends out from straps for anchoring to sides of zori.  Two pieces: right (A) and left (B) side.","Floral pattern zori straps, Waialua, Hawaii",,Gift of Barbara Kawakami,fabric; cotton; twine,http://media.janm.org/collections/janm_2004.1.90-91-92_2_a.jpg,"L: 6 in, Circum: 1.5 in",398e9feb60b3
1 obi : silk ; 13 x 154 in.  Champagne colored silk brocade obi with large and small cream white cranes with brown accents flying among clouds.  The same pattern is repeats on both sides.,Champagne brocade obi with flying crane design,,Gift of Barbara Kawakami,silk,http://media.janm.org/collections/janm_2004.1.70_a.jpg; http://media.janm.org/collections/janm_2004.1.70_detail_a.jpg,"L: 154 in, W: 13 in",2962534f22c0
