Artistname,Nationality,birthYear,deathYear,Titleofartwork,Typeofartwork,Dimensions,Credit,ImageURL,EA_id
Gaston Lachaise,American,1882,1935,"""Acrobat"" Upside Down Figure, 1926",Bronze,27 x 16.5 x 7 cm (10 5/8 x 6 1/2 x 2 3/4 in.),Bequest of Katharine Kuh,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000004/50626_356716.jpg,8d13f3eda4d8
Alexander Jackson Davis,American,1803,1892,"""Belmead"" Center table, c. 1846",Rosewood oak walnut marble,72.4 x 104.1 x 90.2 cm (28 1/2 x 41 x 35 1/2 in.),Gift of The Antiquarian Society,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/6676_357883.jpg,745c81758867
Mount Washington Glass Company,American,1837,1958,"""Royal Flemish"" Vase, 1889/95",Partially gilded and painted blown mold glass\nHeight:,39.1 cm (15 3/8 in.),Through prior acquisitions of Rowena Marsh Abbott Kate L. Brewster Mr. and Mrs. Frederick Castle Emma B. Hodge Mrs. Potter Palmer II Edward Kendall Rogers Jerome and Irene Schultz and Mr. and Mrs. William Swartchild Jr.,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7092_358786.jpg,ecde25b49409
Frederic Remington,American,1861,1909,"9th U.S. Infantry Entering Peking, August 15, 1900, 1900",Oil on canvas,68.9 x 102.2 cm (27 1/8 x 40 1/4 in.),George F. Harding Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/4994_1490418.jpg,2645afa6e775
William Merritt Chase,American,1849,1916,"A City Park, c. 1887",Oil on canvas,34.6 x 49.9 cm (13 5/8 x 19 5/8 in.),"Signed lower right: ""Wm M. Chase.""\n\nBequest of Dr. John J. Ireland",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000140/4114_1461057.jpg,f49a7c66abb8
Thomas Hicks,American,1823,1890,"A Friendly Warning, 1881/90",Oil on canvas,62.9 x 81.9 cm (24 3/4 x 32 1/4 in.),A.A. McKay Fund Income,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/3993_623731.jpg,0aa7d1e2f5de
Ivan Albright,American,1897,1983,"A Face from Georgia, 1970/74",Oil on canvas,39.4 x 27.3 cm (15 1/2 x 10 3/4 in.),Signed lower right: Ivan Albright\ndated lower left: 1974\n\nGift of Ivan Albright,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4530_623947.jpg,f3f070ad8ee6
Rembrandt Peale,American,1778,1860,"Abigail Inskeep Bradford, 1803/08",Oil on canvas,68.6 x 55.9 cm (27 x 22 in.),Gift of Mrs. Herbert A. Vance,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/6675_357991.jpg,beec78d23d69
Daniel Chester French,American,1850,1931,"Abraham Lincoln, modeled 1912, cast after 1912",Bronze,95.2 cm (37 1/2 in.),"Inscribed top of base at left: ""Daniel C. French Sc./1912"" \nFoundry marks on back of base at right: ""Roman Bronze Works N.Y.""\n\nGift of Mrs. Philip D. Sang in memory of Philip D. Sang",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5100_763110.jpg,400c40eb86de
Daniel Chester French,American,1850,1931,"Abraham Lincoln, modeled in plaster 1916, cast in bronze after 1916",Bronze\nh.,83.8 cm (33 in.),"Inscribed top of base at back right: ""Daniel C French / March 1916""\n\nBequest of Arthur Rubloff Trust",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/5810_1171464.jpg,e4f342479223
