technique,provenance,title,imageUrl,dimensions,artist,type,url,EA_id
Cast bronze with patina,Gift of Florence Kricheff in loving memory of Alexander Kricheff,Bust of Frederick Douglass,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDouglass+bust%2Ejpg,"26"" H x 24"" W x 12.5"" D",Alexander Kricheff,LIBRARY/ARCHIVES,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alexander+Kricheff&whereclause=where+maker%3D%27Alexander+Kricheff%27+OR+cleanmaker%3D%27Alexander+Kricheff%27+OR+maker1%3D%27Alexander+Kricheff%27+OR+maker2%3D%27Alexander+Kricheff%27+OR+maker3%3D%27Alexander+Kricheff%27+OR+maker4%3D%27Alexander+Kricheff%27+OR+maker5%3D%27Alexander+Kricheff%27&current_record=1,3446d5208f3d
Mixed media/cement fresco on wood,Gift of Gary and Tracy Mezzatesta,Bramble Dance,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FBrambleMan%2EJPG,"74"" H x 31.5"" W",Alison Saar,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alison+Saar&whereclause=where+maker%3D%27Alison+Saar%27+OR+cleanmaker%3D%27Alison+Saar%27+OR+maker1%3D%27Alison+Saar%27+OR+maker2%3D%27Alison+Saar%27+OR+maker3%3D%27Alison+Saar%27+OR+maker4%3D%27Alison+Saar%27+OR+maker5%3D%27Alison+Saar%27&current_record=1,bf3271871c93
photograph,Gift of The Ella Fitzgerald Charitable Foundation,"Photographs of Performing Artists, 1973-1989 [Ella Fitzgerald]",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5CFringe%2Ejpg,"10"" H x 8"" W",Allen J. Winigrad,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Allen+J%2E+Winigrad&whereclause=where+maker%3D%27Allen+J%2E+Winigrad%27+OR+cleanmaker%3D%27Allen+J%2E+Winigrad%27+OR+maker1%3D%27Allen+J%2E+Winigrad%27+OR+maker2%3D%27Allen+J%2E+Winigrad%27+OR+maker3%3D%27Allen+J%2E+Winigrad%27+OR+maker4%3D%27Allen+J%2E+Winigrad%27+OR+maker5%3D%27Allen+J%2E+Winigrad%27&current_record=1,1a340a492e5e
"Plastic, vinyl, polyester",Gift of Margaret Anton Parkhurst,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDolls%5CParkhurst%5Fdoll+copy%2Ejpg,"18"" H x 8.5"" W x 4"" D",Allied-Grand Doll Mfg. Inc.,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Allied%2DGrand+Doll+Mfg%2E+Inc%2E&whereclause=where+maker%3D%27Allied%2DGrand+Doll+Mfg%2E+Inc%2E%27+OR+cleanmaker%3D%27Allied%2DGrand+Doll+Mfg%2E+Inc%2E%27+OR+maker1%3D%27Allied%2DGrand+Doll+Mfg%2E+Inc%2E%27+OR+maker2%3D%27Allied%2DGrand+Doll+Mfg%2E+Inc%2E%27+OR+maker3%3D%27Allied%2DGrand+Doll+Mfg%2E+Inc%2E%27+OR+maker4%3D%27Allied%2DGrand+Doll+Mfg%2E+Inc%2E%27+OR+maker5%3D%27Allied%2DGrand+Doll+Mfg%2E+Inc%2E%27&current_record=1,d0410e1a84a0
Oil on panel,Gift of Dr. and Mrs. Leon O. Banks,Still Life ( Mexico),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CALMA%2EJPG,"33 x 25""",Alma Woodsey Thomas,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alma+Woodsey+Thomas&whereclause=where+maker%3D%27Alma+Woodsey+Thomas%27+OR+cleanmaker%3D%27Alma+Woodsey+Thomas%27+OR+maker1%3D%27Alma+Woodsey+Thomas%27+OR+maker2%3D%27Alma+Woodsey+Thomas%27+OR+maker3%3D%27Alma+Woodsey+Thomas%27+OR+maker4%3D%27Alma+Woodsey+Thomas%27+OR+maker5%3D%27Alma+Woodsey+Thomas%27&current_record=1,d2f627844bfb
Oil on canvas,Gift of Frank and Ruth Drucker,Untitled,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAlonzo%5FDavis%5CDavis%5FFlag%2EJPG,"49.5 x 41""",Alonzo Joseph Davis,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alonzo+Joseph+Davis&whereclause=where+maker%3D%27Alonzo+Joseph+Davis%27+OR+cleanmaker%3D%27Alonzo+Joseph+Davis%27+OR+maker1%3D%27Alonzo+Joseph+Davis%27+OR+maker2%3D%27Alonzo+Joseph+Davis%27+OR+maker3%3D%27Alonzo+Joseph+Davis%27+OR+maker4%3D%27Alonzo+Joseph+Davis%27+OR+maker5%3D%27Alonzo+Joseph+Davis%27&current_record=1,0cbde72847a2
Oil on canvas,Gift of Frank and Ruth Drucker,Black Square,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAlonzo%5FDavis%5CDavis%5FBlkSquare%2EJPG,"31.75 x 26.25""",Alonzo Joseph Davis,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alonzo+Joseph+Davis&whereclause=where+maker%3D%27Alonzo+Joseph+Davis%27+OR+cleanmaker%3D%27Alonzo+Joseph+Davis%27+OR+maker1%3D%27Alonzo+Joseph+Davis%27+OR+maker2%3D%27Alonzo+Joseph+Davis%27+OR+maker3%3D%27Alonzo+Joseph+Davis%27+OR+maker4%3D%27Alonzo+Joseph+Davis%27+OR+maker5%3D%27Alonzo+Joseph+Davis%27&current_record=2,483e1479419a
Ink on paper; photo-mechanical reproduction,Gift of Ambler H. Moss,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CMoss%5FCoolBell%2Ejpg,"Framed at 21.75"" H x 24.25"" W","Ambler Moss and James ""Cool Papa"" Bell",HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ambler+Moss+and+James+%22Cool+Papa%22+Bell&whereclause=where+maker%3D%27Ambler+Moss+and+James+%22Cool+Papa%22+Bell%27+OR+cleanmaker%3D%27Ambler+Moss+and+James+%22Cool+Papa%22+Bell%27+OR+maker1%3D%27Ambler+Moss+and+James+%22Cool+Papa%22+Bell%27+OR+maker2%3D%27Ambler+Moss+and+James+%22Cool+Papa%22+Bell%27+OR+maker3%3D%27Ambler+Moss+and+James+%22Cool+Papa%22+Bell%27+OR+maker4%3D%27Ambler+Moss+and+James+%22Cool+Papa%22+Bell%27+OR+maker5%3D%27Ambler+Moss+and+James+%22Cool+Papa%22+Bell%27&current_record=1,7df56a0fd194
Rotogravure on paper,"Gift of Christine Roberts, in memory of her Grandmother, Christina Palmer Schoene",99th Pursuit Squadron First Annual Banquet,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CAAPS%5FFirstAnnualBanquet%2Ejpg,"10"" H x 7.25"" W",American Anti-Predjudice Society,LIBRARY/ARCHIVES,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+American+Anti%2DPredjudice+Society&whereclause=where+maker%3D%27American+Anti%2DPredjudice+Society%27+OR+cleanmaker%3D%27American+Anti%2DPredjudice+Society%27+OR+maker1%3D%27American+Anti%2DPredjudice+Society%27+OR+maker2%3D%27American+Anti%2DPredjudice+Society%27+OR+maker3%3D%27American+Anti%2DPredjudice+Society%27+OR+maker4%3D%27American+Anti%2DPredjudice+Society%27+OR+maker5%3D%27American+Anti%2DPredjudice+Society%27&current_record=1,eae75d14ed45
printed on paper,Gift of MacDonald and Charlotte Jean Jones,"""Jump For Joy""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMusic%5Fprograms%5CJump2%2Ejpg,"11.75"" H  x 8.75"" W","American Revue Theatre (Walter Jurmann, Chairman)",HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29&whereclause=where+maker%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+cleanmaker%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker1%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker2%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker3%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker4%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker5%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27&current_record=1,722876662aff
