artist,title,year,description,image,EA_id
Paul Cézanne,Boy Resting,c. 1887,The Armand Hammer Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/935/600/450.JPG,46dd66df8e6c
Gustave Moreau,Salome Dancing Before Herod,1876,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/939/600/450.JPG,414492983b94
Camille Pissarro,"The Boulevard Montmartre, Mardi Gras",1897,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/940/600/450.JPG,ad00a13b5d64
Rembrandt van Rijn,Juno,c. 1662-1665,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/955/600/450.JPG,c9fdea6b41d7
Paul Gauguin,Bonjour Monsieur Gauguin,1889,Oil on canvas on panel. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/938/600/450.JPG,3e857494559a
John Singer Sargent,Dr. Pozzi at Home,1881,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/943/600/450.JPG,853f8a8b77de
Vincent van Gogh,Hospital at Saint-Remy,1889,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/951/600/450.JPG,7a84495fcc98
Henri Fantin-Latour,Portrait of Miss Edith Crowe,1874,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/936/600/450.JPG,d8e4a9197463
Henri de Toulouse-Lautrec,"Touc, Seated on a Table",c. 1879-1881,Oil on panel. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/950/600/450.JPG,67632dd3acaa
John Baldessari,Person with Guitar (Red),2005,"Five-color screen print construction. Hammer Museum, Los Angeles. Purchased with funds provided by Brenda Potter and Michael Sandler.",http://hammer.ucla.edu/image/560/600/450.JPG,9f73095c31b3
Nathan Mabry,Mosaic Mask (XXX),2007,"Colored pencil and Swarovski crystal on mylar. Hammer Museum, Los Angeles. Gift of Campari, USA.",http://hammer.ucla.edu/image/2143/600/450.JPG,50648074bce2
Michaël Borremans,The Skirt,2005,"Oil on cardboard. Hammer Museum, Los Angeles. Purchased with funds provided by the Buddy Taub Foundation, Dennis Roach, Director.",http://hammer.ucla.edu/image/959/450/450.JPG,81d366ce6eea
Llyn Foulkes,The Crucifixion,1985,"Mixed media. 29 x 21 in. (73.7 x 53.3 cm). Hammer Museum, Los Angeles. Purchased with funds provided in part by Jean Stein. Photo by Robert Wedemeyer. Courtesy of the artist and Kent Gallery, New York.",http://hammer.ucla.edu/image/2132/600/450.JPG,3e68b9a217c0
Christopher Williams,"Supplement '96, Conversation with a Flight Attendant",1996,Video. Gift of Soo Jin Jeong-Painter and Patrick Painter.,http://hammer.ucla.edu/image/960/450/450.JPG,06558c8f81a2
Nic Hess,Spindle Implosion (Automatic Crash Response),2009,"Tape. 6 1/2 x 20 1/2 x 7 in. (16.5 x 52.1 x 17.8 cm). Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/4281/600/450.JPG,c5590588c1d9
Hirsch Perlman,"Operation Idiocracy, Roll 3, Frames 3/4",2007,"Chromogenic print. 56 x 63 in. (142.24 x 160 cm) framed. Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2133/600/450.JPG,4ba1a29b3e31
Liz Craft,Hairy Guy (with flower basket),2005,"Bronze and oil paint. 41 x 44 x 30 in. (104.1 x 111.8 x 76.2 cm) Hammer Museum, Los Angeles. Gift of David and Tia Hoberman.",http://hammer.ucla.edu/image/2151/600/450.JPG,35ff0fb1d966
Richard Hawkins,disembodied zombie george green,1997,"Inkjet print. 47 x 36 in. (119.4 x 91.4 cm) Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2147/600/450.JPG,c7769ecd10d7
Andrea Bowers,Nonviolent Civil Disobedience Drawing (Elvira Arellano in Sanctuary at Adalberto United Methodist Church in Chicago as Protest Against Deportation),2007,"Colored pencil on paper. 30 x 22 1/4 in. (76.2 x 56.6 cm) Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2141/600/450.JPG,3350be4b81c7
Dinh Q. Le,Untitled (Red),2007,"C-print and linen tape. Hammer Museum, Los Angeles. Purchased with funds provided by Larry and Susan Marx.",http://hammer.ucla.edu/image/2138/600/450.JPG,eb878f13d9d6
Whitney Bedford,Houdini (Upside Down),2007,"Ink and oil on unprimed paper. Hammer Museum, Los Angeles. Purchased with funds provided by Larry and Susan Marx.",http://hammer.ucla.edu/image/2136/450/450.JPG,b131204c81af
Cameron Jamie,Purgation,2003,"12 3/4 x 10 in. (32.4 x 25.4 cm) Hammer Museum, Los Angeles. Purchased with funds provided by the Buddy Taub Foundation, Dennis Roach, Director.",http://hammer.ucla.edu/image/2145/600/450.JPG,57d38d022adb
Shahzia Sikander,Pathology of Suspension #4,2005,"Ink and gouache on prepared paper. Hammer Museum, Los Angeles. Gift of Rosette V. Delug.",http://hammer.ucla.edu/image/2149/450/450.JPG,5c605723531d
Honoré Daumier,Le passe. Le present. L’avenir.," January 9, 1834",Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/998/600/450.JPG,2472ec3f4433
Honoré Daumier,Un Avocat Plaidant (The Pleading Lawyer),c. 1845,"Watercolor, ink, gouache,  and charcoal. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ",http://hammer.ucla.edu/image/981/600/450.JPG,55f3c70ba8ec
Honoré Daumier,Les Avocats (The Lawyers) ,c. 1860,Oil on canvas. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/983/600/450.JPG,f4b3f6cffd28
Honoré Daumier,Don Quixote et Sancho Panza (Don Quixote and Sancho Panza),1866-1868,Oil on canvas. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/982/600/450.JPG,619747df54eb
Honoré Daumier,"-Dites donc, papa Drouillet, avec c'te envergure lå, vous devez pas nager comme un Dauphin. -Oui mais vous, vous étes joliment taillé pour faire la planche. -Well say then, papa Drouillet, with that breadth, you shouldn't swim like a Dolphin. -Yes, but you, you are beautifully sized to be the gangblank.","September 22, 1840","Lithograph. Sheet: 10 1/4 x 13 1/2 in. (26 x 34.3 cm). The Armand Hammer Daumier and Contemporaries Collection, Gift of Dr. Armand Hammer. Hammer Museum, Los Angeles.",http://hammer.ucla.edu/image/5899/600/450.JPG,e6d3cc66deac
Honoré Daumier,"M.M. Victor Hugo et Emile Giradin cherchent á élever le prince Louis sur un Pavois, ça n’est pas très solide! (Misters Victor Hugo and Emile Girardin trying to raise Prince Louis, it isn’t very solid!)","December 11, 1848",Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/984/600/450.JPG,a61ab88749f6
Honoré Daumier,Ratapoil,c. 1925,Bronze. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer. ,http://hammer.ucla.edu/image/985/600/450.JPG,c87177546e2c
Honoré Daumier,Masques de 1831,"March 8, 1832",Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.  ,http://hammer.ucla.edu/image/986/600/450.JPG,8cf411c999b1
Honoré Daumier,NE VOUS Y FROTTEZ PAS!! ,1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/987/600/450.JPG,0e3694d89896
Honoré Daumier,Deux Acteurs (Scène de Comédie) [Two Actors {Comedy Scene}],1870-1873,Oil on panel. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/989/600/450.JPG,ea0d4e569a4e
Honoré Daumier,"Un Héros de Juillet, Mai 1831(A hero of July, May 1831)",c. 1831,Lithograph with hand coloring. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/990/600/450.JPG,d8e339784621
Honoré Daumier,Magot de la Chine,"August 18, 1834",Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer. ,http://hammer.ucla.edu/image/991/600/450.JPG,5d6e572e56a6
Honoré Daumier,Le Ventre Législatif. Aspect des bancs ministériels de la chambre improstituée de 1834 (The Legislative Belly. View of the ministerial benches in the improstituted house of 1834.),c. January 1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.  ,http://hammer.ucla.edu/image/992/600/450.JPG,37d798ec9d70
Honoré Daumier,L’amateur d’huitres. (The lover of Oysters),"December 7, 1836",Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/993/600/450.JPG,b68cc508d125
