artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine
Truth Will Not Always Give You Art,Gayil Nalls,American,1953,,1982,Oil on handmade paper,"H. 14, W. 17 inches (35.6 x 43.2 cm.)",Drawings,"Kathryn E. Hurd Fund, 1983"
Attic,Willem de Kooning,,1904,1997,1949,"Oil, enamel, and newspaper transfer on canvas",61 7/8 x 81in. (157.2 x 205.7cm) 62 5/8 x 81 3/4 x 2 1/2 in. (159.1 x 207.6 x 6.4 cm) (Frame),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, in honor of her son, Glenn David Steinberg, 1982"
Black Valhalla,Noah Jemison,American,1943,,1976,Encaustic on canvas,"H. 52-1/8, W. 76-1/4 inches (132.4 x 193.4 cm.)",Paintings,"George A. Hearn Fund, 1977"
Untitled,Jackson Pollock,American,1912,1956,1941,"Gouache, watercolor, colored pencil, and pen, brush, and India ink on cardboard","H. 11-1/8, W. 18-7/8 inches (28.3 x 50.5 cm.)",Drawings,"Gift of Lee Krasner Pollock, 1982"
Mrs. Anstis Stone,William Verstille,,1757,1803,1802?,Watercolor on ivory in gold case,1 7/8 x 1 9/16 in. (4.8 x 4 cm),Paintings,"Dale T. Johnson Fund, 2006"
Coney Island,Joseph Stella,,1877,1946,1914,Oil on canvas,Diameter: 41-3/4 inches (106 cm.),Paintings,"George A. Hearn Fund, 1963"
Studio Interior,Stuart Davis,American,1892,1964,1917,Oil on canvas,18 7/8 x 23in. (47.9 x 58.4cm),Paintings,"George A. Hearn Fund, 1994"
Albert Gallatin,Gilbert Stuart,American,1755,1828,1803?,Oil on canvas,29 3/8 x 24 7/8 in. (74.6 x 63.2 cm),Paintings,"Gift of Frederic W. Stevens, 1908"
Untitled No. 8,Oliver Jackson,American,1935,,1985,Oil and oil stick on canvas,"H. 108, W. 84 inches (274.3 x 213.4 cm.)",Paintings,"Gift of Mr. and Mrs. Gerald D. Kohs, 1988"
Head in Red,Lester Johnson,American,1919,2010,1964,Oil on canvas,"H. 8, W. 9-7/8 inches (20.3 x 25.1 cm.)",Paintings,"Gift of Stuart D. Buchalter, 1983"
George Washington,After Gilbert Stuart,American,1755,1828,1920?,Watercolor on ivory,Sight: 3 5/16 x 2 1/2 in. (8.4 x 6.4 cm),Paintings,"Bequest of Mary Clark Thompson, 1924"
Delaware Water Gap,George Inness,American,1825,1894,1861,Oil on canvas,36 x 50 1/4 in. (91.4 x 127.6 cm),Paintings,"Morris K. Jesup Fund, 1932"
Landscape in Provence,Loren MacIver,American,1909,1998,1967,Oil on canvas,45 1/4 x 57 3/4in. (114.9 x 146.7cm) 47 1/2 x 60 x 1 3/4 in. (120.7 x 152.4 x 4.4 cm) (Frame),Paintings,"Purchase, Maria-Gaetana Matisse Gift, 1993"
Nicoll Havens Dering,Daniel Huntington,American,1816,1906,1871,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Gift of Sylvester Dering, 1916"
Untitled,Clyfford Still,American,1904,1980,1960,Oil on canvas,"H. 113, W. 146-1/4 inches (287 x 371.5 cm.)",Paintings,"Gift of Mrs. Clyfford Still, 1986"
"""One Third of a Nation""",O. Louis Guglielmi,,1906,1956,1939,Oil and tempera on wood,"H. 30, W. 24 inches (76.2 x 61 cm.)",Paintings,"Gift of New York City W. P. A., 1943"
Mrs. William Williamson (Elizabeth Ann Timothy),Henry Benbridge,,1743,1812,1785,Watercolor and gouache on ivory,1 7/16 x 1 3/16 in. (3.7 x 3 cm),Paintings,"Rogers Fund, 1926"
Matilda Stoughton de Jaudenes,Gilbert Stuart,American,1755,1828,1794,Oil on canvas,50 5/8 x 39 1/2 in. (128.6 x 100.3 cm),Paintings,"Rogers Fund, 1907"
Lake of Lecco (from Switzerland 1869 Sketchbook),John Singer Sargent,American,1856,1925,1869,"Watercolor, gouache, and graphite on off-white wove paper",7 3/4 x 11 3/4 in. (19.7 x 29.8 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950"
Landscape with Ruins (from Sketchbook),Jervis McEntee,American,1828,1891,1869,Graphite and white gouache on blue wove paper,4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
Design for window,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Graphite, brown and black wash, and white gouache on sketching board",Overall: 24 1/2 x 14 9/16 in. (62.2 x 37 cm) Design: 14 9/16 x 5 5/8 in. (37 x 14.3 cm),Architecture,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
