Artist_Name,Process,Dimensions,Provenance,image,Artwork_Name,Artwork_Year,EA_id
Vito Acconci,"Cinderblocks, stools, planks, light, audio",18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px,Under-History Lessons,1976,e30710f9e100
Robert Arneson,Ceramic,16 x 16 x 13 in. (40.6 x 40.6 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the Lasky Charitable Lead Trust, Marshall P. Levine and Harlan B. Levine, Trustees, in honor of Morelle I. Levine and Norman D. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.40&dim=300px,Hear (Self-Portrait),1973,e8aa9d8c5854
Vito Acconci,"Cinderblocks, stools, planks, light, audio",18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px,Under-History Lessons,1976,2722407dd3cf
Vito Acconci,"6 prints, aquatint and photoetching, edition 11/25",Each: 23 1/2 x 31 in. (59.7 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px,3 Flags for 1 Space and 6 Regions,1979,fb436810a413
Richard Misrach,"Dye coupler photograph, edition 1/25",20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by William Chase and Tom Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.6&dim=300px,"Barracks, Wendover Air Force Base, Utah",1991,f2b8431ecef9
Deborah Mesa-Pelly,C-print mounted on aluminum,30 x 40 in. (76.2 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Steven Neu",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.257&dim=300px,Sleeper,2000,53c04da1d60b
Vito Acconci,"Cinderblocks, stools, planks, light, audio",18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px,Under-History Lessons,1976,c8443dfeddf3
Vito Acconci,"6 prints, aquatint and photoetching, edition 11/25",Each: 23 1/2 x 31 in. (59.7 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px,3 Flags for 1 Space and 6 Regions,1979,a862074c1600
Vito Acconci,"Rebar, plaster, canvas, steel cable, audio, and lights",288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of James Corcoran Gallery",http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.8&dim=300px,Adjustable Wall Bra,1990,9120ee5cca31
Weiwei Ai,"Single channel video, color, sound
10 hours, 13 minutes","The Museum of Contemporary Art, Los Angeles
The East West Bank Collection, Purchased and Promised gift of East West Bank",2008.12,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.12&dim=300px,Beijing: Chang&#039;an Boulevard,2004,9dc04588c8f2
Matt Mullican,"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b/w, color, and polaroid photographs on board",96 x 48 in. (243.8 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.118&dim=300px,Untitled,1972,dc43ac603474
Richard Misrach,"Dye coupler photograph, edition 1/25",20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by William Chase and Tom Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.6&dim=300px,"Barracks, Wendover Air Force Base, Utah",1991,bda148f70944
Richard Misrach,"Fuji dye-coupler print, edition 10/10",29 3/4 x 39 in. (75.6 x 99.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Chip and Lara Leavitt",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.122&dim=300px,Santa/Driver,1992,dbde65b144f9
Hans Namuth,Silver print,31 1/8 x 28 1/4 in. (79.1 x 71.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Atlantic Richfield Company",http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.97&dim=300px,Jackson Pollock,1950,565d09e4ca21
Michael Mueller,Pencil on paper,44 1/2 x 36 1/2 in. (113 x 92.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Chung King Project",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.131&dim=300px,Trinitatis,2008,bb4c7a4352e9
Enrique Martinez Celaya,Oil and tar on canvas,100 x 78 in. (254 x 198.1 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Larry and Susan Marx",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.51&dim=300px,December,2003,087d71a22b38
George McNeil,Oil on canvas,68 x 56 in. (172.7 x 142.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of David J. Haddad",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.60&dim=300px,Pere Ubu and Friends,1982,0e4781f644fd
Matt Mullican,"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b/w, color, and polaroid photographs on board",96 x 48 in. (243.8 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.118&dim=300px,Untitled,1972,15b007f2824b
Matt Mullican,Oil on canvas,72 x 192 in. (182.9 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Gerard Junior Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.101&dim=300px,Untitled (Yellow and Black City),1985,8e44ad3e0ffa
Franz Ackermann,Mixed media on paper on aludibond on wood,48 3/16 x 70 5/16 x 33 11/16 in. (122.4 x 178.6 x 85.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.62&dim=300px,African Diamond,2006,2994522a03bb
Matt Mullican,"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b/w, color, and polaroid photographs on board",96 x 48 in. (243.8 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.118&dim=300px,Untitled,1972,73da462e570f
Matt Mullican,Oil on canvas,72 x 192 in. (182.9 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Gerard Junior Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.101&dim=300px,Untitled (Yellow and Black City),1985,b30cd7088431
Matt Mullican,"Video, DVD-R, PAL, edition2/16",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by John Baldessari",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.8&dim=300px,Untitled (Matt Mullican Under Hypnosis: Geneva),2004,8b9a04cd4a63
Marilyn Minter,Acrylic on aluminum,30 x 24 in. (76.2 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.58&dim=300px,Dilettette No. 3,1989,4421782162dc
