dim,made,prov,title,nationality,artist,image_url,birth_date,death_date,EA_id
Image: 13-1/4 x 19-5/8 in. (33.7 x 49.8 cm),1969,"Norton Simon Museum, Gift of the Artist","Washington Square,",American,Jerry Burchard,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.184,1931.0,,6491344058f8
sheet: 22-3/8 x 30-1/8 in. (56.8 x 76.5 cm),1967,"Norton Simon Museum, Anonymous Gift, 1967","Untitled,",American,John Butke,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.294,1942.0,,899fd26f2b03
sheet: 22-1/4 x 30 in. (56.5 x 76.2 cm),1967,"Norton Simon Museum, Anonymous Gift, 1967","Untitled,",American,John Butke,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.292,1942.0,,a7c0df9c6fb8
sheet: 22-1/4 x 30 in. (56.5 x 76.2 cm),1967,"Norton Simon Museum, Anonymous Gift, 1967","Untitled,",American,John Butke,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.293,1942.0,,ab4237cb842d
28-3/4 x 36-3/8 in. (73.0 x 92.5 cm),1891,The Norton Simon Foundation,"The Yellow Boat,",French,Gustave Caillebotte,http://images.nortonsimon.org/viewer/index.php?id=F.1985.2.1.P,1848.0,1894.0,bc1336282c35
Image: 6-5/8 x 9-5/16 in. (16.8 x 23.7 cm),1969,"Norton Simon Museum, Gift of the Artist","The Limpet #2,",American,Wynn Bullock,,1902.0,1975.0,8b27d07d3e3e
Image: 9-3/8 x 7-3/8 in. (23.8 x 18.7 cm),1955,"Norton Simon Museum, Gift of the Artist","Nude Behind Cobwebbed Window,",American,Wynn Bullock,,1902.0,1975.0,3411e477c2a0
27-5/8 x 40 in. (70.2 x 101.6 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.5,1912.0,1992.0,7f20d5f5de8b
71-7/8 x 47-7/8 in. (182.6 x 121.6 cm),1954,"Norton Simon Museum, Gift of Mr. and Mrs. Melvin Hirsh","Kelp, Rocks and Sea,",American,William Brice,http://images.nortonsimon.org/viewer/index.php?id=P.1967.14,1921.0,2008.0,2e6d5d526f7c
Sheet: 23-7/8 x 18-7/8 in. (60.6 x 47.9 cm),1966,"Norton Simon Museum, Anonymous Gift, 1968","Figures and Stream,",American,William Brice,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.179,1921.0,2008.0,bdd7764233f6
