Subtype_of_Art,Type_of_Art,Title,Date_made,Credit,ArtistName,Inscription,Pic_URL,Dimensions,BirthDate,DeathDate,EA_id
oil on canvas,painting,View of the California Coast,,Gift of Albert Bender,Anne Bremer," Monterey Peninsula Museum of Art, Artists of the Monterey Peninsula Museum of Art 1875 - 1925, 1981",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A53.77_DGAH_096_02.jpg,20 in HIGH x 24.25 in WIDE(50.80 cm HIGH x 61.59 cm WIDE),,,78ad4ed86dee
oil on canvas,painting,Despair,,Gift of Mr. and Mrs. Howard Willoughby,Edwin Deakin," Aftershock! Voices from the 1906 Earthquake and Fire. Great Hall, April 1 - August 13, 2006. | California Historical Society, 1969",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0024243.jpg,28 in HIGH x 42.25 in WIDE(71.12 cm HIGH x 107.31 cm WIDE),,,5bf07fed849a
oil on canvas,painting,Untitled,,,Clayton Pinkerton,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0020250.jpg,,,,e2e59e5dc1b4
oil on masonite,painting,Untitled,,Gift of Ted Cohen,Fred Martin," The Art of Fred Martin, The Oakland Museum of California, August 2003",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0004544.jpg,,,,85d609747ce8
oil paint,painting,Untitled (Grindelia),,Gift of the Women's Board,KATE E. COLE,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012530.jpg,10 in HIGH x 8.5 in WIDE(25.40 cm HIGH x 21.59 cm WIDE),,,c05cde3de50d
oil paint,painting,Untitled (Ithuriel's Spear),,Gift of the Women's Board,KATE E. COLE,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012531.jpg,10 in HIGH x 8 in WIDE(25.40 cm HIGH x 20.32 cm WIDE),,,2442f5707547
oil paint,painting,Untitled (Linanthus and Rosaceus),,Gift of the Women's Board,KATE E. COLE,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012532.jpg,10.25 in HIGH x 7.5 in WIDE(26.03 cm HIGH x 19.05 cm WIDE),,,be6d57dbbbd2
oil paint,painting,Untitled (Flowering Currant),,Gift of the Women's Board,KATE E. COLE,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012533.jpg,10 in HIGH x 7.75 in WIDE(25.40 cm HIGH x 19.68 cm WIDE),,,c5e27b028d9b
oil paint,painting,Untitled (Dogtooth Violet),,Gift of the Women's Board,KATE E. COLE,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012534.jpg,10 in HIGH x 8.5 in WIDE(25.40 cm HIGH x 21.59 cm WIDE),,,e09e9378c157
oil paint,painting,Untitled (Wild Gooseberry),,Gift of the Women's Board,KATE E. COLE,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012535.jpg,10 in HIGH x 7.5 in WIDE(25.40 cm HIGH x 19.05 cm WIDE),,,d727d2c40c61
oil on canvas,painting,Indian Summer II,,,Ray Strong," Ray Strong: Taking in the Landscape - Santa Barbara Museum of Natural History, 2005",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0024140.jpg,24 in HIGH x 52 in WIDE(60.96 cm HIGH x 132.08 cm WIDE),,,cab0f16042e0
oil on canvas,painting,Dr. William Porter,,Gift of Richard Partington,Richard Langtry Partington,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0601335b.jpg,36 in HIGH x 58 in WIDE(91.44 cm HIGH x 147.32 cm WIDE),,,730d1bb442bc
oil on canvas,painting,Wartime,,Gift of Moore Dry Dock Company,William A. Coulter," Oakland Museum History Gallery, Fall 1974 - June 1984; A Walk Along the Water, Oct. 5, 1996-Jan 5, 1997; Scene in Oakland, March 9-Aug. 25, 2002",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0000884.jpg,,1849.0,1936.0,c7572e61790a
oil on canvas,painting,The Shores of San Francisco,,"Gift of the Estate of Harold and Elizabeth Muckley of Houston, Texas",William Keith,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012285.jpg,60 in HIGH x 72 in WIDE(152.40 cm HIGH x 182.88 cm WIDE),,,9e6a521bf4b1
oil on wood panel,painting,California Landscape  ((Hills around Sonoma)),,Museum Donors' Acquisition Fund,Arthur Mathews | Lucia Mathews," San Mateo Co. Arts Council, 1977",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A59.7.1_DGMA_001_02.jpg,13 in HIGH x 18 in WIDE(33.02 cm HIGH x 45.72 cm WIDE),1860.0,1945.0,bffb7833a027
oil on wood panel,painting,Sand Dunes,,Gift of Mr. Harold Wagner,Lucia Mathews,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.121_DGMA_038_02.jpg,18.625 in HIGH x 21.375 in WIDE(47.31 cm HIGH x 54.29 cm WIDE),1870.0,1955.0,fcb187c30027
oil on canvas,painting,The Lone Prospector,1853,Loaned by the Hideko Goto Packard Family Trust,Alburtus Del Orient Browere,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A81.4.2_DGPT_092_02.jpg,,,,67230d493158
oil on canvas,painting,Jornada del Muerto,1853,The Oakland Museum Kahn Collection,George D. Brewerton,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.60_DGAH_023_02.jpg,,,,4129a4b5fbeb
oil on canvas,painting,Portrait of Theodore Dehone Judah,1855,The Oakland Museum Kahn Collection,William Smith Jewett,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/0600122b.jpg,24 in HIGH x 20 in WIDE(60.96 cm HIGH x 50.80 cm WIDE),1812.0,1873.0,10c18f86cba8
oil on canvas,painting,Portrait of Eliza  Jane Steen Johnson,1858,"Collection of the Oakland Museum of California, gift of Dr. Gerald H. Gray",Charles Christian Nahl, Crocker Gallery.  CC Nahl:  Artist of the Gold Rush.  1976-1977. 25 Years of Collecting California 9/25/94 - 1/8/95 (TOM),http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A77.113.1_DGPT_090_02.jpg,34.25 in HIGH x 26.5 in WIDE(86.99 cm HIGH x 67.31 cm WIDE),1818.0,1878.0,c23b2bc067c8
oil on canvas,painting,The Entertainer,1862-1938|1918,Purchased with funds from Anonymous through the Art Acquisition Fund,Frank Coburn,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0010907.jpg,,,,01cdb9e00fc5
oil on canvas,painting,El Capitan,1866,Gift of May Dornin,Thomas Hill, TOM.  Thomas Hill:  The Grand View.  1981.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A89.22_DGAH_157_02.jpg,18 in HIGH x 26 in WIDE(45.72 cm HIGH x 66.04 cm WIDE),1829.0,1908.0,1266aa4176ce
oil on canvas,painting,The Bieber Farm - Wheat Harvest,1867,Loaned by the Hideko Goto Packard Family Trust,H. Jens,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0600691b.jpg,22.5 in HIGH x 36.875 in WIDE(57.15 cm HIGH x 93.66 cm WIDE),,,545cba97fa8b
oil on canvas,painting,Yosemite Valley,1868,Gift of Miss Marguerite Laird in memory of Mr. and Mrs. P. W. Laird,Albert Bierstadt," The Brooklyn Museum,N.Y., Albert Bierstadt Spring, 1991.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0024245.jpg,36 in HIGH x 54 in WIDE(91.44 cm HIGH x 137.16 cm WIDE),1830.0,1902.0,6c860ee035fd
oil on canvas,painting,"Glacier Rock, Yosemite",1869,Gift of Judge O. D. Hamlin,William Keith," Hearst Art Gallery, St. Mary's College.  Moraga, Ca.  William Keith:  The Early Years.  1982. Fresno Arts Ctr.  Fresno, Ca.  Views of Yosemite.  1982.  Catalog Fresno Arts Ctr.  Fresno, Ca.  William Keith - A Changing Vision of California Landscape.  1984",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A73.49_DGAH_012_02.jpg,30 in HIGH x 25 in WIDE(76.20 cm HIGH x 63.50 cm WIDE),,,815ae62cc82a
oil on canvas,painting,Tropical Landscape,1870,The Oakland Museum Kahn Collection,Fortunato Arriola," TOM, Kahn Collection, 1974. TOM, Great Hall, Tropical: Tropical Scenes by the 19th Century Painters of California, Oct. 5 - Nov. 14, 1971; Santa Barbara Museum of Art, Dec. 7, 1971 - Jan. 23, 1972; E. B. Crocker Art Gallery, Sacramento, Feb. 19 - Marc",http://collections.museumca.org/?q=system/files/imagecache/100_Square/0600393b.jpg,48 in HIGH x 76.75 in WIDE(121.92 cm HIGH x 194.94 cm WIDE),,,31e4311cadb3
laid on board,painting,Back of South Dome from the trail near Vernal Falls,1872,Gift of Mrs. Frederick G. Novy Jr.,Thomas Moran,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A91.7_DGAH_129_02.jpg,13.5 in HIGH x 9 in WIDE(34.29 cm HIGH x 22.86 cm WIDE),,,7dc9a1ee7984
oil on canvas,painting,California Indian Camp:  Scene Near Mariposa,1872,The Oakland Museum Kahn Collection,Albert Bierstadt," M.H. de Young.  Albert Bierstadt:An Observer of Air, Light, and a Feeling of a Place.  1985.  // Gene Autry Museum, L.A., CA. Native Americans: 5 Centuries of Changing Images, 11/15/89 - 3/16/90. // Autry Museum of Western Heritage, Los Angeles, Western W",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0006513.jpg,14 in HIGH x 21 in WIDE(35.56 cm HIGH x 53.34 cm WIDE),1830.0,1902.0,ea7a500f9280
oil on canvas,painting,Untitled  (Mountain Lake Campsite),1873,Gift of Mrs. Albert Steele,Hiram Reynolds Bloomer,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A73.13.2_DGAH_134_02.jpg,12 in HIGH x 20 in WIDE(30.48 cm HIGH x 50.80 cm WIDE),,,45ffad79d7ab
oil on canvas,painting,"Tiger, Woodward's Gardens, San Francisco",1873,The Oakland Museum Kahn Collection,Samuel Marsden Brookes,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.16.17_DGAH_021_02.jpg,30 in HIGH x 25 in WIDE(76.20 cm HIGH x 63.50 cm WIDE),,,1e87572bf29d
oil on canvas,painting,"Jules Harder, First Chef of the Palace Hotel",1874,"Oakland Museum of California, gift of Mrs. Donald Helett and Mr. George Clark in memory of George Casey Clark and Lydia J. Clark",Joseph A. Harrington," CHS.  One Hundred Years of the Palace. 1975.   Gold Fever! The Lure and Legacy of the California Gold Rush  Jan 24, 1998 - Oct. 31, 1999.  Stanford Museum  3/1/1999 -5/31/2000",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0032555.jpg,36.25 in HIGH x 29 in WIDE(92.07 cm HIGH x 73.66 cm WIDE),,,4e7183bb1c12
