Artwork_Title,date,name,nationality,birth_date,death_date,dimensions_inch,medium,credit_line,description,image_url,EA_id
"""Rebs"" in the Bullpen Brandy Station",1863,Alfred R. Waud,American,1828,1891,7 3/8 x 8 1/2,pen and black crayon heightened with white on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16263/resize:format$003dfull,4abf1732d4f3
(Coastal Scene),,Charles Erskine Wood,American,1852,1944,6 1/8 x 9 3/8,pastel on paper,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/16147/resize:format$003dfull,6203d1d1361d
2 Oak Knoll Terrace,,Hunt Lewis,American,,,14 x 20,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/17966/resize:format$003dfull,650e60fff2b5
A Foraging Party in '76,,Felix Octavius Carr Darley,American,1821,1888,14 1/4 x 18 1/8,black ink and graphite on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16212/resize:format$003dfull,290b21546a7e
A Good Horse,,Edward Borein,American,1872,1945,8 3/8 x 11,India ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/26364/resize:format$003dfull,fb5de0dfbedd
A Large Pine Tree near the Edge of a Lake,,Joseph Basil Girard,American,1846,1918,5 3/8 x 7 3/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20167/resize:format$003dfull,62971651a360
A Single Yellow,,Joe Price,American,1935,,14 x 17,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints",,http://emuseum.huntington.org/internal/media/dispatcher/30374/resize:format$003dfull,d9d1e7510c2b
"A Street in Los Angeles, Calif., Many Years Ago",,E. A. Burbank,American,1858,1949,11 1/2 x 6 5/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22321/resize:format$003dfull,7f033b22501f
"A Tucson Street in 1895, October 22, 1901",1901,Joseph Basil Girard,American,1846,1918,4 9/16 x 6 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20103/resize:format$003dfull,957c6f429a15
Abandoned Home,,Rowena Fischer Meeks Abdy,American,1887,1945,,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Michael F. Williams",,http://emuseum.huntington.org/internal/media/dispatcher/16123/resize:format$003dfull,61deed85da04
"Above Fort Stuart, Upper Missouri River",1859,Charles Ferdinand Wimar,American,1828,1862,10 x 15 1/4,charcoal heightened with white on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18101/resize:format$003dfull,965f0978d040
Above the Mouth of Judith River,,Charles Ferdinand Wimar,American,1828,1862,,charcoal and white chalk on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20468/resize:format$003dfull,f5e1b7753305
Abstract Forms,1975,Fritz Rauh,American,,,10 x 21 1/8,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",,http://emuseum.huntington.org/internal/media/dispatcher/27871/resize:format$003dfull,f44a0a4f5b29
