Attribution,Title,Dated,Medium,Dimensions,Description,Classification
Nampeyo,,late 19th-early 20th Century,"clay, slip","Height: 8?Diameter of shoulders: 14?Diameter of lip: 6?""The object is a buff colored polychrome olla with four decorated areas"," featuring two motifs which alternate  symmetrically around the olla?circumference""",(not assigned)
,,0,Clay,,vessel - Clay - Mexico,(not assigned)
,Seated Human Figure,,Ceramic,,"This is a ceramic, seated human figure.","Anth- Ceramic, Plaster"
,,700-700,Ceramic,,burner - ceramic,(not assigned)
,Plaque With Design of Two Tigers,,Gold,,This item is a gold plaque with a design of two tigers.,Anth- Gold
,,0,Stone,,pipe bowl - Stone,(not assigned)
,,1900-1900,Coiled/Willow/Devil'S Claw,Overall: 4 1/2 in. (11.4 cm),basket - coiled | Willow | devil's claw - Pima,(not assigned)
,Painted Hide,,Painted Hide,,"This is a painted buffalo hide with fur.  On the hide, there are pictograph drawings depicting varied events, which include:  Sun Dance, buffalo hunt, ceremonial dance, women with baby cradles, parfleche, travais, dog with travais, courting, tipis, two wh",Anth- Hide
,,,,,,(not assigned)
,"Isles Newly Found in the Great Sea in the Time of the King of Spain Ferdinand and Elizabeth, his wife.",1532,,,"This is an Extract or Collection of 3 of the Isles Newly Found in the Great Sea in the time of the King of Spain Ferdinand and Elizabeth, his wife.  (1 on Cuba, 1 on Atlantic, and 1 on Cortes)  Author is Pierre Martyr de Millan.",Arc- Book
,"The Voyages to Western New France, called Canada, Made by Le Sr. De Champlain, Captain for the King in the Navy of Ponant, and all the Discoveries He Made from 1603 to 1629.",1632,,,"This is a book about Champlain's voyages to Western New France (called Canada) from 1603 to 1629.  The publisher is Louis SEVESTRE, Paris - Church No. 420; Sabin No. 11839.",Arc- Book
,"Account of What Happened at the Mission of the Fathers of the Company of Jesus in the Hurons, a Country of New France, Between the Years of 1648 and 1649.",1650,,,"This is a book of the account of what happened at the Mission of the Fathers of the Company of Jesus in the Hurons, a country of New France, between the years 1648 and 1649.  The author is Fr. Paul Ragueneau.  It also includes a report sent to the Rev. Fr",Arc- Book
,,,,,,(not assigned)
,Announcement of the 1883 Expedition into Oklahoma,1883,,,"This is an announcement of the 1883 expedition into Oklahoma.  It is very rare.  (Payne, D.L. - Oklahoma Colony)",Arc- Broadside
,George Custer Telegram,"Mar. 4, 1876",Paper,,"This is a telegram written by George A. Custer to Lawrence Bonnett; it is written on a Western Union form.  It says, ""We start to meet Sitting Bull tomorrow will reach Lincoln Monday""",Arc- Letter
,,,,,,(not assigned)
,Articles of Confederation 1777,1777,,,manuscript - Articles of Confederation 1777 - paper Paper,Arc- Manuscript
