source,target,edge_label
Offer1,Firearm51,itemOffered
Offer1,CreativeWork397,mainEntityOfPage
Offer1,Place260,availableAtOrFrom
Firearm51,PersonOrOrganization175,manufacturer
Firearm51,PersonOrOrganization392,manufacturer
Firearm51,PersonOrOrganization297,manufacturer
Firearm51,PersonOrOrganization125,manufacturer
Firearm51,PersonOrOrganization285,manufacturer
Firearm51,PersonOrOrganization129,manufacturer
Firearm51,PersonOrOrganization170,manufacturer
Firearm51,PersonOrOrganization210,manufacturer
Firearm51,PersonOrOrganization5,manufacturer
Firearm51,PersonOrOrganization204,manufacturer
Firearm51,PersonOrOrganization332,manufacturer
Firearm51,PersonOrOrganization120,manufacturer
Firearm51,PersonOrOrganization308,manufacturer
Firearm51,PersonOrOrganization371,manufacturer
Firearm51,PersonOrOrganization113,manufacturer
Firearm51,PersonOrOrganization2,manufacturer
Firearm51,PersonOrOrganization246,manufacturer
Firearm51,PersonOrOrganization354,manufacturer
Firearm51,PersonOrOrganization184,manufacturer
Firearm51,PersonOrOrganization226,manufacturer
Firearm51,PersonOrOrganization150,manufacturer
Firearm51,PersonOrOrganization114,manufacturer
Firearm51,PersonOrOrganization20,manufacturer
Firearm51,PersonOrOrganization310,manufacturer
Firearm51,PersonOrOrganization292,manufacturer
Firearm51,PersonOrOrganization139,manufacturer
Firearm51,PersonOrOrganization163,manufacturer
Firearm51,PersonOrOrganization146,manufacturer
Firearm51,PersonOrOrganization84,manufacturer
Firearm51,PersonOrOrganization208,manufacturer
Offer2,CreativeWork87,mainEntityOfPage
Offer2,PersonOrOrganization305,seller
Offer2,Firearm68,itemOffered
Offer4,Offer129,relatedTo
Offer4,Offer177,relatedTo
Offer4,PersonOrOrganization360,seller
Offer4,CreativeWork273,mainEntityOfPage
Offer4,Place28,availableAtOrFrom
Offer4,Offer169,relatedTo
Offer4,Offer259,relatedTo
Offer129,Place110,availableAtOrFrom
Offer177,Place1,availableAtOrFrom
Offer169,Place252,availableAtOrFrom
Offer259,Place84,availableAtOrFrom
Offer5,Offer317,relatedTo
Offer5,Place65,availableAtOrFrom
Offer5,PersonOrOrganization319,seller
