source,target,edge_label
Offer1,PersonOrOrganization22,seller
Offer1,Place83,availableAtOrFrom
Offer1,Firearm75,itemOffered
Offer1,CreativeWork424,mainEntityOfPage
Place83,PostalAddress12,address
Offer2,Firearm58,itemOffered
Offer2,PersonOrOrganization317,seller
Offer2,CreativeWork266,mainEntityOfPage
Offer2,Place171,availableAtOrFrom
Firearm58,PersonOrOrganization57,manufacturer
Firearm58,PersonOrOrganization230,manufacturer
Firearm58,PersonOrOrganization92,manufacturer
Firearm58,PersonOrOrganization146,manufacturer
Firearm58,PersonOrOrganization238,manufacturer
Firearm58,PersonOrOrganization344,manufacturer
Firearm58,PersonOrOrganization98,manufacturer
Firearm58,PersonOrOrganization93,manufacturer
Firearm58,PersonOrOrganization386,manufacturer
Firearm58,PersonOrOrganization114,manufacturer
Firearm58,PersonOrOrganization179,manufacturer
Offer3,CreativeWork401,mainEntityOfPage
Offer3,PersonOrOrganization275,seller
Offer3,Place234,availableAtOrFrom
Offer4,Place218,availableAtOrFrom
Offer5,CreativeWork96,mainEntityOfPage
Offer5,Place192,availableAtOrFrom
Offer5,PersonOrOrganization216,seller
Offer6,Place77,availableAtOrFrom
Offer7,Place204,availableAtOrFrom
Offer8,PersonOrOrganization64,seller
Offer8,Place116,availableAtOrFrom
Offer8,CreativeWork354,mainEntityOfPage
Offer9,Firearm52,itemOffered
Offer9,PersonOrOrganization217,seller
Offer9,CreativeWork21,mainEntityOfPage
Firearm52,PersonOrOrganization202,manufacturer
Firearm52,PersonOrOrganization65,manufacturer
Firearm52,PersonOrOrganization179,manufacturer
Firearm52,PersonOrOrganization225,manufacturer
Firearm52,PersonOrOrganization226,manufacturer
Offer10,Firearm52,itemOffered
Offer10,PersonOrOrganization28,seller
Offer10,Place183,availableAtOrFrom
Offer10,CreativeWork100,mainEntityOfPage
Offer11,Offer683,relatedTo
Offer11,PersonOrOrganization131,seller
Offer11,CreativeWork53,mainEntityOfPage
Offer12,Place148,availableAtOrFrom
Place2,PostalAddress15,address
Offer13,CreativeWork356,mainEntityOfPage
Offer13,Place194,availableAtOrFrom
Offer13,PersonOrOrganization109,seller
Offer14,Firearm79,itemOffered
Offer14,PersonOrOrganization208,seller
Offer14,CreativeWork136,mainEntityOfPage
Offer15,CreativeWork72,mainEntityOfPage
Offer15,PersonOrOrganization332,seller
Offer15,Place90,availableAtOrFrom
Offer17,Place33,availableAtOrFrom
Offer18,Place148,availableAtOrFrom
Offer19,Place167,availableAtOrFrom
Offer19,Offer656,relatedTo
Offer19,Offer209,relatedTo
Offer19,PersonOrOrganization54,seller
Offer19,Offer773,relatedTo
Offer19,CreativeWork5,mainEntityOfPage
Offer19,Offer363,relatedTo
Offer656,Place35,availableAtOrFrom
Offer209,Place77,availableAtOrFrom
Offer773,Place77,availableAtOrFrom
Offer363,Place239,availableAtOrFrom
Offer20,Place189,availableAtOrFrom
Offer21,PersonOrOrganization21,seller
Offer21,Place146,availableAtOrFrom
Offer21,CreativeWork302,mainEntityOfPage
Offer22,Place77,availableAtOrFrom
Offer23,Place110,availableAtOrFrom
Offer23,Offer101,relatedTo
Offer23,PersonOrOrganization313,seller
Offer23,CreativeWork12,mainEntityOfPage
Offer23,Firearm58,itemOffered
Offer25,Place77,availableAtOrFrom
Offer25,PersonOrOrganization358,seller
Offer25,CreativeWork353,mainEntityOfPage
Offer25,Offer747,relatedTo
Offer25,Offer282,relatedTo
Offer25,Offer763,relatedTo
Offer25,Offer574,relatedTo
Offer747,Place55,availableAtOrFrom
Offer282,Place47,availableAtOrFrom
Offer763,Place130,availableAtOrFrom
Offer574,Place34,availableAtOrFrom
Offer26,CreativeWork155,mainEntityOfPage
Offer26,PersonOrOrganization59,seller
Offer26,Firearm52,itemOffered
Offer27,Firearm52,itemOffered
Offer27,PersonOrOrganization244,seller
Offer27,CreativeWork92,mainEntityOfPage
Offer28,Offer296,relatedTo
Offer28,Offer741,relatedTo
Offer28,Place80,availableAtOrFrom
Offer28,PersonOrOrganization270,seller
Offer28,Offer537,relatedTo
Offer28,CreativeWork304,mainEntityOfPage
Offer28,Offer350,relatedTo
Offer296,Place77,availableAtOrFrom
Offer741,Place3,availableAtOrFrom
Offer537,Place203,availableAtOrFrom
Offer350,Place80,availableAtOrFrom
Offer29,Firearm31,itemOffered
Offer29,CreativeWork46,mainEntityOfPage
Offer29,PersonOrOrganization239,seller
Offer30,Place80,availableAtOrFrom
Offer31,PersonOrOrganization311,seller
Offer31,CreativeWork333,mainEntityOfPage
Offer31,Offer224,relatedTo
Offer31,Offer97,relatedTo
Offer32,CreativeWork94,mainEntityOfPage
Offer32,PersonOrOrganization245,seller
Offer32,Firearm28,itemOffered
Place4,PostalAddress12,address
Offer33,Offer440,relatedTo
Offer33,Firearm58,itemOffered
Offer33,Place57,availableAtOrFrom
Offer33,CreativeWork2,mainEntityOfPage
Offer33,PersonOrOrganization11,seller
Offer34,PersonOrOrganization372,seller
Offer34,CreativeWork86,mainEntityOfPage
Offer34,Firearm9,itemOffered
Offer34,Place121,availableAtOrFrom
Offer34,CreativeWork290,mainEntityOfPage
Place121,PostalAddress13,address
Offer35,Firearm83,itemOffered
Offer35,PersonOrOrganization253,seller
Offer35,CreativeWork25,mainEntityOfPage
PersonOrOrganization253,PostalAddress14,address
Offer36,Firearm33,itemOffered
Offer36,Place21,availableAtOrFrom
Offer36,PersonOrOrganization169,seller
Offer36,CreativeWork196,mainEntityOfPage
Place21,PostalAddress12,address
Offer37,Firearm7,itemOffered
Offer37,CreativeWork160,mainEntityOfPage
Offer37,Place91,availableAtOrFrom
Offer37,PersonOrOrganization279,seller
Place91,PostalAddress16,address
PersonOrOrganization13,PostalAddress1,address
Offer38,CreativeWork362,mainEntityOfPage
Offer38,PersonOrOrganization104,seller
Offer38,Offer286,relatedTo
Offer40,PersonOrOrganization367,seller
Offer40,CreativeWork153,mainEntityOfPage
Offer40,Firearm8,itemOffered
PersonOrOrganization367,PostalAddress25,address
PersonOrOrganization367,ContactPoint2,contactPoint
Firearm8,PersonOrOrganization230,manufacturer
Offer41,PersonOrOrganization134,seller
Offer41,Offer534,relatedTo
Offer41,CreativeWork83,mainEntityOfPage
Offer42,Place94,availableAtOrFrom
Offer43,CreativeWork75,mainEntityOfPage
Offer43,PersonOrOrganization343,seller
Offer43,Place123,availableAtOrFrom
Offer44,CreativeWork213,mainEntityOfPage
Offer44,PersonOrOrganization161,seller
Offer44,Place11,availableAtOrFrom
Offer45,Offer6,relatedTo
Offer45,Offer297,relatedTo
Offer45,Offer118,relatedTo
Offer45,Offer451,relatedTo
Offer45,CreativeWork385,mainEntityOfPage
Offer45,PersonOrOrganization228,seller
Offer45,Place86,availableAtOrFrom
Offer297,Place86,availableAtOrFrom
Offer118,Place204,availableAtOrFrom
Offer451,Place148,availableAtOrFrom
Offer46,Place77,availableAtOrFrom
Offer47,PersonOrOrganization357,seller
Offer47,CreativeWork373,mainEntityOfPage
Offer47,Firearm37,itemOffered
Offer47,Place139,availableAtOrFrom
Place139,PostalAddress12,address
Offer48,Place12,availableAtOrFrom
Offer48,PersonOrOrganization308,seller
Offer48,CreativeWork180,mainEntityOfPage
Place13,PostalAddress5,address
Offer49,Offer335,relatedTo
Offer49,PersonOrOrganization354,seller
Offer49,CreativeWork56,mainEntityOfPage
Offer49,Offer674,relatedTo
Offer49,Offer319,relatedTo
Offer49,Offer762,relatedTo
Offer49,Place105,availableAtOrFrom
Offer335,Place56,availableAtOrFrom
Offer674,Place130,availableAtOrFrom
Offer319,Place7,availableAtOrFrom
Offer762,Place163,availableAtOrFrom
Offer50,Place157,availableAtOrFrom
Offer51,Place72,availableAtOrFrom
Offer51,PersonOrOrganization342,seller
Offer51,Firearm59,itemOffered
Offer51,CreativeWork203,mainEntityOfPage
Place72,PostalAddress16,address
Offer52,PersonOrOrganization112,seller
Offer52,CreativeWork358,mainEntityOfPage
Offer52,Offer440,relatedTo
Offer53,Place80,availableAtOrFrom
Offer54,Offer585,relatedTo
Offer54,PersonOrOrganization294,seller
Offer54,CreativeWork357,mainEntityOfPage
Offer55,Place204,availableAtOrFrom
Offer56,CreativeWork23,mainEntityOfPage
