source,target,edge_label
Offer1,CreativeWork440,mainEntityOfPage
Offer1,Firearm21,itemOffered
Offer1,Place99,availableAtOrFrom
Firearm21,PersonOrOrganization214,manufacturer
Firearm21,PersonOrOrganization195,manufacturer
Firearm21,PersonOrOrganization221,manufacturer
Firearm21,PersonOrOrganization67,manufacturer
Firearm21,PersonOrOrganization114,manufacturer
Firearm21,PersonOrOrganization360,manufacturer
Firearm21,PersonOrOrganization120,manufacturer
Firearm21,PersonOrOrganization82,manufacturer
Firearm21,PersonOrOrganization98,manufacturer
Firearm21,PersonOrOrganization181,manufacturer
Firearm21,PersonOrOrganization270,manufacturer
Firearm21,PersonOrOrganization380,manufacturer
Firearm21,PersonOrOrganization76,manufacturer
Firearm21,PersonOrOrganization258,manufacturer
Firearm21,PersonOrOrganization32,manufacturer
Firearm21,PersonOrOrganization78,manufacturer
Firearm21,PersonOrOrganization310,manufacturer
Firearm21,PersonOrOrganization331,manufacturer
Firearm21,PersonOrOrganization412,manufacturer
Firearm21,PersonOrOrganization267,manufacturer
Firearm21,PersonOrOrganization41,manufacturer
Firearm21,PersonOrOrganization311,manufacturer
Firearm21,PersonOrOrganization375,manufacturer
Firearm21,PersonOrOrganization250,manufacturer
Firearm21,PersonOrOrganization231,manufacturer
Firearm21,PersonOrOrganization323,manufacturer
Firearm21,PersonOrOrganization286,manufacturer
Firearm21,PersonOrOrganization212,manufacturer
Firearm21,PersonOrOrganization87,manufacturer
Firearm21,PersonOrOrganization148,manufacturer
Offer2,CreativeWork341,mainEntityOfPage
Offer2,Firearm46,itemOffered
Offer2,PersonOrOrganization155,seller
Offer2,Place90,availableAtOrFrom
Firearm46,PersonOrOrganization119,manufacturer
Firearm46,PersonOrOrganization414,manufacturer
Firearm46,PersonOrOrganization13,manufacturer
Firearm46,PersonOrOrganization46,manufacturer
Firearm46,PersonOrOrganization259,manufacturer
Firearm46,PersonOrOrganization449,manufacturer
Firearm46,PersonOrOrganization6,manufacturer
Firearm46,PersonOrOrganization222,manufacturer
Firearm46,PersonOrOrganization133,manufacturer
Firearm46,PersonOrOrganization431,manufacturer
Firearm46,PersonOrOrganization308,manufacturer
Firearm46,PersonOrOrganization237,manufacturer
Firearm46,PersonOrOrganization217,manufacturer
Firearm46,PersonOrOrganization403,manufacturer
Firearm46,PersonOrOrganization118,manufacturer
Firearm46,PersonOrOrganization313,manufacturer
Firearm46,PersonOrOrganization45,manufacturer
Firearm46,PersonOrOrganization140,manufacturer
Firearm46,PersonOrOrganization256,manufacturer
Firearm46,PersonOrOrganization246,manufacturer
Firearm46,PersonOrOrganization19,manufacturer
Firearm46,PersonOrOrganization271,manufacturer
Firearm46,PersonOrOrganization172,manufacturer
Firearm46,PersonOrOrganization186,manufacturer
Firearm46,PersonOrOrganization348,manufacturer
Firearm46,PersonOrOrganization397,manufacturer
Firearm46,PersonOrOrganization127,manufacturer
Firearm46,PersonOrOrganization27,manufacturer
Firearm46,PersonOrOrganization199,manufacturer
Firearm46,PersonOrOrganization367,manufacturer
Offer3,Place280,availableAtOrFrom
Offer4,PersonOrOrganization443,seller
Offer4,CreativeWork222,mainEntityOfPage
PersonOrOrganization443,PostalAddress22,address
Place2,PostalAddress2,address
Offer7,CreativeWork419,mainEntityOfPage
Offer7,PersonOrOrganization145,seller
Offer7,Place231,availableAtOrFrom
Offer8,Place120,availableAtOrFrom
Offer8,Firearm21,itemOffered
Offer8,CreativeWork364,mainEntityOfPage
Offer9,Place252,availableAtOrFrom
Offer10,Place259,availableAtOrFrom
Offer10,Firearm45,itemOffered
Offer10,CreativeWork197,mainEntityOfPage
Offer10,PersonOrOrganization393,seller
Firearm45,PersonOrOrganization429,manufacturer
Firearm45,PersonOrOrganization104,manufacturer
