source,target,edge_label
Offer2,Place20,availableAtOrFrom
Offer3,CreativeWork28,mainEntityOfPage
Offer3,PersonOrOrganization132,seller
Offer3,Place150,availableAtOrFrom
Offer3,Firearm25,itemOffered
Firearm25,PersonOrOrganization287,manufacturer
Firearm25,PersonOrOrganization276,manufacturer
Firearm25,PersonOrOrganization430,manufacturer
Firearm25,PersonOrOrganization133,manufacturer
Firearm25,PersonOrOrganization174,manufacturer
Firearm25,PersonOrOrganization396,manufacturer
Firearm25,PersonOrOrganization293,manufacturer
Firearm25,PersonOrOrganization355,manufacturer
Firearm25,PersonOrOrganization380,manufacturer
Firearm25,PersonOrOrganization86,manufacturer
Firearm25,PersonOrOrganization195,manufacturer
Offer4,Place147,availableAtOrFrom
Offer5,Place147,availableAtOrFrom
Offer6,Place83,availableAtOrFrom
Offer7,CreativeWork455,mainEntityOfPage
Offer7,Firearm36,itemOffered
Offer7,PersonOrOrganization302,seller
Offer7,Place289,availableAtOrFrom
Firearm36,PersonOrOrganization244,manufacturer
Firearm36,PersonOrOrganization325,manufacturer
Firearm36,PersonOrOrganization315,manufacturer
Firearm36,PersonOrOrganization82,manufacturer
Firearm36,PersonOrOrganization165,manufacturer
Firearm36,PersonOrOrganization19,manufacturer
Firearm36,PersonOrOrganization375,manufacturer
Firearm36,PersonOrOrganization50,manufacturer
Firearm36,PersonOrOrganization219,manufacturer
Firearm36,PersonOrOrganization254,manufacturer
Firearm36,PersonOrOrganization420,manufacturer
Firearm36,PersonOrOrganization394,manufacturer
Firearm36,PersonOrOrganization298,manufacturer
Firearm36,PersonOrOrganization376,manufacturer
Firearm36,PersonOrOrganization167,manufacturer
Firearm36,PersonOrOrganization340,manufacturer
Firearm36,PersonOrOrganization240,manufacturer
Firearm36,PersonOrOrganization47,manufacturer
Firearm36,PersonOrOrganization350,manufacturer
Firearm36,PersonOrOrganization255,manufacturer
Firearm36,PersonOrOrganization73,manufacturer
Firearm36,PersonOrOrganization373,manufacturer
Firearm36,PersonOrOrganization55,manufacturer
Firearm36,PersonOrOrganization329,manufacturer
Firearm36,PersonOrOrganization149,manufacturer
Firearm36,PersonOrOrganization237,manufacturer
Firearm36,PersonOrOrganization95,manufacturer
Firearm36,PersonOrOrganization195,manufacturer
Firearm36,PersonOrOrganization191,manufacturer
Firearm36,PersonOrOrganization60,manufacturer
Offer8,Place260,availableAtOrFrom
Offer8,CreativeWork123,mainEntityOfPage
Offer8,Firearm36,itemOffered
Offer10,Place15,availableAtOrFrom
Offer11,CreativeWork424,mainEntityOfPage
Offer11,Place71,availableAtOrFrom
Offer11,Firearm65,itemOffered
Firearm65,PersonOrOrganization275,manufacturer
Firearm65,PersonOrOrganization9,manufacturer
Firearm65,PersonOrOrganization145,manufacturer
Firearm65,PersonOrOrganization184,manufacturer
Firearm65,PersonOrOrganization168,manufacturer
Firearm65,PersonOrOrganization433,manufacturer
Firearm65,PersonOrOrganization148,manufacturer
Offer12,Place286,availableAtOrFrom
Offer13,CreativeWork334,mainEntityOfPage
Offer13,Place217,availableAtOrFrom
Offer13,Firearm14,itemOffered
Firearm14,PersonOrOrganization71,manufacturer
Firearm14,PersonOrOrganization65,manufacturer
Firearm14,PersonOrOrganization408,manufacturer
Firearm14,PersonOrOrganization91,manufacturer
Firearm14,PersonOrOrganization339,manufacturer
Firearm14,PersonOrOrganization8,manufacturer
Firearm14,PersonOrOrganization229,manufacturer
Firearm14,PersonOrOrganization14,manufacturer
Firearm14,PersonOrOrganization147,manufacturer
Firearm14,PersonOrOrganization173,manufacturer
Firearm14,PersonOrOrganization88,manufacturer
Firearm14,PersonOrOrganization352,manufacturer
Firearm14,PersonOrOrganization183,manufacturer
Firearm14,PersonOrOrganization266,manufacturer
Firearm14,PersonOrOrganization89,manufacturer
Firearm14,PersonOrOrganization317,manufacturer
Firearm14,PersonOrOrganization377,manufacturer
Firearm14,PersonOrOrganization31,manufacturer
Firearm14,PersonOrOrganization107,manufacturer
Firearm14,PersonOrOrganization393,manufacturer
Firearm14,PersonOrOrganization407,manufacturer
Firearm14,PersonOrOrganization416,manufacturer
Firearm14,PersonOrOrganization399,manufacturer
Firearm14,PersonOrOrganization279,manufacturer
Firearm14,PersonOrOrganization301,manufacturer
Firearm14,PersonOrOrganization404,manufacturer
Firearm14,PersonOrOrganization220,manufacturer
Firearm14,PersonOrOrganization43,manufacturer
Firearm14,PersonOrOrganization419,manufacturer
Firearm14,PersonOrOrganization62,manufacturer
Offer14,CreativeWork119,mainEntityOfPage
Offer14,Offer177,relatedTo
Offer14,PersonOrOrganization144,seller
Offer15,CreativeWork45,mainEntityOfPage
Offer15,PersonOrOrganization32,seller
Offer15,Place146,availableAtOrFrom
Offer16,Place160,availableAtOrFrom
Offer16,Firearm14,itemOffered
Offer16,CreativeWork21,mainEntityOfPage
Offer17,PersonOrOrganization29,seller
Offer17,Firearm25,itemOffered
Offer17,Place111,availableAtOrFrom
Offer17,CreativeWork128,mainEntityOfPage
Offer18,Place298,availableAtOrFrom
Offer18,CreativeWork185,mainEntityOfPage
Offer18,PersonOrOrganization391,seller
Offer18,Firearm51,itemOffered
Place298,PostalAddress22,address
Offer19,Firearm25,itemOffered
Offer19,Offer704,relatedTo
Offer19,PersonOrOrganization189,seller
Offer19,Place98,availableAtOrFrom
Offer19,CreativeWork429,mainEntityOfPage
Firearm3,PersonOrOrganization112,manufacturer
Offer20,Place7,availableAtOrFrom
Offer20,CreativeWork153,mainEntityOfPage
Offer20,PersonOrOrganization270,seller
Offer21,Place274,availableAtOrFrom
Offer22,PersonOrOrganization387,seller
Offer22,CreativeWork457,mainEntityOfPage
Offer22,Offer364,relatedTo
Offer23,Place146,availableAtOrFrom
Offer23,PersonOrOrganization282,seller
Offer23,CreativeWork433,mainEntityOfPage
Offer24,Firearm73,itemOffered
Offer24,CreativeWork199,mainEntityOfPage
Offer24,PersonOrOrganization66,seller
Offer25,Place45,availableAtOrFrom
PersonOrOrganization17,PostalAddress9,address
