source,target,edge_label
Offer1,Firearm64,itemOffered
Offer1,CreativeWork297,mainEntityOfPage
Offer1,PersonOrOrganization21,seller
Firearm64,PersonOrOrganization371,manufacturer
Firearm64,PersonOrOrganization20,manufacturer
Firearm64,PersonOrOrganization331,manufacturer
Firearm64,PersonOrOrganization24,manufacturer
Firearm64,PersonOrOrganization425,manufacturer
Offer2,Offer759,relatedTo
Offer2,Offer585,relatedTo
Offer2,CreativeWork132,mainEntityOfPage
Offer2,PersonOrOrganization93,seller
Offer3,Place224,availableAtOrFrom
Offer4,CreativeWork380,mainEntityOfPage
Offer4,Offer635,relatedTo
Offer4,Offer681,relatedTo
Offer4,PersonOrOrganization6,seller
Offer6,CreativeWork15,mainEntityOfPage
Offer6,Offer513,relatedTo
Offer6,Offer591,relatedTo
Offer6,PersonOrOrganization391,seller
Offer7,CreativeWork357,mainEntityOfPage
Offer7,Firearm13,itemOffered
Offer7,Place23,availableAtOrFrom
Firearm13,PersonOrOrganization361,manufacturer
Firearm13,PersonOrOrganization341,manufacturer
Firearm13,PersonOrOrganization328,manufacturer
Firearm13,PersonOrOrganization114,manufacturer
Firearm13,PersonOrOrganization76,manufacturer
Firearm13,PersonOrOrganization357,manufacturer
Firearm13,PersonOrOrganization289,manufacturer
Firearm13,PersonOrOrganization122,manufacturer
Firearm13,PersonOrOrganization126,manufacturer
Firearm13,PersonOrOrganization344,manufacturer
Firearm13,PersonOrOrganization120,manufacturer
Firearm13,PersonOrOrganization246,manufacturer
Firearm13,PersonOrOrganization178,manufacturer
Firearm13,PersonOrOrganization23,manufacturer
Firearm13,PersonOrOrganization256,manufacturer
Firearm13,PersonOrOrganization58,manufacturer
Firearm13,PersonOrOrganization266,manufacturer
Firearm13,PersonOrOrganization202,manufacturer
Firearm13,PersonOrOrganization245,manufacturer
Firearm13,PersonOrOrganization276,manufacturer
Firearm13,PersonOrOrganization75,manufacturer
Firearm13,PersonOrOrganization143,manufacturer
Firearm13,PersonOrOrganization22,manufacturer
Firearm13,PersonOrOrganization333,manufacturer
Firearm13,PersonOrOrganization158,manufacturer
Firearm13,PersonOrOrganization339,manufacturer
Firearm13,PersonOrOrganization153,manufacturer
Firearm13,PersonOrOrganization258,manufacturer
Firearm13,PersonOrOrganization101,manufacturer
Firearm13,PersonOrOrganization405,manufacturer
Offer8,Firearm65,itemOffered
Offer8,CreativeWork11,mainEntityOfPage
Offer8,PersonOrOrganization82,seller
PersonOrOrganization82,PostalAddress14,address
Offer9,Place156,availableAtOrFrom
Offer11,CreativeWork86,mainEntityOfPage
Offer11,Firearm13,itemOffered
Offer11,Place153,availableAtOrFrom
Offer12,CreativeWork279,mainEntityOfPage
Offer12,Firearm50,itemOffered
Offer12,Place61,availableAtOrFrom
Firearm50,PersonOrOrganization387,manufacturer
Firearm50,PersonOrOrganization172,manufacturer
Firearm50,PersonOrOrganization263,manufacturer
Firearm50,PersonOrOrganization280,manufacturer
Firearm50,PersonOrOrganization427,manufacturer
Firearm50,PersonOrOrganization137,manufacturer
Firearm50,PersonOrOrganization347,manufacturer
Firearm50,PersonOrOrganization205,manufacturer
Firearm50,PersonOrOrganization420,manufacturer
Firearm50,PersonOrOrganization66,manufacturer
Firearm50,PersonOrOrganization54,manufacturer
Firearm50,PersonOrOrganization145,manufacturer
Firearm50,PersonOrOrganization56,manufacturer
Firearm50,PersonOrOrganization195,manufacturer
Firearm50,PersonOrOrganization348,manufacturer
Firearm50,PersonOrOrganization45,manufacturer
Firearm50,PersonOrOrganization360,manufacturer
Firearm50,PersonOrOrganization350,manufacturer
Firearm50,PersonOrOrganization313,manufacturer
Firearm50,PersonOrOrganization416,manufacturer
Firearm50,PersonOrOrganization32,manufacturer
Firearm50,PersonOrOrganization389,manufacturer
Firearm50,PersonOrOrganization29,manufacturer
Firearm50,PersonOrOrganization222,manufacturer
Firearm50,PersonOrOrganization159,manufacturer
Offer15,PersonOrOrganization234,seller
Offer15,CreativeWork374,mainEntityOfPage
Offer15,Firearm38,itemOffered
Offer16,CreativeWork148,mainEntityOfPage
Offer16,PersonOrOrganization4,seller
Offer16,Place188,availableAtOrFrom
Offer17,Place171,availableAtOrFrom
Offer18,Place62,availableAtOrFrom
Offer18,CreativeWork211,mainEntityOfPage
Offer18,PersonOrOrganization284,seller
Offer19,PersonOrOrganization239,seller
Offer19,CreativeWork306,mainEntityOfPage
Offer19,Firearm38,itemOffered
Offer20,Offer463,relatedTo
Offer20,PersonOrOrganization386,seller
Offer20,CreativeWork324,mainEntityOfPage
Offer21,Place224,availableAtOrFrom
Offer22,PersonOrOrganization204,seller
Offer22,CreativeWork316,mainEntityOfPage
Offer22,Offer173,relatedTo
Place12,PostalAddress13,address
Offer23,PersonOrOrganization11,seller
Offer23,Firearm82,itemOffered
Offer23,CreativeWork331,mainEntityOfPage
Offer24,Place93,availableAtOrFrom
Offer24,PersonOrOrganization139,seller
Offer24,Firearm45,itemOffered
Offer24,CreativeWork382,mainEntityOfPage
Place93,PostalAddress15,address
Offer25,Place253,availableAtOrFrom
Offer25,CreativeWork481,mainEntityOfPage
Offer25,PersonOrOrganization399,seller
Offer26,CreativeWork448,mainEntityOfPage
Offer26,Offer422,relatedTo
Offer26,PersonOrOrganization213,seller
Offer29,Offer225,relatedTo
Offer29,PersonOrOrganization10,seller
Offer29,Offer88,relatedTo
Offer29,Offer64,relatedTo
Offer29,Place97,availableAtOrFrom
Offer29,CreativeWork333,mainEntityOfPage
Offer29,Offer248,relatedTo
Offer225,Place264,availableAtOrFrom
Offer88,Place185,availableAtOrFrom
Offer64,Place216,availableAtOrFrom
Offer248,Place181,availableAtOrFrom
Offer30,Place285,availableAtOrFrom
Offer31,PersonOrOrganization248,seller
Offer31,CreativeWork397,mainEntityOfPage
Offer31,Firearm6,itemOffered
Offer31,Place238,availableAtOrFrom
Place238,PostalAddress13,address
Offer32,CreativeWork182,mainEntityOfPage
Offer32,Place50,availableAtOrFrom
Offer32,Firearm64,itemOffered
Offer33,PersonOrOrganization9,seller
Offer33,CreativeWork140,mainEntityOfPage
Offer33,Place265,availableAtOrFrom
Offer34,PersonOrOrganization408,seller
Offer34,Firearm50,itemOffered
Offer34,CreativeWork174,mainEntityOfPage
Offer34,Place34,availableAtOrFrom
Offer36,PersonOrOrganization284,seller
Offer36,CreativeWork298,mainEntityOfPage
Offer36,Place62,availableAtOrFrom
Offer37,Firearm13,itemOffered
Offer37,Place102,availableAtOrFrom
Offer37,CreativeWork5,mainEntityOfPage
Offer39,Firearm13,itemOffered
Offer39,CreativeWork323,mainEntityOfPage
Offer39,Place182,availableAtOrFrom
Offer40,Place224,availableAtOrFrom
Offer41,CreativeWork28,mainEntityOfPage
Offer41,PersonOrOrganization31,seller
Offer41,Place62,availableAtOrFrom
Offer42,Place261,availableAtOrFrom
Offer43,Place148,availableAtOrFrom
Offer43,Firearm50,itemOffered
Offer43,CreativeWork135,mainEntityOfPage
Offer44,PersonOrOrganization201,seller
Offer44,Firearm50,itemOffered
Offer44,CreativeWork423,mainEntityOfPage
Offer44,Place189,availableAtOrFrom
Offer45,Place278,availableAtOrFrom
Offer47,Place261,availableAtOrFrom
Offer48,PersonOrOrganization38,seller
