source,target,edge_label
Firearm1,PersonOrOrganization57,manufacturer
Offer1,Offer727,relatedTo
Offer1,Offer12,relatedTo
Offer1,PersonOrOrganization326,seller
Offer1,CreativeWork433,mainEntityOfPage
Offer1,Place92,availableAtOrFrom
Offer1,Offer356,relatedTo
Offer1,Offer447,relatedTo
Offer727,Place174,availableAtOrFrom
Offer12,Place97,availableAtOrFrom
Offer356,Place233,availableAtOrFrom
Offer447,Place91,availableAtOrFrom
Offer2,PersonOrOrganization321,seller
Offer2,CreativeWork331,mainEntityOfPage
Offer2,Place206,availableAtOrFrom
Offer4,Place121,availableAtOrFrom
Offer6,CreativeWork356,mainEntityOfPage
Offer6,PersonOrOrganization196,seller
Offer6,Place167,availableAtOrFrom
Offer7,Place4,availableAtOrFrom
Offer9,Place27,availableAtOrFrom
Offer10,Place120,availableAtOrFrom
Offer11,Place20,availableAtOrFrom
Offer13,Firearm67,itemOffered
Offer13,PersonOrOrganization309,seller
Offer13,CreativeWork423,mainEntityOfPage
Firearm67,PersonOrOrganization105,manufacturer
Firearm67,PersonOrOrganization358,manufacturer
Firearm67,PersonOrOrganization125,manufacturer
Firearm67,PersonOrOrganization247,manufacturer
Firearm67,PersonOrOrganization324,manufacturer
Firearm67,PersonOrOrganization339,manufacturer
Firearm67,PersonOrOrganization349,manufacturer
Firearm67,PersonOrOrganization270,manufacturer
Firearm67,PersonOrOrganization370,manufacturer
Firearm67,PersonOrOrganization113,manufacturer
Firearm67,PersonOrOrganization54,manufacturer
Firearm67,PersonOrOrganization79,manufacturer
Firearm67,PersonOrOrganization386,manufacturer
Firearm67,PersonOrOrganization296,manufacturer
Firearm67,PersonOrOrganization140,manufacturer
Firearm67,PersonOrOrganization302,manufacturer
Firearm67,PersonOrOrganization220,manufacturer
Firearm67,PersonOrOrganization25,manufacturer
Firearm67,PersonOrOrganization71,manufacturer
Firearm67,PersonOrOrganization341,manufacturer
Firearm67,PersonOrOrganization97,manufacturer
Firearm67,PersonOrOrganization133,manufacturer
Firearm67,PersonOrOrganization288,manufacturer
Firearm67,PersonOrOrganization35,manufacturer
Firearm67,PersonOrOrganization93,manufacturer
Firearm67,PersonOrOrganization57,manufacturer
Firearm67,PersonOrOrganization106,manufacturer
Firearm67,PersonOrOrganization118,manufacturer
Firearm67,PersonOrOrganization264,manufacturer
Firearm67,PersonOrOrganization146,manufacturer
Offer14,PersonOrOrganization11,seller
Offer14,CreativeWork38,mainEntityOfPage
Offer14,Offer588,relatedTo
Offer15,Place112,availableAtOrFrom
Offer15,Offer155,relatedTo
Offer15,CreativeWork282,mainEntityOfPage
Offer15,Firearm25,itemOffered
Offer16,CreativeWork436,mainEntityOfPage
Offer16,Firearm67,itemOffered
Offer16,PersonOrOrganization199,seller
Offer17,Place195,availableAtOrFrom
Offer17,PersonOrOrganization166,seller
Offer17,Firearm5,itemOffered
Offer17,CreativeWork429,mainEntityOfPage
Place195,PostalAddress17,address
Offer18,CreativeWork34,mainEntityOfPage
Offer18,PersonOrOrganization265,seller
Offer18,Offer475,relatedTo
Offer19,Place208,availableAtOrFrom
Offer19,CreativeWork74,mainEntityOfPage
Offer19,Offer748,relatedTo
Offer19,Firearm25,itemOffered
Offer20,Firearm67,itemOffered
Offer20,PersonOrOrganization292,seller
Offer20,CreativeWork257,mainEntityOfPage
Offer21,PersonOrOrganization110,seller
Offer21,CreativeWork391,mainEntityOfPage
Offer21,Place8,availableAtOrFrom
Offer22,Firearm22,itemOffered
Offer22,PersonOrOrganization383,seller
Offer22,CreativeWork307,mainEntityOfPage
Offer24,Place35,availableAtOrFrom
Offer25,Firearm50,itemOffered
Offer25,CreativeWork394,mainEntityOfPage
Offer25,Place65,availableAtOrFrom
Firearm50,PersonOrOrganization363,manufacturer
Firearm50,PersonOrOrganization185,manufacturer
Firearm50,PersonOrOrganization205,manufacturer
Firearm50,PersonOrOrganization230,manufacturer
Firearm50,PersonOrOrganization161,manufacturer
Firearm50,PersonOrOrganization242,manufacturer
Firearm50,PersonOrOrganization107,manufacturer
Firearm50,PersonOrOrganization190,manufacturer
Firearm50,PersonOrOrganization128,manufacturer
Firearm50,PersonOrOrganization36,manufacturer
Firearm50,PersonOrOrganization366,manufacturer
Firearm50,PersonOrOrganization34,manufacturer
Firearm50,PersonOrOrganization377,manufacturer
Firearm50,PersonOrOrganization63,manufacturer
Firearm50,PersonOrOrganization82,manufacturer
Firearm50,PersonOrOrganization276,manufacturer
Firearm50,PersonOrOrganization249,manufacturer
Firearm50,PersonOrOrganization193,manufacturer
Firearm50,PersonOrOrganization337,manufacturer
Firearm50,PersonOrOrganization101,manufacturer
Firearm50,PersonOrOrganization376,manufacturer
Firearm50,PersonOrOrganization347,manufacturer
Firearm50,PersonOrOrganization279,manufacturer
Firearm50,PersonOrOrganization145,manufacturer
Firearm50,PersonOrOrganization47,manufacturer
Firearm50,PersonOrOrganization318,manufacturer
Firearm50,PersonOrOrganization333,manufacturer
Firearm50,PersonOrOrganization360,manufacturer
