source,target,edge_label
Offer1,PersonOrOrganization395,seller
Offer1,Place81,availableAtOrFrom
Offer1,Firearm10,itemOffered
Offer1,CreativeWork308,mainEntityOfPage
Firearm10,PersonOrOrganization157,manufacturer
Firearm10,PersonOrOrganization73,manufacturer
Firearm10,PersonOrOrganization257,manufacturer
Firearm10,PersonOrOrganization59,manufacturer
Firearm10,PersonOrOrganization79,manufacturer
Firearm10,PersonOrOrganization109,manufacturer
Firearm10,PersonOrOrganization241,manufacturer
Firearm10,PersonOrOrganization4,manufacturer
Firearm10,PersonOrOrganization425,manufacturer
Firearm10,PersonOrOrganization29,manufacturer
Firearm10,PersonOrOrganization413,manufacturer
Firearm10,PersonOrOrganization282,manufacturer
Firearm10,PersonOrOrganization190,manufacturer
Firearm10,PersonOrOrganization51,manufacturer
Firearm10,PersonOrOrganization362,manufacturer
Firearm10,PersonOrOrganization333,manufacturer
Firearm10,PersonOrOrganization102,manufacturer
Firearm10,PersonOrOrganization287,manufacturer
Firearm10,PersonOrOrganization446,manufacturer
Firearm10,PersonOrOrganization83,manufacturer
Firearm10,PersonOrOrganization66,manufacturer
Firearm10,PersonOrOrganization181,manufacturer
Firearm10,PersonOrOrganization399,manufacturer
Firearm10,PersonOrOrganization132,manufacturer
Firearm10,PersonOrOrganization255,manufacturer
Firearm10,PersonOrOrganization283,manufacturer
Firearm10,PersonOrOrganization87,manufacturer
Firearm10,PersonOrOrganization289,manufacturer
Firearm10,PersonOrOrganization180,manufacturer
Firearm10,PersonOrOrganization355,manufacturer
Offer2,CreativeWork102,mainEntityOfPage
Offer2,Offer632,relatedTo
Offer2,PersonOrOrganization203,seller
Offer3,Place178,availableAtOrFrom
Offer3,PersonOrOrganization387,seller
Offer3,CreativeWork282,mainEntityOfPage
Offer4,PersonOrOrganization203,seller
Offer4,Offer369,relatedTo
Offer4,CreativeWork440,mainEntityOfPage
Offer5,CreativeWork69,mainEntityOfPage
Offer5,Place178,availableAtOrFrom
Offer5,PersonOrOrganization277,seller
Firearm1,PersonOrOrganization236,manufacturer
Offer7,PersonOrOrganization424,seller
Offer7,CreativeWork220,mainEntityOfPage
Offer7,Firearm44,itemOffered
Firearm44,PersonOrOrganization298,manufacturer
Firearm44,PersonOrOrganization112,manufacturer
Firearm44,PersonOrOrganization429,manufacturer
Firearm44,PersonOrOrganization193,manufacturer
Firearm44,PersonOrOrganization86,manufacturer
Firearm44,PersonOrOrganization364,manufacturer
Firearm44,PersonOrOrganization334,manufacturer
Firearm44,PersonOrOrganization343,manufacturer
Firearm44,PersonOrOrganization252,manufacturer
Firearm44,PersonOrOrganization49,manufacturer
Firearm44,PersonOrOrganization289,manufacturer
Offer8,PersonOrOrganization263,seller
Offer8,CreativeWork54,mainEntityOfPage
Offer8,Firearm39,itemOffered
PersonOrOrganization263,PostalAddress14,address
PersonOrOrganization263,ContactPoint2,contactPoint
Firearm39,PersonOrOrganization252,manufacturer
Offer10,Place50,availableAtOrFrom
Offer10,CreativeWork431,mainEntityOfPage
Offer10,PersonOrOrganization321,seller
Offer11,PersonOrOrganization213,seller
Offer11,Place178,availableAtOrFrom
Offer11,CreativeWork136,mainEntityOfPage
Offer12,CreativeWork466,mainEntityOfPage
Offer12,PersonOrOrganization57,seller
Offer12,Firearm44,itemOffered
Offer12,Place55,availableAtOrFrom
Offer13,Place265,availableAtOrFrom
Offer14,Place88,availableAtOrFrom
Offer14,CreativeWork247,mainEntityOfPage
Offer14,PersonOrOrganization309,seller
Offer14,Offer595,relatedTo
Offer14,Offer123,relatedTo
Offer14,Offer599,relatedTo
Offer14,Offer481,relatedTo
Offer595,Place270,availableAtOrFrom
Offer123,Place292,availableAtOrFrom
Offer599,Place265,availableAtOrFrom
Offer481,Place108,availableAtOrFrom
Offer15,Place56,availableAtOrFrom
Offer16,CreativeWork376,mainEntityOfPage
Offer16,Place122,availableAtOrFrom
Offer16,Offer22,relatedTo
Offer16,Offer15,relatedTo
Offer16,PersonOrOrganization379,seller
Offer16,Offer72,relatedTo
Offer16,Offer547,relatedTo
Offer22,Place89,availableAtOrFrom
Offer72,Place89,availableAtOrFrom
Offer547,Place89,availableAtOrFrom
Offer17,Place195,availableAtOrFrom
Offer18,PersonOrOrganization312,seller
Offer18,Offer40,relatedTo
Offer18,Offer509,relatedTo
Offer18,CreativeWork242,mainEntityOfPage
Offer18,Offer688,relatedTo
Offer18,Offer698,relatedTo
Offer18,Place101,availableAtOrFrom
Offer40,Place197,availableAtOrFrom
Offer509,Place236,availableAtOrFrom
Offer688,Place222,availableAtOrFrom
Offer698,Place204,availableAtOrFrom
Offer19,CreativeWork349,mainEntityOfPage
Offer19,PersonOrOrganization142,seller
Offer19,Offer789,relatedTo
Offer21,CreativeWork120,mainEntityOfPage
Offer21,PersonOrOrganization90,seller
Offer21,Place73,availableAtOrFrom
Offer23,Place299,availableAtOrFrom
Offer24,Place292,availableAtOrFrom
Offer25,Place222,availableAtOrFrom
Offer27,Place56,availableAtOrFrom
Offer28,CreativeWork267,mainEntityOfPage
Offer28,PersonOrOrganization263,seller
Offer28,Firearm38,itemOffered
Firearm38,PersonOrOrganization324,manufacturer
Offer29,CreativeWork435,mainEntityOfPage
Offer29,Place232,availableAtOrFrom
Offer29,PersonOrOrganization111,seller
Offer29,Offer534,relatedTo
Offer29,Firearm52,itemOffered
Firearm52,PersonOrOrganization315,manufacturer
Firearm52,PersonOrOrganization97,manufacturer
Firearm52,PersonOrOrganization24,manufacturer
Firearm52,PersonOrOrganization243,manufacturer
Firearm52,PersonOrOrganization350,manufacturer
Firearm52,PersonOrOrganization420,manufacturer
Firearm52,PersonOrOrganization396,manufacturer
Offer30,PersonOrOrganization103,seller
Offer30,CreativeWork124,mainEntityOfPage
Offer30,Firearm14,itemOffered
Offer30,Place192,availableAtOrFrom
Place192,PostalAddress1,address
Offer31,Place46,availableAtOrFrom
Offer31,Firearm44,itemOffered
Offer31,CreativeWork43,mainEntityOfPage
Offer31,PersonOrOrganization171,seller
Offer32,Place265,availableAtOrFrom
Offer33,CreativeWork403,mainEntityOfPage
Offer33,Place201,availableAtOrFrom
Offer33,PersonOrOrganization67,seller
Offer34,CreativeWork193,mainEntityOfPage
Offer34,Place164,availableAtOrFrom
Offer34,Firearm9,itemOffered
Firearm9,PersonOrOrganization303,manufacturer
Firearm9,PersonOrOrganization156,manufacturer
Firearm9,PersonOrOrganization275,manufacturer
Firearm9,PersonOrOrganization10,manufacturer
Firearm9,PersonOrOrganization62,manufacturer
Firearm9,PersonOrOrganization230,manufacturer
Firearm9,PersonOrOrganization216,manufacturer
Firearm9,PersonOrOrganization50,manufacturer
Firearm9,PersonOrOrganization133,manufacturer
Firearm9,PersonOrOrganization185,manufacturer
Firearm9,PersonOrOrganization227,manufacturer
Firearm9,PersonOrOrganization105,manufacturer
Firearm9,PersonOrOrganization422,manufacturer
Firearm9,PersonOrOrganization353,manufacturer
Firearm9,PersonOrOrganization212,manufacturer
Firearm9,PersonOrOrganization201,manufacturer
Firearm9,PersonOrOrganization254,manufacturer
Firearm9,PersonOrOrganization342,manufacturer
Firearm9,PersonOrOrganization335,manufacturer
Firearm9,PersonOrOrganization231,manufacturer
Firearm9,PersonOrOrganization117,manufacturer
Firearm9,PersonOrOrganization40,manufacturer
Firearm9,PersonOrOrganization244,manufacturer
Firearm9,PersonOrOrganization110,manufacturer
Firearm9,PersonOrOrganization194,manufacturer
Firearm9,PersonOrOrganization391,manufacturer
Firearm9,PersonOrOrganization373,manufacturer
Firearm9,PersonOrOrganization78,manufacturer
Firearm9,PersonOrOrganization370,manufacturer
Firearm9,PersonOrOrganization286,manufacturer
Offer35,Place197,availableAtOrFrom
Offer36,Place245,availableAtOrFrom
Offer37,PersonOrOrganization137,seller
Offer37,Offer440,relatedTo
Offer37,Offer545,relatedTo
Offer37,CreativeWork331,mainEntityOfPage
Offer38,CreativeWork373,mainEntityOfPage
Offer38,Place254,availableAtOrFrom
Offer38,PersonOrOrganization63,seller
Offer39,Place108,availableAtOrFrom
