source,target,edge_label
Offer1,Place185,availableAtOrFrom
Offer1,Firearm73,itemOffered
Offer1,CreativeWork325,mainEntityOfPage
Offer1,PersonOrOrganization412,seller
Firearm73,PersonOrOrganization133,manufacturer
Offer2,CreativeWork73,mainEntityOfPage
Offer2,Offer158,relatedTo
Offer2,PersonOrOrganization230,seller
Offer3,Place158,availableAtOrFrom
Offer3,CreativeWork385,mainEntityOfPage
Offer3,Offer80,relatedTo
Offer3,PersonOrOrganization333,seller
Offer3,Offer203,relatedTo
Offer3,Offer235,relatedTo
Offer3,Offer210,relatedTo
Offer80,Place158,availableAtOrFrom
Offer203,Place183,availableAtOrFrom
Offer235,Place249,availableAtOrFrom
Offer210,Place9,availableAtOrFrom
Offer4,Place216,availableAtOrFrom
Offer5,PersonOrOrganization65,seller
Offer5,Firearm43,itemOffered
Offer5,CreativeWork393,mainEntityOfPage
Offer5,Place71,availableAtOrFrom
Firearm43,PersonOrOrganization353,manufacturer
Firearm43,PersonOrOrganization142,manufacturer
Firearm43,PersonOrOrganization276,manufacturer
Firearm43,PersonOrOrganization174,manufacturer
Firearm43,PersonOrOrganization44,manufacturer
Firearm43,PersonOrOrganization385,manufacturer
Firearm43,PersonOrOrganization326,manufacturer
Firearm43,PersonOrOrganization139,manufacturer
Firearm43,PersonOrOrganization311,manufacturer
Firearm43,PersonOrOrganization424,manufacturer
Firearm43,PersonOrOrganization426,manufacturer
Firearm43,PersonOrOrganization271,manufacturer
Firearm43,PersonOrOrganization361,manufacturer
Firearm43,PersonOrOrganization137,manufacturer
Firearm43,PersonOrOrganization367,manufacturer
Firearm43,PersonOrOrganization259,manufacturer
Firearm43,PersonOrOrganization214,manufacturer
Firearm43,PersonOrOrganization407,manufacturer
Firearm43,PersonOrOrganization19,manufacturer
Firearm43,PersonOrOrganization125,manufacturer
Firearm43,PersonOrOrganization86,manufacturer
Firearm43,PersonOrOrganization408,manufacturer
Firearm43,PersonOrOrganization429,manufacturer
Firearm43,PersonOrOrganization262,manufacturer
Firearm43,PersonOrOrganization349,manufacturer
Firearm43,PersonOrOrganization133,manufacturer
Firearm43,PersonOrOrganization432,manufacturer
Firearm43,PersonOrOrganization76,manufacturer
Firearm43,PersonOrOrganization216,manufacturer
Firearm43,PersonOrOrganization201,manufacturer
Offer6,Place216,availableAtOrFrom
Offer7,Place139,availableAtOrFrom
Offer9,CreativeWork330,mainEntityOfPage
Offer9,Place172,availableAtOrFrom
Offer9,PersonOrOrganization104,seller
Offer10,Firearm43,itemOffered
Offer10,PersonOrOrganization110,seller
Offer10,CreativeWork199,mainEntityOfPage
Offer10,Place29,availableAtOrFrom
Offer12,Place302,availableAtOrFrom
Offer12,Offer376,relatedTo
Offer12,Offer700,relatedTo
Offer12,Offer103,relatedTo
Offer12,CreativeWork292,mainEntityOfPage
Offer12,Offer305,relatedTo
Offer12,PersonOrOrganization69,seller
Offer376,Place114,availableAtOrFrom
Offer700,Place153,availableAtOrFrom
Offer103,Place270,availableAtOrFrom
Offer305,Place250,availableAtOrFrom
Offer13,PersonOrOrganization302,seller
Offer13,Offer331,relatedTo
Offer13,CreativeWork391,mainEntityOfPage
Offer13,Offer333,relatedTo
Offer14,Firearm38,itemOffered
Offer14,Offer173,relatedTo
Offer14,CreativeWork236,mainEntityOfPage
Offer14,Place28,availableAtOrFrom
Offer18,Firearm61,itemOffered
Offer18,PersonOrOrganization325,seller
Offer18,CreativeWork428,mainEntityOfPage
Offer18,Place218,availableAtOrFrom
Firearm61,PersonOrOrganization102,manufacturer
Firearm61,PersonOrOrganization55,manufacturer
Firearm61,PersonOrOrganization38,manufacturer
Firearm61,PersonOrOrganization217,manufacturer
Firearm61,PersonOrOrganization321,manufacturer
Firearm61,PersonOrOrganization135,manufacturer
Firearm61,PersonOrOrganization391,manufacturer
Firearm61,PersonOrOrganization387,manufacturer
Firearm61,PersonOrOrganization413,manufacturer
Firearm61,PersonOrOrganization22,manufacturer
Firearm61,PersonOrOrganization76,manufacturer
Offer19,PersonOrOrganization40,seller
Offer19,Firearm61,itemOffered
Offer19,Place251,availableAtOrFrom
Offer19,CreativeWork252,mainEntityOfPage
Offer20,Firearm11,itemOffered
Offer20,CreativeWork455,mainEntityOfPage
Offer20,PersonOrOrganization187,seller
PersonOrOrganization187,PostalAddress19,address
Offer21,Place158,availableAtOrFrom
Offer22,CreativeWork478,mainEntityOfPage
Offer22,Firearm43,itemOffered
Offer22,PersonOrOrganization78,seller
Offer23,PersonOrOrganization324,seller
Offer23,CreativeWork286,mainEntityOfPage
Offer23,Offer42,relatedTo
Offer24,PersonOrOrganization386,seller
Offer24,Firearm73,itemOffered
Offer24,Place160,availableAtOrFrom
Offer24,CreativeWork48,mainEntityOfPage
Offer25,PersonOrOrganization100,seller
Offer25,Place305,availableAtOrFrom
Offer25,Firearm78,itemOffered
Offer25,CreativeWork247,mainEntityOfPage
Place305,PostalAddress10,address
Offer26,CreativeWork465,mainEntityOfPage
Offer26,Firearm61,itemOffered
Offer26,PersonOrOrganization117,seller
Offer26,Place145,availableAtOrFrom
Offer27,Place213,availableAtOrFrom
Offer28,Place114,availableAtOrFrom
Offer29,Place34,availableAtOrFrom
Offer29,CreativeWork320,mainEntityOfPage
Offer29,PersonOrOrganization150,seller
Offer30,Place265,availableAtOrFrom
