source,target,edge_label
Offer1,Firearm69,itemOffered
Offer1,Offer585,relatedTo
Offer1,CreativeWork199,mainEntityOfPage
Offer1,Place123,availableAtOrFrom
Offer2,Place263,availableAtOrFrom
Offer4,Offer156,relatedTo
Offer4,CreativeWork180,mainEntityOfPage
Offer4,Place48,availableAtOrFrom
Offer4,PersonOrOrganization203,seller
Offer4,Offer584,relatedTo
Offer4,Offer45,relatedTo
Offer4,Offer123,relatedTo
Offer156,Place204,availableAtOrFrom
Offer584,Place172,availableAtOrFrom
Offer45,Place118,availableAtOrFrom
Offer123,Place303,availableAtOrFrom
Offer5,CreativeWork78,mainEntityOfPage
Offer5,Offer528,relatedTo
Offer5,Offer255,relatedTo
Offer5,PersonOrOrganization33,seller
Offer6,Offer534,relatedTo
Offer6,Offer109,relatedTo
Offer6,Offer26,relatedTo
Offer6,Place266,availableAtOrFrom
Offer6,CreativeWork189,mainEntityOfPage
Offer6,Offer638,relatedTo
Offer6,PersonOrOrganization53,seller
Offer534,Place99,availableAtOrFrom
Offer109,Place155,availableAtOrFrom
Offer26,Place83,availableAtOrFrom
Offer638,Place193,availableAtOrFrom
Offer7,Place91,availableAtOrFrom
Offer8,Place91,availableAtOrFrom
Offer9,Place232,availableAtOrFrom
Offer10,CreativeWork434,mainEntityOfPage
Offer10,Offer68,relatedTo
Offer10,Offer678,relatedTo
Offer10,PersonOrOrganization370,seller
Offer11,PersonOrOrganization80,seller
Offer11,CreativeWork446,mainEntityOfPage
Offer11,Firearm34,itemOffered
PersonOrOrganization80,PostalAddress15,address
Offer13,Offer163,relatedTo
Offer13,CreativeWork391,mainEntityOfPage
Offer13,Offer610,relatedTo
Offer13,PersonOrOrganization81,seller
Offer13,Place293,availableAtOrFrom
Offer13,Offer79,relatedTo
Offer13,Offer613,relatedTo
Offer163,Place293,availableAtOrFrom
Offer610,Place52,availableAtOrFrom
Offer79,Place223,availableAtOrFrom
Offer613,Place293,availableAtOrFrom
Offer14,Place188,availableAtOrFrom
Offer15,Place52,availableAtOrFrom
Offer16,Place155,availableAtOrFrom
Offer17,Place14,availableAtOrFrom
Offer18,CreativeWork77,mainEntityOfPage
Offer18,Place62,availableAtOrFrom
Offer18,Firearm62,itemOffered
Offer18,PersonOrOrganization125,seller
Firearm62,PersonOrOrganization56,manufacturer
Firearm62,PersonOrOrganization268,manufacturer
Firearm62,PersonOrOrganization41,manufacturer
Firearm62,PersonOrOrganization215,manufacturer
Firearm62,PersonOrOrganization260,manufacturer
Firearm62,PersonOrOrganization3,manufacturer
Firearm62,PersonOrOrganization381,manufacturer
Firearm62,PersonOrOrganization326,manufacturer
Firearm62,PersonOrOrganization206,manufacturer
Firearm62,PersonOrOrganization337,manufacturer
Firearm62,PersonOrOrganization59,manufacturer
Place15,PostalAddress7,address
Offer19,Place71,availableAtOrFrom
Offer19,CreativeWork354,mainEntityOfPage
Offer19,Firearm51,itemOffered
Firearm51,PersonOrOrganization411,manufacturer
Firearm51,PersonOrOrganization397,manufacturer
Firearm51,PersonOrOrganization341,manufacturer
Firearm51,PersonOrOrganization217,manufacturer
Firearm51,PersonOrOrganization9,manufacturer
Firearm51,PersonOrOrganization45,manufacturer
Firearm51,PersonOrOrganization347,manufacturer
Firearm51,PersonOrOrganization368,manufacturer
Firearm51,PersonOrOrganization280,manufacturer
Firearm51,PersonOrOrganization21,manufacturer
Firearm51,PersonOrOrganization410,manufacturer
Firearm51,PersonOrOrganization124,manufacturer
Firearm51,PersonOrOrganization270,manufacturer
Firearm51,PersonOrOrganization289,manufacturer
Firearm51,PersonOrOrganization304,manufacturer
Firearm51,PersonOrOrganization292,manufacturer
Firearm51,PersonOrOrganization142,manufacturer
Firearm51,PersonOrOrganization328,manufacturer
Firearm51,PersonOrOrganization57,manufacturer
Firearm51,PersonOrOrganization372,manufacturer
Firearm51,PersonOrOrganization407,manufacturer
Firearm51,PersonOrOrganization95,manufacturer
Firearm51,PersonOrOrganization189,manufacturer
Firearm51,PersonOrOrganization146,manufacturer
Firearm51,PersonOrOrganization188,manufacturer
Firearm51,PersonOrOrganization251,manufacturer
Firearm51,PersonOrOrganization312,manufacturer
Firearm51,PersonOrOrganization349,manufacturer
Firearm51,PersonOrOrganization4,manufacturer
Firearm51,PersonOrOrganization66,manufacturer
Offer20,Place52,availableAtOrFrom
Offer21,CreativeWork258,mainEntityOfPage
Offer21,PersonOrOrganization192,seller
Offer21,Firearm62,itemOffered
Offer21,Place56,availableAtOrFrom
Place17,PostalAddress8,address
Offer22,Firearm69,itemOffered
Offer22,CreativeWork279,mainEntityOfPage
Offer22,Offer141,relatedTo
Offer22,Place286,availableAtOrFrom
Offer24,Place10,availableAtOrFrom
Offer25,Firearm49,itemOffered
Offer25,PersonOrOrganization63,seller
Offer25,CreativeWork72,mainEntityOfPage
Firearm49,PersonOrOrganization406,manufacturer
Offer27,Firearm51,itemOffered
Offer27,Place279,availableAtOrFrom
Offer27,CreativeWork228,mainEntityOfPage
Offer28,PersonOrOrganization24,seller
Offer28,CreativeWork385,mainEntityOfPage
Offer28,Place105,availableAtOrFrom
Offer31,Offer562,relatedTo
Offer31,PersonOrOrganization338,seller
Offer31,Offer531,relatedTo
Offer31,Offer112,relatedTo
Offer31,CreativeWork287,mainEntityOfPage
Offer31,Place118,availableAtOrFrom
Offer31,Offer646,relatedTo
Offer562,Place52,availableAtOrFrom
Offer531,Place193,availableAtOrFrom
Offer112,Place281,availableAtOrFrom
Offer646,Place52,availableAtOrFrom
Offer32,Place217,availableAtOrFrom
Offer34,CreativeWork464,mainEntityOfPage
Offer34,Place166,availableAtOrFrom
Offer34,Firearm63,itemOffered
Firearm63,PersonOrOrganization311,manufacturer
Firearm63,PersonOrOrganization275,manufacturer
Firearm63,PersonOrOrganization119,manufacturer
Firearm63,PersonOrOrganization233,manufacturer
Firearm63,PersonOrOrganization26,manufacturer
Firearm63,PersonOrOrganization165,manufacturer
Firearm63,PersonOrOrganization291,manufacturer
Firearm63,PersonOrOrganization242,manufacturer
Firearm63,PersonOrOrganization1,manufacturer
