source,target,edge_label
PersonOrOrganization1,PostalAddress19,address
Offer1,CreativeWork447,mainEntityOfPage
Offer1,Firearm36,itemOffered
Offer1,PersonOrOrganization29,seller
Offer1,Place80,availableAtOrFrom
Firearm36,PersonOrOrganization72,manufacturer
Firearm36,PersonOrOrganization17,manufacturer
Firearm36,PersonOrOrganization61,manufacturer
Firearm36,PersonOrOrganization106,manufacturer
Firearm36,PersonOrOrganization169,manufacturer
Firearm36,PersonOrOrganization161,manufacturer
Firearm36,PersonOrOrganization240,manufacturer
Firearm36,PersonOrOrganization444,manufacturer
Firearm36,PersonOrOrganization297,manufacturer
Firearm36,PersonOrOrganization4,manufacturer
Firearm36,PersonOrOrganization79,manufacturer
Offer2,PersonOrOrganization332,seller
Offer2,CreativeWork377,mainEntityOfPage
Offer2,Offer48,relatedTo
Offer3,Place245,availableAtOrFrom
Offer3,CreativeWork363,mainEntityOfPage
Offer3,Firearm9,itemOffered
Firearm9,PersonOrOrganization323,manufacturer
Firearm9,PersonOrOrganization74,manufacturer
Firearm9,PersonOrOrganization9,manufacturer
Firearm9,PersonOrOrganization317,manufacturer
Firearm9,PersonOrOrganization318,manufacturer
Firearm9,PersonOrOrganization33,manufacturer
Firearm9,PersonOrOrganization250,manufacturer
Firearm9,PersonOrOrganization293,manufacturer
Firearm9,PersonOrOrganization326,manufacturer
Firearm9,PersonOrOrganization276,manufacturer
Firearm9,PersonOrOrganization137,manufacturer
Firearm9,PersonOrOrganization87,manufacturer
Firearm9,PersonOrOrganization271,manufacturer
Firearm9,PersonOrOrganization394,manufacturer
Firearm9,PersonOrOrganization329,manufacturer
Firearm9,PersonOrOrganization309,manufacturer
Firearm9,PersonOrOrganization82,manufacturer
Firearm9,PersonOrOrganization436,manufacturer
Firearm9,PersonOrOrganization136,manufacturer
Firearm9,PersonOrOrganization100,manufacturer
Firearm9,PersonOrOrganization16,manufacturer
Firearm9,PersonOrOrganization320,manufacturer
Firearm9,PersonOrOrganization119,manufacturer
Firearm9,PersonOrOrganization197,manufacturer
Firearm9,PersonOrOrganization424,manufacturer
Firearm9,PersonOrOrganization411,manufacturer
Firearm9,PersonOrOrganization303,manufacturer
Firearm9,PersonOrOrganization79,manufacturer
Firearm9,PersonOrOrganization73,manufacturer
Firearm9,PersonOrOrganization384,manufacturer
Offer4,Place155,availableAtOrFrom
Offer5,Firearm14,itemOffered
Offer5,PersonOrOrganization160,seller
Offer5,CreativeWork48,mainEntityOfPage
Firearm14,PersonOrOrganization411,manufacturer
Offer6,CreativeWork311,mainEntityOfPage
Offer6,Place57,availableAtOrFrom
Offer6,PersonOrOrganization31,seller
PersonOrOrganization6,PostalAddress6,address
Offer9,Place253,availableAtOrFrom
Offer10,CreativeWork204,mainEntityOfPage
Offer10,Place157,availableAtOrFrom
Offer10,PersonOrOrganization103,seller
Offer11,CreativeWork472,mainEntityOfPage
Offer11,PersonOrOrganization120,seller
Offer11,Firearm46,itemOffered
Offer12,Firearm75,itemOffered
Offer12,CreativeWork383,mainEntityOfPage
Offer12,PersonOrOrganization360,seller
Firearm75,PersonOrOrganization382,manufacturer
PersonOrOrganization360,PostalAddress14,address
PersonOrOrganization360,ContactPoint1,contactPoint
Offer13,Place198,availableAtOrFrom
Offer15,PersonOrOrganization365,seller
Offer15,CreativeWork420,mainEntityOfPage
Offer15,Place57,availableAtOrFrom
Offer16,Place74,availableAtOrFrom
Offer16,CreativeWork417,mainEntityOfPage
Offer16,PersonOrOrganization443,seller
Offer16,Firearm9,itemOffered
Firearm3,PersonOrOrganization297,manufacturer
Offer18,CreativeWork460,mainEntityOfPage
Offer18,Place166,availableAtOrFrom
Offer18,PersonOrOrganization396,seller
Offer19,PersonOrOrganization342,seller
Offer19,CreativeWork499,mainEntityOfPage
Offer19,Firearm9,itemOffered
Offer19,Place175,availableAtOrFrom
Offer20,Place98,availableAtOrFrom
Offer20,Firearm9,itemOffered
Offer20,CreativeWork154,mainEntityOfPage
Offer20,PersonOrOrganization198,seller
Offer21,CreativeWork93,mainEntityOfPage
Offer21,PersonOrOrganization69,seller
Offer21,Firearm9,itemOffered
Offer21,Place34,availableAtOrFrom
Place10,PostalAddress22,address
Offer22,CreativeWork387,mainEntityOfPage
Offer22,Place191,availableAtOrFrom
Offer22,PersonOrOrganization455,seller
Offer22,Firearm9,itemOffered
Offer22,Offer48,relatedTo
Offer23,Place92,availableAtOrFrom
Offer24,Firearm6,itemOffered
Offer24,PersonOrOrganization118,seller
Offer24,CreativeWork135,mainEntityOfPage
PersonOrOrganization118,PostalAddress20,address
Offer25,Place287,availableAtOrFrom
Place13,PostalAddress15,address
Offer26,Place4,availableAtOrFrom
Offer27,Offer698,relatedTo
Offer27,Place267,availableAtOrFrom
Offer27,Offer513,relatedTo
Offer27,CreativeWork10,mainEntityOfPage
Offer27,PersonOrOrganization224,seller
Offer27,Offer30,relatedTo
Offer27,Offer748,relatedTo
Offer698,Place3,availableAtOrFrom
Offer513,Place241,availableAtOrFrom
Offer30,Place221,availableAtOrFrom
Offer748,Place198,availableAtOrFrom
Offer28,PersonOrOrganization287,seller
Offer28,Firearm1,itemOffered
Offer28,CreativeWork358,mainEntityOfPage
Place14,PostalAddress22,address
Offer29,CreativeWork428,mainEntityOfPage
Offer29,PersonOrOrganization59,seller
Offer29,Firearm56,itemOffered
Offer32,Place90,availableAtOrFrom
Offer33,PersonOrOrganization388,seller
Offer33,Place192,availableAtOrFrom
Offer33,Offer287,relatedTo
Offer33,Offer270,relatedTo
Offer33,CreativeWork133,mainEntityOfPage
Offer33,Offer90,relatedTo
Offer33,Offer690,relatedTo
Offer287,Place241,availableAtOrFrom
Offer270,Place88,availableAtOrFrom
Offer90,Place276,availableAtOrFrom
Offer690,Place217,availableAtOrFrom
Offer34,Firearm36,itemOffered
Offer34,PersonOrOrganization3,seller
Offer34,CreativeWork402,mainEntityOfPage
Offer35,Place92,availableAtOrFrom
Offer36,CreativeWork207,mainEntityOfPage
Offer36,Place289,availableAtOrFrom
Offer36,PersonOrOrganization110,seller
Offer36,Offer162,relatedTo
Offer36,Firearm66,itemOffered
Firearm66,PersonOrOrganization430,manufacturer
Firearm66,PersonOrOrganization230,manufacturer
Firearm66,PersonOrOrganization350,manufacturer
Firearm66,PersonOrOrganization186,manufacturer
Firearm66,PersonOrOrganization325,manufacturer
Firearm66,PersonOrOrganization381,manufacturer
Firearm66,PersonOrOrganization53,manufacturer
Offer37,Place248,availableAtOrFrom
Offer37,CreativeWork149,mainEntityOfPage
Offer37,PersonOrOrganization158,seller
Offer38,CreativeWork468,mainEntityOfPage
Offer38,Firearm37,itemOffered
Offer38,PersonOrOrganization360,seller
Firearm37,PersonOrOrganization435,manufacturer
Offer39,Firearm52,itemOffered
Offer39,CreativeWork7,mainEntityOfPage
Offer39,Place152,availableAtOrFrom
Firearm52,PersonOrOrganization34,manufacturer
Firearm52,PersonOrOrganization188,manufacturer
Firearm52,PersonOrOrganization229,manufacturer
Firearm52,PersonOrOrganization416,manufacturer
Firearm52,PersonOrOrganization41,manufacturer
Firearm52,PersonOrOrganization304,manufacturer
Firearm52,PersonOrOrganization281,manufacturer
Firearm52,PersonOrOrganization139,manufacturer
Firearm52,PersonOrOrganization359,manufacturer
Firearm52,PersonOrOrganization83,manufacturer
Firearm52,PersonOrOrganization60,manufacturer
Firearm52,PersonOrOrganization290,manufacturer
Firearm52,PersonOrOrganization340,manufacturer
Firearm52,PersonOrOrganization75,manufacturer
Firearm52,PersonOrOrganization299,manufacturer
Firearm52,PersonOrOrganization262,manufacturer
Firearm52,PersonOrOrganization426,manufacturer
Firearm52,PersonOrOrganization11,manufacturer
Firearm52,PersonOrOrganization7,manufacturer
Firearm52,PersonOrOrganization132,manufacturer
Firearm52,PersonOrOrganization258,manufacturer
Firearm52,PersonOrOrganization421,manufacturer
Firearm52,PersonOrOrganization57,manufacturer
Firearm52,PersonOrOrganization434,manufacturer
Firearm52,PersonOrOrganization289,manufacturer
Firearm52,PersonOrOrganization204,manufacturer
Firearm52,PersonOrOrganization283,manufacturer
Firearm52,PersonOrOrganization164,manufacturer
Firearm52,PersonOrOrganization246,manufacturer
Firearm52,PersonOrOrganization218,manufacturer
Offer40,Place217,availableAtOrFrom
Offer41,Place103,availableAtOrFrom
Offer43,Firearm46,itemOffered
Offer43,PersonOrOrganization105,seller
Offer43,CreativeWork56,mainEntityOfPage
Offer44,PersonOrOrganization260,seller
Offer44,Firearm14,itemOffered
Offer44,Place240,availableAtOrFrom
Offer44,CreativeWork320,mainEntityOfPage
Offer45,Place41,availableAtOrFrom
Offer46,Offer732,relatedTo
Offer46,PersonOrOrganization348,seller
Offer46,CreativeWork347,mainEntityOfPage
Offer47,Offer820,relatedTo
Offer47,PersonOrOrganization306,seller
Offer47,CreativeWork356,mainEntityOfPage
Offer49,Place146,availableAtOrFrom
Offer50,Offer325,relatedTo
Offer50,CreativeWork375,mainEntityOfPage
Offer50,Offer215,relatedTo
Offer50,Offer561,relatedTo
Offer50,Offer630,relatedTo
Offer50,Place37,availableAtOrFrom
Offer50,PersonOrOrganization319,seller
Offer325,Place146,availableAtOrFrom
Offer215,Place272,availableAtOrFrom
Offer561,Place44,availableAtOrFrom
Offer630,Place134,availableAtOrFrom
Offer51,Place212,availableAtOrFrom
Offer52,Offer48,relatedTo
Offer52,PersonOrOrganization181,seller
Offer52,CreativeWork250,mainEntityOfPage
Offer53,Place221,availableAtOrFrom
Offer53,PersonOrOrganization225,seller
Offer53,Offer85,relatedTo
Offer53,Offer649,relatedTo
Offer53,Offer167,relatedTo
Offer53,CreativeWork466,mainEntityOfPage
Offer53,Offer726,relatedTo
Offer85,Place92,availableAtOrFrom
Offer649,Place68,availableAtOrFrom
Offer167,Place190,availableAtOrFrom
Offer726,Place241,availableAtOrFrom
Offer54,Offer640,relatedTo
Offer54,CreativeWork262,mainEntityOfPage
Offer54,PersonOrOrganization43,seller
Offer54,Offer742,relatedTo
Offer55,Offer208,relatedTo
Offer55,Offer139,relatedTo
Offer55,CreativeWork362,mainEntityOfPage
Offer55,Place107,availableAtOrFrom
Offer55,PersonOrOrganization208,seller
Offer55,Offer399,relatedTo
Offer55,Offer825,relatedTo
Offer208,Place88,availableAtOrFrom
Offer139,Place241,availableAtOrFrom
Offer399,Place182,availableAtOrFrom
Offer825,Place241,availableAtOrFrom
Offer56,Place133,availableAtOrFrom
Offer56,CreativeWork300,mainEntityOfPage
Offer56,Firearm52,itemOffered
Offer57,Place241,availableAtOrFrom
Offer59,Firearm68,itemOffered
Offer59,PersonOrOrganization360,seller
Offer59,CreativeWork200,mainEntityOfPage
Firearm68,PersonOrOrganization32,manufacturer
Offer60,PersonOrOrganization345,seller
Offer60,Offer48,relatedTo
Offer60,CreativeWork236,mainEntityOfPage
Offer60,Firearm36,itemOffered
Offer60,Place9,availableAtOrFrom
Offer61,PersonOrOrganization386,seller
Offer61,CreativeWork65,mainEntityOfPage
Offer61,Place194,availableAtOrFrom
Offer61,Firearm25,itemOffered
Place194,PostalAddress22,address
Offer62,PersonOrOrganization286,seller
Offer62,CreativeWork35,mainEntityOfPage
Offer62,Firearm36,itemOffered
Offer64,Firearm9,itemOffered
Offer64,CreativeWork227,mainEntityOfPage
Offer64,Place117,availableAtOrFrom
Offer66,Firearm4,itemOffered
Offer66,PersonOrOrganization239,seller
Offer66,CreativeWork70,mainEntityOfPage
Firearm8,PersonOrOrganization412,manufacturer
Offer67,Place71,availableAtOrFrom
Offer67,Firearm62,itemOffered
Offer67,PersonOrOrganization355,seller
Offer67,CreativeWork394,mainEntityOfPage
Place71,PostalAddress3,address
Offer68,Place41,availableAtOrFrom
Offer69,Place221,availableAtOrFrom
Offer69,Offer83,relatedTo
Offer69,PersonOrOrganization225,seller
Offer69,Offer478,relatedTo
Offer69,Offer500,relatedTo
Offer69,CreativeWork361,mainEntityOfPage
Offer69,Offer264,relatedTo
Offer83,Place209,availableAtOrFrom
Offer478,Place241,availableAtOrFrom
Offer500,Place38,availableAtOrFrom
Offer264,Place181,availableAtOrFrom
PersonOrOrganization38,PostalAddress21,address
Offer71,Place287,availableAtOrFrom
Offer72,PersonOrOrganization353,seller
Offer72,CreativeWork437,mainEntityOfPage
