source,target,edge_label
Offer1,Place98,availableAtOrFrom
Offer2,CreativeWork109,mainEntityOfPage
Offer2,Firearm4,itemOffered
Offer2,Place161,availableAtOrFrom
Firearm4,PersonOrOrganization264,manufacturer
Firearm4,PersonOrOrganization104,manufacturer
Firearm4,PersonOrOrganization120,manufacturer
Firearm4,PersonOrOrganization6,manufacturer
Firearm4,PersonOrOrganization199,manufacturer
Firearm4,PersonOrOrganization165,manufacturer
Firearm4,PersonOrOrganization342,manufacturer
Firearm4,PersonOrOrganization52,manufacturer
Firearm4,PersonOrOrganization257,manufacturer
Firearm4,PersonOrOrganization65,manufacturer
Firearm4,PersonOrOrganization1,manufacturer
Firearm4,PersonOrOrganization410,manufacturer
Firearm4,PersonOrOrganization348,manufacturer
Firearm4,PersonOrOrganization407,manufacturer
Firearm4,PersonOrOrganization390,manufacturer
Firearm4,PersonOrOrganization127,manufacturer
Firearm4,PersonOrOrganization133,manufacturer
Firearm4,PersonOrOrganization47,manufacturer
Firearm4,PersonOrOrganization412,manufacturer
Firearm4,PersonOrOrganization24,manufacturer
Firearm4,PersonOrOrganization69,manufacturer
Firearm4,PersonOrOrganization280,manufacturer
Firearm4,PersonOrOrganization372,manufacturer
Firearm4,PersonOrOrganization258,manufacturer
Firearm4,PersonOrOrganization186,manufacturer
Firearm4,PersonOrOrganization346,manufacturer
Firearm4,PersonOrOrganization14,manufacturer
Firearm4,PersonOrOrganization397,manufacturer
Firearm4,PersonOrOrganization288,manufacturer
Firearm4,PersonOrOrganization357,manufacturer
Offer5,Firearm74,itemOffered
Offer5,PersonOrOrganization188,seller
Offer5,CreativeWork222,mainEntityOfPage
Offer6,Place214,availableAtOrFrom
Offer7,Place212,availableAtOrFrom
Offer8,Place293,availableAtOrFrom
Offer9,Offer431,relatedTo
Offer9,Offer505,relatedTo
Offer9,Offer166,relatedTo
Offer9,Offer745,relatedTo
Offer9,CreativeWork108,mainEntityOfPage
Offer9,Place217,availableAtOrFrom
Offer9,PersonOrOrganization41,seller
Offer431,Place166,availableAtOrFrom
Offer505,Place148,availableAtOrFrom
Offer166,Place170,availableAtOrFrom
Offer745,Place255,availableAtOrFrom
Offer10,PersonOrOrganization75,seller
Offer10,Place162,availableAtOrFrom
Offer10,Firearm5,itemOffered
Offer10,CreativeWork293,mainEntityOfPage
Firearm5,PersonOrOrganization346,manufacturer
Offer11,Place243,availableAtOrFrom
Offer12,CreativeWork127,mainEntityOfPage
Offer12,Place69,availableAtOrFrom
Offer12,PersonOrOrganization418,seller
Offer12,Firearm4,itemOffered
Offer13,PersonOrOrganization385,seller
Offer13,Offer250,relatedTo
Offer13,CreativeWork402,mainEntityOfPage
