source,target,edge_label
Offer3,Firearm19,itemOffered
Offer3,CreativeWork101,mainEntityOfPage
Offer3,Place18,availableAtOrFrom
Offer3,PersonOrOrganization107,seller
Offer3,Offer573,relatedTo
Firearm19,PersonOrOrganization354,manufacturer
Firearm19,PersonOrOrganization80,manufacturer
Firearm19,PersonOrOrganization255,manufacturer
Firearm19,PersonOrOrganization78,manufacturer
Firearm19,PersonOrOrganization345,manufacturer
Firearm19,PersonOrOrganization175,manufacturer
Firearm19,PersonOrOrganization100,manufacturer
Firearm19,PersonOrOrganization179,manufacturer
Firearm19,PersonOrOrganization311,manufacturer
Firearm19,PersonOrOrganization302,manufacturer
Firearm19,PersonOrOrganization251,manufacturer
Firearm19,PersonOrOrganization70,manufacturer
Firearm19,PersonOrOrganization61,manufacturer
Firearm19,PersonOrOrganization202,manufacturer
Firearm19,PersonOrOrganization340,manufacturer
Firearm19,PersonOrOrganization28,manufacturer
Firearm19,PersonOrOrganization126,manufacturer
Firearm19,PersonOrOrganization238,manufacturer
Firearm19,PersonOrOrganization290,manufacturer
Firearm19,PersonOrOrganization62,manufacturer
Firearm19,PersonOrOrganization388,manufacturer
Firearm19,PersonOrOrganization166,manufacturer
Firearm19,PersonOrOrganization282,manufacturer
Firearm19,PersonOrOrganization234,manufacturer
Firearm19,PersonOrOrganization22,manufacturer
Firearm19,PersonOrOrganization186,manufacturer
Firearm19,PersonOrOrganization64,manufacturer
Firearm19,PersonOrOrganization406,manufacturer
Firearm19,PersonOrOrganization68,manufacturer
Firearm19,PersonOrOrganization201,manufacturer
Offer4,PersonOrOrganization32,seller
Offer4,CreativeWork168,mainEntityOfPage
Offer4,Firearm47,itemOffered
PersonOrOrganization32,PostalAddress5,address
PersonOrOrganization32,ContactPoint2,contactPoint
Firearm47,PersonOrOrganization83,manufacturer
Offer6,Firearm11,itemOffered
Offer6,Place130,availableAtOrFrom
Offer6,PersonOrOrganization215,seller
Offer6,CreativeWork349,mainEntityOfPage
Place130,PostalAddress19,address
Offer8,CreativeWork372,mainEntityOfPage
Offer8,Offer270,relatedTo
Offer8,Offer131,relatedTo
Offer8,PersonOrOrganization185,seller
Offer9,Firearm19,itemOffered
Offer9,Place147,availableAtOrFrom
Offer9,PersonOrOrganization65,seller
Offer9,CreativeWork348,mainEntityOfPage
PersonOrOrganization7,PostalAddress21,address
Offer11,CreativeWork303,mainEntityOfPage
Offer11,Place97,availableAtOrFrom
Offer11,Firearm19,itemOffered
Offer12,Firearm35,itemOffered
Offer12,PersonOrOrganization321,seller
Offer12,CreativeWork92,mainEntityOfPage
Offer13,PersonOrOrganization96,seller
Offer13,Place56,availableAtOrFrom
Offer13,CreativeWork70,mainEntityOfPage
Offer14,PersonOrOrganization261,seller
Offer14,CreativeWork341,mainEntityOfPage
Offer14,Place154,availableAtOrFrom
Offer15,Firearm50,itemOffered
Offer15,CreativeWork346,mainEntityOfPage
Offer15,Place100,availableAtOrFrom
Firearm50,PersonOrOrganization379,manufacturer
Firearm50,PersonOrOrganization227,manufacturer
Firearm50,PersonOrOrganization295,manufacturer
Firearm50,PersonOrOrganization187,manufacturer
Firearm50,PersonOrOrganization291,manufacturer
Firearm50,PersonOrOrganization403,manufacturer
Firearm50,PersonOrOrganization72,manufacturer
Firearm50,PersonOrOrganization309,manufacturer
Firearm50,PersonOrOrganization11,manufacturer
Firearm50,PersonOrOrganization333,manufacturer
Firearm50,PersonOrOrganization197,manufacturer
Firearm50,PersonOrOrganization318,manufacturer
Firearm50,PersonOrOrganization334,manufacturer
Firearm50,PersonOrOrganization308,manufacturer
Firearm50,PersonOrOrganization278,manufacturer
Firearm50,PersonOrOrganization235,manufacturer
Firearm50,PersonOrOrganization242,manufacturer
Firearm50,PersonOrOrganization188,manufacturer
Firearm50,PersonOrOrganization17,manufacturer
Firearm50,PersonOrOrganization158,manufacturer
Firearm50,PersonOrOrganization254,manufacturer
Firearm50,PersonOrOrganization297,manufacturer
Firearm50,PersonOrOrganization190,manufacturer
Firearm50,PersonOrOrganization164,manufacturer
Firearm50,PersonOrOrganization155,manufacturer
Firearm50,PersonOrOrganization270,manufacturer
Firearm50,PersonOrOrganization167,manufacturer
Firearm50,PersonOrOrganization76,manufacturer
Firearm50,PersonOrOrganization217,manufacturer
Firearm50,PersonOrOrganization396,manufacturer
Place5,PostalAddress6,address
Offer16,Place71,availableAtOrFrom
Offer16,PersonOrOrganization301,seller
Offer16,CreativeWork98,mainEntityOfPage
Offer17,Offer399,relatedTo
Offer17,Offer113,relatedTo
Offer17,CreativeWork256,mainEntityOfPage
Offer17,PersonOrOrganization140,seller
Offer19,Place28,availableAtOrFrom
Offer19,Firearm42,itemOffered
Offer19,CreativeWork55,mainEntityOfPage
