source,target,edge_label
Firearm1,PersonOrOrganization21,manufacturer
Offer1,Offer124,relatedTo
Offer1,Offer364,relatedTo
Offer1,Offer10,relatedTo
Offer1,Offer49,relatedTo
Offer1,CreativeWork90,mainEntityOfPage
Offer1,Place275,availableAtOrFrom
Offer1,PersonOrOrganization225,seller
Offer124,Place242,availableAtOrFrom
Offer364,Place207,availableAtOrFrom
Offer10,Place234,availableAtOrFrom
Offer49,Place297,availableAtOrFrom
Offer2,Place251,availableAtOrFrom
Offer3,Offer657,relatedTo
Offer3,Offer768,relatedTo
Offer3,CreativeWork169,mainEntityOfPage
Offer3,PersonOrOrganization260,seller
Offer3,Offer740,relatedTo
Offer3,Place206,availableAtOrFrom
Offer3,Offer436,relatedTo
Offer657,Place58,availableAtOrFrom
Offer768,Place104,availableAtOrFrom
Offer740,Place254,availableAtOrFrom
Offer436,Place169,availableAtOrFrom
Firearm3,PersonOrOrganization215,manufacturer
Offer4,PersonOrOrganization275,seller
Offer4,Place182,availableAtOrFrom
Offer4,CreativeWork233,mainEntityOfPage
Offer5,Firearm74,itemOffered
Offer5,PersonOrOrganization195,seller
Offer5,CreativeWork462,mainEntityOfPage
PersonOrOrganization195,PostalAddress25,address
Offer6,CreativeWork248,mainEntityOfPage
Offer6,PersonOrOrganization199,seller
Offer6,Offer397,relatedTo
Offer7,Place71,availableAtOrFrom
Firearm4,PersonOrOrganization251,manufacturer
Offer8,PersonOrOrganization102,seller
Offer8,CreativeWork63,mainEntityOfPage
Offer8,Firearm37,itemOffered
PersonOrOrganization102,PostalAddress21,address
PersonOrOrganization102,ContactPoint1,contactPoint
Firearm37,PersonOrOrganization366,manufacturer
Offer9,Place292,availableAtOrFrom
Offer11,Firearm64,itemOffered
Offer11,CreativeWork325,mainEntityOfPage
Offer11,PersonOrOrganization125,seller
Offer11,Place41,availableAtOrFrom
Firearm64,PersonOrOrganization379,manufacturer
Firearm64,PersonOrOrganization51,manufacturer
Firearm64,PersonOrOrganization149,manufacturer
Firearm64,PersonOrOrganization276,manufacturer
Firearm64,PersonOrOrganization203,manufacturer
Firearm64,PersonOrOrganization231,manufacturer
Firearm64,PersonOrOrganization121,manufacturer
Firearm64,PersonOrOrganization16,manufacturer
Firearm64,PersonOrOrganization366,manufacturer
Firearm64,PersonOrOrganization269,manufacturer
Firearm64,PersonOrOrganization389,manufacturer
Offer12,Place182,availableAtOrFrom
Offer12,PersonOrOrganization360,seller
Offer12,CreativeWork206,mainEntityOfPage
Offer13,Offer710,relatedTo
Offer13,CreativeWork234,mainEntityOfPage
Offer13,PersonOrOrganization175,seller
Offer13,Offer192,relatedTo
Offer14,PersonOrOrganization318,seller
Offer14,CreativeWork74,mainEntityOfPage
Offer14,Firearm49,itemOffered
PersonOrOrganization318,PostalAddress5,address
Offer15,Place173,availableAtOrFrom
Offer16,CreativeWork471,mainEntityOfPage
Offer16,Firearm29,itemOffered
Offer16,PersonOrOrganization356,seller
Offer16,Place20,availableAtOrFrom
Firearm29,PersonOrOrganization229,manufacturer
Firearm29,PersonOrOrganization18,manufacturer
Firearm29,PersonOrOrganization281,manufacturer
Firearm29,PersonOrOrganization77,manufacturer
Firearm29,PersonOrOrganization48,manufacturer
Firearm29,PersonOrOrganization230,manufacturer
Firearm29,PersonOrOrganization95,manufacturer
Firearm29,PersonOrOrganization365,manufacturer
Firearm29,PersonOrOrganization287,manufacturer
Firearm29,PersonOrOrganization204,manufacturer
Firearm29,PersonOrOrganization208,manufacturer
Firearm29,PersonOrOrganization228,manufacturer
Firearm29,PersonOrOrganization28,manufacturer
Firearm29,PersonOrOrganization144,manufacturer
Firearm29,PersonOrOrganization413,manufacturer
Firearm29,PersonOrOrganization93,manufacturer
Firearm29,PersonOrOrganization68,manufacturer
Firearm29,PersonOrOrganization221,manufacturer
Firearm29,PersonOrOrganization122,manufacturer
Firearm29,PersonOrOrganization66,manufacturer
Firearm29,PersonOrOrganization193,manufacturer
Firearm29,PersonOrOrganization280,manufacturer
Firearm29,PersonOrOrganization135,manufacturer
Firearm29,PersonOrOrganization91,manufacturer
Firearm29,PersonOrOrganization241,manufacturer
Firearm29,PersonOrOrganization21,manufacturer
Firearm29,PersonOrOrganization397,manufacturer
Firearm29,PersonOrOrganization389,manufacturer
Firearm29,PersonOrOrganization400,manufacturer
Firearm29,PersonOrOrganization137,manufacturer
Offer17,Offer642,relatedTo
Offer17,PersonOrOrganization175,seller
Offer17,CreativeWork221,mainEntityOfPage
Offer17,Offer722,relatedTo
Offer18,Offer528,relatedTo
Offer18,Place25,availableAtOrFrom
Offer18,PersonOrOrganization347,seller
Offer18,Offer650,relatedTo
Offer18,Offer189,relatedTo
Offer18,Offer451,relatedTo
Offer18,CreativeWork243,mainEntityOfPage
Offer528,Place104,availableAtOrFrom
Offer650,Place252,availableAtOrFrom
Offer189,Place104,availableAtOrFrom
Offer451,Place104,availableAtOrFrom
Offer19,Place248,availableAtOrFrom
Offer19,Firearm1,itemOffered
Offer19,CreativeWork228,mainEntityOfPage
Offer19,PersonOrOrganization333,seller
Offer20,CreativeWork240,mainEntityOfPage
Offer20,PersonOrOrganization248,seller
Offer20,Place195,availableAtOrFrom
Offer21,Place106,availableAtOrFrom
Offer22,Place288,availableAtOrFrom
Offer23,Firearm29,itemOffered
Offer23,CreativeWork139,mainEntityOfPage
Offer23,PersonOrOrganization335,seller
Offer23,Place282,availableAtOrFrom
Place7,PostalAddress18,address
Offer26,Offer137,relatedTo
Offer26,CreativeWork289,mainEntityOfPage
Offer26,PersonOrOrganization262,seller
Offer27,Place104,availableAtOrFrom
Offer29,CreativeWork363,mainEntityOfPage
Offer29,PersonOrOrganization34,seller
Offer29,Firearm29,itemOffered
Offer29,Place155,availableAtOrFrom
Offer30,Offer195,relatedTo
Offer30,PersonOrOrganization1,seller
Offer30,Offer154,relatedTo
Offer30,Place104,availableAtOrFrom
Offer30,CreativeWork181,mainEntityOfPage
Offer30,Offer770,relatedTo
Offer30,Offer267,relatedTo
Offer195,Place141,availableAtOrFrom
