source,target,edge_label
Place2,PostalAddress10,address
Offer1,Place21,availableAtOrFrom
Offer3,Place217,availableAtOrFrom
Offer3,Firearm43,itemOffered
Offer3,CreativeWork379,mainEntityOfPage
Firearm43,PersonOrOrganization367,manufacturer
Firearm43,PersonOrOrganization159,manufacturer
Firearm43,PersonOrOrganization62,manufacturer
Firearm43,PersonOrOrganization9,manufacturer
Firearm43,PersonOrOrganization59,manufacturer
Firearm43,PersonOrOrganization102,manufacturer
Firearm43,PersonOrOrganization193,manufacturer
Firearm43,PersonOrOrganization358,manufacturer
Firearm43,PersonOrOrganization420,manufacturer
Firearm43,PersonOrOrganization93,manufacturer
Firearm43,PersonOrOrganization303,manufacturer
Firearm43,PersonOrOrganization265,manufacturer
Firearm43,PersonOrOrganization80,manufacturer
Firearm43,PersonOrOrganization369,manufacturer
Firearm43,PersonOrOrganization34,manufacturer
Firearm43,PersonOrOrganization167,manufacturer
Firearm43,PersonOrOrganization305,manufacturer
Firearm43,PersonOrOrganization437,manufacturer
Firearm43,PersonOrOrganization452,manufacturer
Firearm43,PersonOrOrganization396,manufacturer
Firearm43,PersonOrOrganization348,manufacturer
Firearm43,PersonOrOrganization239,manufacturer
Firearm43,PersonOrOrganization454,manufacturer
Firearm43,PersonOrOrganization371,manufacturer
Firearm43,PersonOrOrganization55,manufacturer
Firearm43,PersonOrOrganization54,manufacturer
Firearm43,PersonOrOrganization160,manufacturer
Firearm43,PersonOrOrganization442,manufacturer
Firearm43,PersonOrOrganization337,manufacturer
Firearm43,PersonOrOrganization230,manufacturer
Offer5,Place240,availableAtOrFrom
Offer7,CreativeWork2,mainEntityOfPage
Offer7,Firearm38,itemOffered
Offer7,Place258,availableAtOrFrom
Offer7,PersonOrOrganization286,seller
Firearm38,PersonOrOrganization92,manufacturer
Firearm38,PersonOrOrganization58,manufacturer
Firearm38,PersonOrOrganization436,manufacturer
Firearm38,PersonOrOrganization232,manufacturer
Firearm38,PersonOrOrganization51,manufacturer
Firearm38,PersonOrOrganization112,manufacturer
Firearm38,PersonOrOrganization378,manufacturer
Firearm38,PersonOrOrganization446,manufacturer
Firearm38,PersonOrOrganization293,manufacturer
Firearm38,PersonOrOrganization203,manufacturer
Firearm38,PersonOrOrganization108,manufacturer
Offer8,PersonOrOrganization211,seller
Offer8,Place232,availableAtOrFrom
Offer8,Firearm54,itemOffered
Offer8,CreativeWork478,mainEntityOfPage
Firearm54,PersonOrOrganization340,manufacturer
Offer9,Place282,availableAtOrFrom
Offer9,CreativeWork60,mainEntityOfPage
Offer9,Offer630,relatedTo
Offer9,Offer440,relatedTo
Offer9,Offer758,relatedTo
Offer9,Offer246,relatedTo
Offer9,PersonOrOrganization205,seller
Offer630,Place282,availableAtOrFrom
Offer440,Place21,availableAtOrFrom
Offer758,Place64,availableAtOrFrom
Offer246,Place269,availableAtOrFrom
Offer10,Firearm19,itemOffered
Offer10,CreativeWork341,mainEntityOfPage
Offer10,PersonOrOrganization148,seller
Offer11,Place74,availableAtOrFrom
Offer11,CreativeWork193,mainEntityOfPage
Offer11,PersonOrOrganization50,seller
Offer12,Firearm38,itemOffered
Offer12,CreativeWork171,mainEntityOfPage
Offer12,PersonOrOrganization357,seller
Offer12,Place153,availableAtOrFrom
Offer13,Firearm15,itemOffered
Offer13,PersonOrOrganization111,seller
Offer13,CreativeWork16,mainEntityOfPage
Firearm15,PersonOrOrganization241,manufacturer
Firearm15,PersonOrOrganization448,manufacturer
Firearm15,PersonOrOrganization447,manufacturer
Firearm15,PersonOrOrganization372,manufacturer
Firearm15,PersonOrOrganization31,manufacturer
Firearm15,PersonOrOrganization17,manufacturer
Firearm15,PersonOrOrganization36,manufacturer
Firearm15,PersonOrOrganization399,manufacturer
Firearm15,PersonOrOrganization368,manufacturer
Firearm15,PersonOrOrganization115,manufacturer
