source,target,edge_label
Offer1,Place32,availableAtOrFrom
Offer2,Place14,availableAtOrFrom
Offer3,Firearm50,itemOffered
Offer3,PersonOrOrganization367,seller
Offer3,Place172,availableAtOrFrom
Offer3,CreativeWork343,mainEntityOfPage
Firearm50,PersonOrOrganization41,manufacturer
Firearm50,PersonOrOrganization118,manufacturer
Firearm50,PersonOrOrganization195,manufacturer
Firearm50,PersonOrOrganization377,manufacturer
Firearm50,PersonOrOrganization433,manufacturer
Firearm50,PersonOrOrganization57,manufacturer
Firearm50,PersonOrOrganization330,manufacturer
Firearm50,PersonOrOrganization288,manufacturer
Firearm50,PersonOrOrganization383,manufacturer
Firearm50,PersonOrOrganization1,manufacturer
Firearm50,PersonOrOrganization324,manufacturer
Offer4,Place262,availableAtOrFrom
Offer5,CreativeWork8,mainEntityOfPage
Offer5,Firearm50,itemOffered
Offer5,Place251,availableAtOrFrom
Offer5,PersonOrOrganization133,seller
Offer6,Place52,availableAtOrFrom
Offer7,Place138,availableAtOrFrom
Offer8,Place138,availableAtOrFrom
Offer9,Firearm41,itemOffered
Offer9,PersonOrOrganization19,seller
Offer9,CreativeWork111,mainEntityOfPage
Offer10,Place135,availableAtOrFrom
Offer10,CreativeWork350,mainEntityOfPage
Offer10,Firearm36,itemOffered
Firearm36,PersonOrOrganization187,manufacturer
Firearm36,PersonOrOrganization206,manufacturer
Firearm36,PersonOrOrganization98,manufacturer
Firearm36,PersonOrOrganization284,manufacturer
Firearm36,PersonOrOrganization21,manufacturer
Firearm36,PersonOrOrganization393,manufacturer
Firearm36,PersonOrOrganization281,manufacturer
Firearm36,PersonOrOrganization335,manufacturer
Firearm36,PersonOrOrganization154,manufacturer
Firearm36,PersonOrOrganization263,manufacturer
Firearm36,PersonOrOrganization375,manufacturer
Firearm36,PersonOrOrganization254,manufacturer
Firearm36,PersonOrOrganization396,manufacturer
Firearm36,PersonOrOrganization249,manufacturer
Firearm36,PersonOrOrganization36,manufacturer
Firearm36,PersonOrOrganization277,manufacturer
Firearm36,PersonOrOrganization106,manufacturer
Firearm36,PersonOrOrganization278,manufacturer
Firearm36,PersonOrOrganization267,manufacturer
Firearm36,PersonOrOrganization34,manufacturer
Firearm36,PersonOrOrganization126,manufacturer
Firearm36,PersonOrOrganization397,manufacturer
Firearm36,PersonOrOrganization310,manufacturer
Firearm36,PersonOrOrganization182,manufacturer
Firearm36,PersonOrOrganization13,manufacturer
Firearm36,PersonOrOrganization415,manufacturer
Firearm36,PersonOrOrganization97,manufacturer
Firearm36,PersonOrOrganization116,manufacturer
Firearm36,PersonOrOrganization213,manufacturer
Firearm36,PersonOrOrganization132,manufacturer
Offer11,Place81,availableAtOrFrom
Offer12,Place77,availableAtOrFrom
Offer13,Firearm59,itemOffered
Offer13,CreativeWork147,mainEntityOfPage
Offer13,Place119,availableAtOrFrom
Firearm59,PersonOrOrganization279,manufacturer
Firearm59,PersonOrOrganization56,manufacturer
Firearm59,PersonOrOrganization12,manufacturer
Firearm59,PersonOrOrganization292,manufacturer
Firearm59,PersonOrOrganization52,manufacturer
Firearm59,PersonOrOrganization70,manufacturer
Firearm59,PersonOrOrganization328,manufacturer
