Copyright0951,0021,Seller0716,Image0665,file_name,Image0682,Rifles0572,New0604,Main0551,20150823,Guns0565,Image0648,Price0797,Since0725,Location0800,ATF0978,Start0821,5568580574
2015,Daniel Defense DDM4 V5 With hard case and extras : Rifles,Skanderbeg31,image3.JPG,02BB505335316DAEE8BC83444ED123A0B195798B458AD0414FD3C4AC444C6F5A.html,image5.JPG,556014,image4.JPG,,": 1   This is a Daniel Defense DDM4 V5 up for sale, comes with Pelican 1700 series Heavy Duty. case 4 PMags and SureFire Light with attachment. The Weapon has had many upgrade to include BCM Gunfighter charging handle, Magpul pop up front and rear sights, Fail Zero BCG Blot, Socom muzzle break. The weapon had approximately 400 rounds thorough it flawlessly without failure. I have maintained and kept this weapon in pristine condition. I am asking 1700OBO with everything, I can work with reasonable offers or trades with cash, I am looking for Sig1911s preferably. Please feel free to message me if interested, I appreciate your time thanks again.",Rifles,image2.JPG,"1,700","November 14, 2015",Seminole,: 1991,"Nov 14, 2015",Daniel Defense DDM4 V5 With hard case and extras
2015,Marlin 336 jm cs 35 Rem : Rifles,lucyLOU,,04ECECD66E4E47DE82DE3F95DACAAD5147AF3E7DA4E9A50ED675973657E2A4E0.html,,556819,1791619.jpg,,: 1  Marlin 336 jm cs 35 Rem lever Action remington micro grove remington very nice with base trade for shotguns 20 gauge side by side or 12 ga no crap handguns dan wesson either 357 9mm 44 magnum 40 cal 45 223 or ak 47 7.62x39 308 25-06 270 colt python good bear deer hogs gun also have ammo for money 550.00 dan wesson 10mm mm DAN WESSON wanted wsm ar 10 30-06 270 813-31O63-13 trade 550.00,Rifles,,550,"August 21, 2014",Golta,: 2085,"Nov 19, 2015",Marlin 336 jm cs 35 Rem
2015,STI Full Race 40 cal Pistol : Pistols,harley2003,IMG_20151021_142104.jpg,0AE1A77E2CE6C5593BAAD538D004DC750A4FE203E8ED8561FD5B52F98923FB80.html,,556090,IMG_20151021_142119.jpg,,": 2  For sale is a full race STI/ Caspian 40 cal. Pistol. This gun was made for fast shooting and is very accurate. It's has everything that a true racegun would. The partslist is too long, but this baby is the way to go. I'm no longer shooting comp. Matches, so here it is. It comes with four comp. 40 cal high cap mags, the whole rig is ready to go, all that is needed is ammo and a good shooter.Obo",Pistols,,"2,000","September 24, 2012",Ft Pierce,: 2387,"Nov 14, 2015",STI Full Race 40 cal Pistol
2015,left hand remington 7MM bdl new : Rifles,dodge_ram_driver,,0FF8D09ECC8C6515FC8CEE5CD701FF5CAD2E4BF113B730BDE16D1369C120C747.html,,557130,SAM_0225.JPG,,: 1  remington left hand 7 mm bdl with leupold vx-3-4.5x40 cds scope. new never fire all new never sited in scope. COMES WITH THREE BOXES OF AMMO 175 PARTITION AND 1 BOX 150 GR AND 1 BOX 174 GR THIS IS A $1600.00 SET UP WILL SELL FOR $ 1000.00 call cell 518-461-5688,Rifles,,"1,000","December 10, 2011",Jacksonville,: 1348,"Nov 21, 2015",left hand remington 7MM bdl new
2015,FNH FNX45 : Pistols,nwdsk8er,,124A9230871E5408AC46345029550930C5F1EACD67CE79EA9CAAD91876DADA82.html,,556466,IMG_0392.JPG,,": 2   I am selling my FNX45 45ACP pistol. This pistol has the largest capacity of 45acp of any pistol on the market, it holds 16 rounds of 45. Comes with 3 mags and FN carrying case. Gun purchased new from shooters world this year, has a little over 200 rounds through it. Cleaned after each range visit and well taken care for. Gun was $900 out the door when purchased. Im asking $750. If interested please text 813-838-O5IO , by replying to this ad you are agreeing that you are not a felon and have no reason not to buy the gun. I will need to see Florida ID at time of sale.",Pistols,,0,"January 30, 2013",Tampa,: 2084,"Nov 16, 2015",FNH FNX45
2015,ZOMBIE STOPPER XPS3-2 RED/GREEN REFLEX SIGHT CLONE : Optics/Sights,ceasar,A70tan-1.jpg,131A2113F0E809EA9A74FF5E6E0E46F3C221D925B2D8D7266278C698F0FFDCB3.html,,556837,A70tan_2-1-2.jpg,,: 2   Eotech Zombie Stopper Clone    Eotech Zombie Stopper XPS3-2    Red Green Reflex Dot Sight    QD Mount   Includes Eotech Neoprene Scope Cover    This Is A High Quality Duplicate Of The Original Zombie Stopper    Why pay $400.00+ When This Will Function Exactly The Same    $120.00 Cash FTF    $125.00 Shipped    PayPal Gift Family or Friends    USPS Priority Mail,,,0,"February 29, 2012",Venice Osprey,: 2172,"Nov 19, 2015",ZOMBIE STOPPER XPS3-2 RED/GREEN REFLEX SIGHT CLONE
2015,22 LR Ammo - Federal AutoMatch 325 : Ammunition,user64947,,190D97D4680D62AA9A87F9134BA135F83C765F1E16DDB4C0501A10AA60444DFE.html,,556319,Fed AutoMatch.jpg,,": 1   (3) 325 round boxes of Federal AutoMatch, 40 gr, solid round nose, 1200 FPS.   $23.00 a box or all 3 for $65.00",,,23,"March 25, 2014",Melbourne,: 2312,"Nov 15, 2015",22 LR Ammo - Federal AutoMatch 325
2015,CVA Optima V2 Stainless Steel 209 w/ scope  case : Black Powder,dragon,,19146688935311D4E2EAFA3F963AF838288DE9DA6C88784EE4D89B3C77646551.html,,556662,,,": 2  - Quick release breech plug  - Ignition system uses 209 primers  - Break action  - Reversible thumb stud  - Ambidextrous thumbhole stock  - Crushzone recoil pad  - Stainless steel breach plug, receiver and fluted barrel 1 in 28"" twist (barrel already pre drilled and tapped to accept ironsights of your choice!)  - 3-9 Konuspro Scope and mount  - CVA Optima carry case  - Aluminum ram rod    This muzzleloader features a stainless steel receiver, breach plug and 26"" barrel with a 1 in 28"" twist rate. The quick-release breech plug ensures quick, easy and tool-less removal, while the CrushZone recoil pad helps control the felt recoil when shooting this gun. The reversible hammer spur gives you a secure grip while pulling the hammer back on that big buck. With a standard 14"" length of pull, this rifle is a one size fits most design and the it's lightweight nature weighing in at only 6.65lbs.    This rifle is like new condition, zero rust well cared for and only shot about 10 times for zeroing and testing accuracy. I am selling this rifle because i already have 2 more like it.    This rifle and scope package retails for $450.00! I am asking $350.00 for this like new rifle package! please serious offers only, no trades please.      Technical Information    Caliber: .50  Barrel Length: 26""  Twist Rate: 1:28""  Overall Length: 41""  Weight: 6.65  Stock: Synthetic; ambidextrous thumbhole  Ignition Type: 209 primer",Black Powder,,330,"December 2, 2011",Defuniak Springs,: 1505,"Nov 18, 2015",CVA Optima V2 Stainless Steel 209 w/ scope  case
2015,Desert Eagle 50 Compansated : Pistols,lightning0450,,1AAB5BEAA984CBA0EDCE49AE2C12ECB148A901C3C65CD096DF5221E7D1F3A93B.html,,556532,IMG_4482.jpg,,: 2   Selling my brand new never shot Magnum Research Desert Eagle 50 with compensated barrel. I've had a few of these guns and they are extremely fun to shoot. Comes with 2 boxes of ammo and all original paperwork and box       Asking $1900 obo       Contact John 3057219285,Pistols,,0,"October 16, 2012",Miami,: 1697,"Nov 17, 2015",Desert Eagle 50 Compansated
2015,New Del-ton 5.56 AR W/ Forward Assist  Dust Cover : Rifles,bestdealz321,,21337B76762DA8CF800FCA3AAAFC62071A8ECD746120324D0E82253AA7B46FD0.html,,556829,IMG_0303.JPG,,": 2   New Del-ton 5.56mm AR rifle 17"" barrel, forward assist, dust cover, adjustable stock with magazine   This price is starting 7am Black Friday. While supplies last   Visit bestpawnahoppe.com for more Black Friday deals   Best Pawn Shoppe   895 S. Wickham Rd   W. Melbourne 32904",Rifles,,610,"March 17, 2011",West Melbourne,: 2154,"Nov 19, 2015",New Del-ton 5.56 AR W/ Forward Assist  Dust Cover
