0006,No0426,In0403,post0299,US0756,Price0373,On0398,Location0408,file_name,Favorite0538
For Sale/Trade: SpringField Armory M1a Loaded,Manufacturer:    Springfield    Caliber:    308/7.62 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4876687,2015,"2,300","Friday, November 20, 2015","Kansas City, Kansas City, Missouri",03F782373899624E65AF80F477131205016EAFD40F437BF1EE64BE6D00F788A8.html,"NIB Spring Field Armory M1a loaded  New Walnut stock w/ hinged but plate  Gen 4 Scope mount  Redfield Scope  Harris swivel bipod w/ s lock  Cleaning kit with multi tool (stores in stock)  380 rds 168 gr  2 20rd and 1 10rd mags  additional accessories  All original paperwork and box  May sell rifle without scope, mount, bipod or ammo for $1450"
For Sale/Trade: Stag arms AR15,Manufacturer:    Stag Arms    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4758480,2015,700,"Monday, November 16, 2015","Virginia beach, Hampton Roads, Virginia",074E88263CD1C961CB8FB991CCF3D4960ED00B2E0A038458114FFA9498EE69B4.html,"Stag arms model 1 stag-15 5.56. Excellent condition, great shooting rifle. Includes everything shown, magpul and original buttstock, Removable A2 carry handle along with flip up rear sight, 1 pmag/1 steel mag, hard case. will consider trades as well. Must have concealed carry permit.    *No low ball trades, If your trade does not equal in value then you'll need to add cash or   ammo or both. Do not expect me to do a straight up trade for a $500 AK."
For Sale: Savage 1899 250-3000 Takedown Rifle,Manufacturer:    Savage Arms    Action:    Lever Action    Firearm Type:    Rifle,Rifles,4832350,2015,525,"Sunday, November 22, 2015","Eastern Shore, Mobile, Alabama",0E875CEA0C9C5A36FD45472856A1586BDDF1C446B2F9215D8FE969BE55CAC313.html,"Early 1900's 250 Savage. With some ammo and dies.     Not for the collector.... Rifle has been re-blued including case hardened lever, receiver is drilled and tapped for side mount scope and forend has been repaired.          Firm price and no trades. Will ship without ammo."
For Sale: PreBan Eagle Arms AR15 A2,Manufacturer:    Armalite    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4871561,2015,900,"Wednesday, November 18, 2015","Bellevue, Washington, United States",1029897E0EA49407BD99A921291A8189FBF9D68DB7710EF1AE0046A471FCF9DE.html,"This is a preban Eagle Arms (now going by Armalite) EA-15 20"" A2 configuration AR-15.    It is in great condition and in perfect working order. The gun was a complete rifle, and not just a lower, from the factory, as can be seen by the ""proof"" marking located in front of the magwell.     Comes with 1 30rd GI magazine.     The gun is shown with an A1 grip, but the original A2 grip will be installed instead."
For Sale: Taurus Judge,Manufacturer:    Taurus    Caliber:    45 Long Colt    Action:    Double Action    Firearm Type:    Revolver,Handguns,4862001,2015,500,"Sunday, November 15, 2015","York, Cumberland Valley, Pennsylvania",1450A0FD273FC2981071374DD1B24BE636B45770D51D2D5C60A294D587DAD578.html,"This is the Taurus Judge for sale. Shoots 45 colt and .410 2-1/2"" shotgun shells. Only fired around 45-50 rounds through it. Holds 5 rounds. It's a 3"" barrel, stainless steel finish. Asking $500 cash. Call or text Brandon at 717-880-9682 if interested."
For Sale: ak74,Manufacturer:    Saiga    Caliber:    5.45x39mm    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4869966,2015,"1,000","Wednesday, November 18, 2015","Belton, mo, Kansas City, Missouri",16115E5082BC39B2FBDD92CB27C927C8F043C4CAFA591873284FFEC1F45C2CD5.html,"Belton, mo  (816)315-1680  $1000  May trade for   -desert eagle .44 or .50  -.357 or .44 revolver 6"" or longer barrel   -12 gauge shotgun + cash  -long slide 9mm + cash  Aimpoint PRO + cash  Target ammo in .357 mag, 10mm, 7.62x39 or .308    What I have here is a really cool little ak74  -It was made by waffen works  -It is chambered in 5.45x39  -It comes with 6x 30 round circle 10 mags  -I also have a mag limiter so one of the mags can have a 10 round capacity for hunting  -it comes with a utg pro scope mount  -in addition to the standard right side charging handle, there is a left side, fal style folding charging handle built into the dust cover. It is non reciprocating. It is a very cool addition for you right handed shooters. And they run like $200 by themselves. Can't be used with the scope mount on though.  -I have 120 rounds silver bear fmj, and 84 rounds hornady ballistic tips  -the for end is tapco with a magpul grip  -the stock is ati and has an adjustable cheek piece  -has a hogue pistol grip as well  Paint was done by previous owner. Idk how it was done, but its holding up well.    This is the smoothest shooting AK you will ever shoot. There is virtually no recoil, and its a blast to shoot. The only reason its for sale is that im just trying to consolidate calibers.    NO FELONS, MINORS OR LOWBALLERS  MO RESIDENTS FACE TO FACE  KS RESIDENTS THROUGH FFL"
For Sale: P238,Manufacturer:    Sig Sauer    Caliber:    380 ACP    Firearm Type:    Pistol,Handguns,4707777,2015,600,"Sunday, November 22, 2015","Ft nyers, South West Florida, Florida",1CE341478E2667271B81C0C06A2D3C569B17D09AECE2F43F3CE933D134DD520D.html,"Very nice sidearm low profile comes with pocket holster.. Carried very little and shot even less, less than 1 year old. Just trying to free up some cash well taken care of. Night sights 1 clip. Asking 600 obo"
For Sale: Marlin 336W .30-30 Cal. Lever Action Rifle Used,Manufacturer:    Marlin    Caliber:    30-30 Winchester    Action:    Lever Action    Firearm Type:    Rifle,Rifles,4862337,2015,499,"Sunday, November 15, 2015","PASCO, Tampa/St. Pete, Florida",1D6FB81C850357700B9A3BCE9B4B9BED6C28752D086025C8E7467225795C9F27.html,"This item is located at our Holiday store. 2132 U.S. Highway 19, Holiday, FL 34691. Please call us at 727.938.8208 for additional information regarding this item. Also, call us before you  come in to make sure the item is still available for sale. Thank you.  Stop in our store or check out our website! GOLDEN NUGGET PAWN 2132 US HWY 19  HOLIDAY, FL 34691  (727) 938-8208 WWW.GOLDENNUGGETPAWN.COM Visa - Master Card - Discover  9 am-7 pm Mon-Sun **Let us do your FFL Transfers!** Sales - Trades - Lay-a-ways - TransfersGolden Nugget  Pawn 52 We buy ~ sell ~ trade all types of firearms. We also provide FFL transfers"
For Sale: Daniel Defense complete upper,Manufacturer:    Daniel Defense    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4869656,2015,"1,000","Tuesday, November 17, 2015","Suffolk, Hampton Roads, Virginia",24DECCEC68A44CF7250333166D7DBE7A41CBF63AB92FBE2DFAAC8870B5B84E95.html,"Patriot brown. 500 rounds fired. 14.5"" LW barrel. Includes bcg and charging handle. Aimpoint is not included but may be negotiated. DD flash hider price is obo"
"For Sale: SW model 19-5, .357  .38 special",Manufacturer:    Smith  Wesson    Caliber:    357 Magnum    Action:    Double / Single Action    Firearm Type:    Revolver,Handguns,4794095,2015,650,"Sunday, November 15, 2015","Euless, mid cities DFW, Dallas, Texas",2D397FAC396810DA0DE1A320B59A98B6F97D48E65D5A6B2A3492BD4298840503.html,"This is a great find, S 19-5 with a 6"" barrel, Pachmayr grip and great double and single action trigger and showing little or no use. The original bluing is like new, not a scratch on it except a faint turn line on the cylinder. Fires both .357 and .38 special. Bore is excellent, the gun has nice balance and a reputation for accuracy.     Texas DL required - Text 817-798-5505"
