Copyright0951,0021,Seller0716,file_name,Rifles0572,20150823,Guns0565,Price0797,Location0800,Start0821
2015,Daniel Defense DDM4 V5 With hard case and extras : Rifles,Skanderbeg31,02BB505335316DAEE8BC83444ED123A0B195798B458AD0414FD3C4AC444C6F5A.html,556014,": 1   This is a Daniel Defense DDM4 V5 up for sale, comes with Pelican 1700 series Heavy Duty. case 4 PMags and SureFire Light with attachment. The Weapon has had many upgrade to include BCM Gunfighter charging handle, Magpul pop up front and rear sights, Fail Zero BCG Blot, Socom muzzle break. The weapon had approximately 400 rounds thorough it flawlessly without failure. I have maintained and kept this weapon in pristine condition. I am asking 1700OBO with everything, I can work with reasonable offers or trades with cash, I am looking for Sig1911s preferably. Please feel free to message me if interested, I appreciate your time thanks again.",Rifles,"1,700",Seminole,"Nov 14, 2015"
2015,Marlin 336 jm cs 35 Rem : Rifles,lucyLOU,04ECECD66E4E47DE82DE3F95DACAAD5147AF3E7DA4E9A50ED675973657E2A4E0.html,556819,: 1  Marlin 336 jm cs 35 Rem lever Action remington micro grove remington very nice with base trade for shotguns 20 gauge side by side or 12 ga no crap handguns dan wesson either 357 9mm 44 magnum 40 cal 45 223 or ak 47 7.62x39 308 25-06 270 colt python good bear deer hogs gun also have ammo for money 550.00 dan wesson 10mm mm DAN WESSON wanted wsm ar 10 30-06 270 813-31O63-13 trade 550.00,Rifles,550,Golta,"Nov 19, 2015"
2015,STI Full Race 40 cal Pistol : Pistols,harley2003,0AE1A77E2CE6C5593BAAD538D004DC750A4FE203E8ED8561FD5B52F98923FB80.html,556090,": 2  For sale is a full race STI/ Caspian 40 cal. Pistol. This gun was made for fast shooting and is very accurate. It's has everything that a true racegun would. The partslist is too long, but this baby is the way to go. I'm no longer shooting comp. Matches, so here it is. It comes with four comp. 40 cal high cap mags, the whole rig is ready to go, all that is needed is ammo and a good shooter.Obo",Pistols,"2,000",Ft Pierce,"Nov 14, 2015"
2015,left hand remington 7MM bdl new : Rifles,dodge_ram_driver,0FF8D09ECC8C6515FC8CEE5CD701FF5CAD2E4BF113B730BDE16D1369C120C747.html,557130,: 1  remington left hand 7 mm bdl with leupold vx-3-4.5x40 cds scope. new never fire all new never sited in scope. COMES WITH THREE BOXES OF AMMO 175 PARTITION AND 1 BOX 150 GR AND 1 BOX 174 GR THIS IS A $1600.00 SET UP WILL SELL FOR $ 1000.00 call cell 518-461-5688,Rifles,"1,000",Jacksonville,"Nov 21, 2015"
2015,FNH FNX45 : Pistols,nwdsk8er,124A9230871E5408AC46345029550930C5F1EACD67CE79EA9CAAD91876DADA82.html,556466,": 2   I am selling my FNX45 45ACP pistol. This pistol has the largest capacity of 45acp of any pistol on the market, it holds 16 rounds of 45. Comes with 3 mags and FN carrying case. Gun purchased new from shooters world this year, has a little over 200 rounds through it. Cleaned after each range visit and well taken care for. Gun was $900 out the door when purchased. Im asking $750. If interested please text 813-838-O5IO , by replying to this ad you are agreeing that you are not a felon and have no reason not to buy the gun. I will need to see Florida ID at time of sale.",Pistols,0,Tampa,"Nov 16, 2015"
2015,CVA Optima V2 Stainless Steel 209 w/ scope  case : Black Powder,dragon,19146688935311D4E2EAFA3F963AF838288DE9DA6C88784EE4D89B3C77646551.html,556662,": 2  - Quick release breech plug  - Ignition system uses 209 primers  - Break action  - Reversible thumb stud  - Ambidextrous thumbhole stock  - Crushzone recoil pad  - Stainless steel breach plug, receiver and fluted barrel 1 in 28"" twist (barrel already pre drilled and tapped to accept ironsights of your choice!)  - 3-9 Konuspro Scope and mount  - CVA Optima carry case  - Aluminum ram rod    This muzzleloader features a stainless steel receiver, breach plug and 26"" barrel with a 1 in 28"" twist rate. The quick-release breech plug ensures quick, easy and tool-less removal, while the CrushZone recoil pad helps control the felt recoil when shooting this gun. The reversible hammer spur gives you a secure grip while pulling the hammer back on that big buck. With a standard 14"" length of pull, this rifle is a one size fits most design and the it's lightweight nature weighing in at only 6.65lbs.    This rifle is like new condition, zero rust well cared for and only shot about 10 times for zeroing and testing accuracy. I am selling this rifle because i already have 2 more like it.    This rifle and scope package retails for $450.00! I am asking $350.00 for this like new rifle package! please serious offers only, no trades please.      Technical Information    Caliber: .50  Barrel Length: 26""  Twist Rate: 1:28""  Overall Length: 41""  Weight: 6.65  Stock: Synthetic; ambidextrous thumbhole  Ignition Type: 209 primer",Black Powder,330,Defuniak Springs,"Nov 18, 2015"
2015,Desert Eagle 50 Compansated : Pistols,lightning0450,1AAB5BEAA984CBA0EDCE49AE2C12ECB148A901C3C65CD096DF5221E7D1F3A93B.html,556532,: 2   Selling my brand new never shot Magnum Research Desert Eagle 50 with compensated barrel. I've had a few of these guns and they are extremely fun to shoot. Comes with 2 boxes of ammo and all original paperwork and box       Asking $1900 obo       Contact John 3057219285,Pistols,0,Miami,"Nov 17, 2015"
2015,New Del-ton 5.56 AR W/ Forward Assist  Dust Cover : Rifles,bestdealz321,21337B76762DA8CF800FCA3AAAFC62071A8ECD746120324D0E82253AA7B46FD0.html,556829,": 2   New Del-ton 5.56mm AR rifle 17"" barrel, forward assist, dust cover, adjustable stock with magazine   This price is starting 7am Black Friday. While supplies last   Visit bestpawnahoppe.com for more Black Friday deals   Best Pawn Shoppe   895 S. Wickham Rd   W. Melbourne 32904",Rifles,610,West Melbourne,"Nov 19, 2015"
2015,1941 Nazi Walther P-38 Pistol - Matching Numbers : Pistols,user92223,23637FD2C7BF694161BD6E1B6A5289C1C30CC3D9F82A344EB257B312C424BF22.html,556500,": 4  This is a 1941 Nazi Walther P-38. An AC 41. Made by Walther, not Mauser or Spreewerk. All matching numbers and shoots beautifully. Super clean. All Nazi markings, but has been re-blued at some point in it's life. $650.00. (352) 584-2971 (text or e-mail fine).",Pistols,0,North Of Tampa,"Nov 16, 2015"
2015,SAVAGE MODEL 11 FHNS 308 WIN : Rifles,mz9142,23BC11B9FD174D7CA98336BB596F6B0C994BD2BE6D8292B0A36C90AB58E040C9.html,556907,": 1  Like new savage model 11 chambered in 308 for sale. Pretty much been a safe queen since I got it so it has about a box of ammo through it. This is the FHNS model which FHNS an integral magazine with a hinged floor plate for quick unloading and also has savage's accutrigger. Comes with a hard plastic case, Simmons 3-9x40 scope, Caldwell Led Sled Solo rifle rest, and 40 rounds of 7.62x51. Not looking to split the package up.  Willing to meet in the Orlando area. Asking $550 OBO, not looking for any trades at this time.",Rifles,550,East Orlando,"Nov 20, 2015"
2015,Sig Sauer P238 : Pistols,joe32780,2AAC14BD46AD08AF413E014A09ABAB76EC5BB3C21AE995BED77D0059BB4AAC7F.html,555963,": 2  Like new, in box.....comes with 1 extended magazine and 1 standard magazine, original Sig holster, plus an IWB holster. .380 caliber.",Pistols,550,Titusville,"Nov 14, 2015"
2015,2 for 1 TRADE Sig/Glock : Pistols,FlaglerScott,2F071D382D86CEA18FC8EDFD0CF0ACD7C0F41B7438165EF746AB57CB79E1138F.html,556271,": 5   Looking to trade 2 pistols for one nice pistol. Will also sell individual.   Sig Sauer SP2022 9mm, like new in box with 3 Mags, 1 is 15 rd, other 2 are +2 17 rd   Glock 42 .380, like new as well in box with Tru glo night sights, stainless pins, Ghost mag release, 2 6rd mags, one has pinky extension. *note* this is a newer version 42 with the better mags and revised slide stop.       Both pisols are in Great condition and ready to go. I am looking for 9mm Sig 226, 228, 229, M11a1, mk25, 226 tac ops or threaded barrel, maybe a HK with extras or cash...   only looking for 9mm pistols.",Pistols,0,DAYTONA,"Nov 15, 2015"
2015,Ad Responses Really? : Pistols,boomer550,2FFD2FCD1C95F50466FC24DF6A2AB99C26CE733B38EFF14D72D1B0C7DFFD149C.html,557060,: 1  I get a text what model? how much? do I require a CWP? Dose anyone read our ads anymore wtf!!!,Pistols,0,Lake Worth,"Nov 20, 2015"
2015,THE KIMBER SUPER CARRY CUSTOM 45 EXCELLENT : Pistols,Skypilot,30454EF81CEA8A8D57C17070FFFAD356EB0C6FAD985D2D18110ED32CA7B07851.html,556195,": 3  Kimbers top of their line model 1911 45 cal semi auto pistol The Super Carry Custom all the Kimber custom shop features, Metrolight night sights, 1 KimPro 8 rd mag, Can not tell if this was ever fired. Comes in the box with book and paperwork. This is a gunmakers work of firearms art, a weaspon that you can depend upon in any situation.",Pistols,900,Land O Lakes,"Nov 15, 2015"
2015,ruger 45 cal : Pistols,mrspeedking,340A88040C0963BD46C23B673F3D108991E2E4471E914FABF802CF93B9D12628.html,557501,: 1   in black orig. case- less than box of shells fired/$580 at gander mtn plus tax/nice balanced stainless steel* 45 cal model p345/ $500 /OBO,Pistols,500,Mtverde,"Nov 22, 2015"
2015,Keltec PL16 pistol in 223/556 : Pistols,harley2003,34DC0AB0BBF35FAF6F16B31ED0927671937C436B2B8C498D4E34C020A595D3D8.html,556085,": 3  For sale is a KelTec Pl 16 223/556 CAl. Semi auto Pistol in blue steel with a muzzle break. The Pistol is in great shape, comes with one mag from factory. But it uses AR mags. Obo",Pistols,575,Ft Pierce,"Nov 14, 2015"
2015,fn fal 308 norna mag 4 boxes of ammo and dies : Rifles,jojomec,3D30A439D102D8D7B350FF870A3D2C834E3818385FBB34A6D7AE8012D1A188F7.html,556476,: 1  i have a nice fn fal 308 norma mag made in belgium musketeer from the 1950 s with nice scope sling 4 boxes of ammo and 100 round of brass for sale or trade,Rifles,450,Brooksville,"Nov 16, 2015"
2015,40 cal HIGHPOINT CARBINE Like New LASER CASE : Rifles,user2112,4219CF8DB96F5B9542DC63C5B6D7AB489BF61DAE55D3422DDA526C86383E3019.html,556212,": 2   APPEARS UNFIRED , RED LASER WITH PRESSURE PAD, NICE COTTON LINED CARRY BAG.   NO MAGS .   I REQUIRE FL CARRY PERMIT TO PURCHASE 727 215 7488",Rifles,300,St Petetersburg,"Nov 15, 2015"
2015,Smith and wesson 686 no dash : Revolvers,Slowridevw,4A4B6BFEE949D54D5CBBB68E1D3CCEA218D7EA6AE2C48A66BAF57EC28381D1CC.html,556393,": 1  I have a nice Smith and Wesson 686 no dash, no lock. Comes with the factory wood grips and gun rug. I have a tight lock up with some honest holster ware. I am asking $650 OBO, if interest or need more details please call or text 727-458-2260",Revolvers,650,St Petersburg,"Nov 16, 2015"
2015,bushmaster carbon 15 with extras : Rifles,user74456,56385EE4B9CCEE4A73F60E7489F7E7514E8406BD8C5C12137AFD5F7575ADF2E2.html,557069,: 1  I am selling my rifle a bushmaster carbon 15 with everything in the pictures so I'm able to pay for medical expenses I am asking 1200.00 or best offer don't be afraid to text me an offer I am needing cash fast.... text me at (863)449-7134 and we can meet up and 3 of the mags are filled so I am assuming there is ninety green tip rounds,Rifles,"1,200",Avon Park,"Nov 20, 2015"
2015,Glock 19 FDE Custom : Pistols,mostwanted1,586C2C74E4216125E34829194554C67A711A45F0D9CBB0137CA036D8C40459A4.html,556942,": 4    Looking to sell/trade mu custom G19 FDE. The grip has been modified to accept G26 (sub-compact) magazines. The shortened grip is ideal for concealed carry and maintains the longer barrel length and sight radius of the G19. Also, the longer barrel helps control recoil as compared to a G26. I've run several hundred rounds the pistol with zero malfunctions - it eats anything you feed it.     Also has Glock front night sight and an ICE Claw EMS rear sight.         Looking for a partial trade for Walther PPQ (I'll include cash) or cash. I also have several holsters.",Pistols,350,Palm Bay,"Nov 20, 2015"
2015,Fnar 16 for sale or trade!!!!!! : Rifles,itsallaboutthebone,5A223FB004EFB6067F241ACEA60BCECFB8B9D978C85D4055A0FB1E1272DCFDBA.html,556647,": 3   *Mint condition like new*   *FOR SALE*   Fnar 16"" 762x51/308   Only ten rounds fired.   Comes with one 20 round mag, ammo, nikon p308 scope with p308 mounts, fnh hard case with all factory accessories and manuals and a new 36"" voodo tactical double rifle range bag.   Would like to keep the bipod but if I get what I'm asking I'll throw it in.   There is a few things I may do a partial trade with:   May take an stock ak47 like a wasr, draco or maadi etc plus cash.   762x39 ammo or ak accessories plus cash.   Eotech plus cash.   1911 plus cash ""don't really want some high dollar 1911"".   Sig p220 plus cash   Multi gun trade   Fnx45 ""not the tactical"" plus cash.   Remington m887 nitro tactical shotgun plus cash   Not really interested in AR platforms unless it's the sig 556xi russian   Asking $1150 for total package   Will also sell just the rifle without scope, bipod and ammo for $850 firm   Location is volusia",Rifles,0,Volusia,"Nov 17, 2015"
2015,GLOCK 23 : Pistols,Mthrift1214,5EF1F87B687AC3AF4776249037594F2F26791312693067473C545E4E00659367.html,556785,: 1   G23 with (3) factory 10 round mags. This gun has been taken care of and cleaned after every range trip.   Couple hundred rounds down it. No visable wear or scratches of any kind.   Generation 3 and Bone Stock-ready for customization or for just a reliable defense weapon. $425   West of I-295    (904) seven1zero-4nine7zero,Pistols,425,Macclenny,"Nov 19, 2015"
2015,taurus g2 9mm : Pistols,Jessman1,627828D85A7285B7CDB356E372B2EBC3A99B5EC707A52EFABB6F31AF6E6B0A32.html,555950,: 1  Taurus g2 in box with 2 mags and a box of self defense ammo. Only 50 rounds of ball target ammo down the tube. All factory paperwork and accessories included. $235.00 firm. Call or text 941-447-8847.,Pistols,235,Bradenton,"Nov 14, 2015"
2015,Norinco Mak-90 : Rifles,amd65,65AA1B1E3E311176521F4209C1C52A7D09C8DFFCD358F1A622E287B6CFDEEC60.html,556178,: 3  Norinco Mak-90 for sale. Not really looking for trades but it doesn't hurt to ask. $700 ftf Palm Coast/Flagler Beach area. Bought it recently and owner said he had it since '94 and put about 400 rounds through it and from looking at the insides it looks about right on to me. Call or text John at 352-426-1937.,Rifles,700,Palm Coast,"Nov 15, 2015"
