Post0326,file_name,21,Ads0988,Shop0265,Price0364,Ammunition1476,BLK0354
2658,0242BEC05F6285551028C0EF20B511D0008EB41067570606BC69FC78CA0DE99C.html,I have a few pistols,  pistols for sale,Firearms,800,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",Absarokee
2371,23E51B4594AA7B50C6CA7C99DC17F40D5878C301CA9A1B4C7A77BA46233351D2.html,Springfield XDS .45 Cal **SOLD**,  45 ACP 250 Rounds     Springfield XD 40 $450     SPRINGFIELD XDM 45.CAL     45 AUTO +P Starline brass casings (1000 ea per box)     45 colt     45acp Brass     Springfield XDM 9mm,Firearms,490,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",Helena
2725,2EBF0D9F8BCAE09822AA0855E1480D9A44DFD2373B72A37643A71EAB6312419B.html,fs FN P 12 shotgun $425,"  FN Herstal handgun reported stolen from truck     pistols for sale     Primers for sale or trade     FNH USA Model #: FNS-40     FNH (FN Herstal) FNAR with scope  extras     FS/Partial Trade: FNH (FN Herstal) FNAR with scope  extras     fs/ft     FS DPMS sportical NIB     FS: AR-15 DPMS Sportical, New -- lowered pricing     FS SW 629 classic .44 magnum",Firearms,425,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",Missoula
2206,4A9D2DC2E5E96139A61A85BB6EFBDCA80F8304A386C2AF697B7592A467A01B42.html,Benelli MR1,  Benelli R1 .300WSM      Benelli R1 .300WSM      BENELLI M2 TACTICAL,Firearms,1000,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",Kalispell
1965,6B32A7661E1A1FA9B62554AE12D36C1B3BDED17E2E2C5DB382538FEF2A5095C0.html,Browning Shotgun,"  Browning Model 78 Rifle , 22-250 Single Shot ,Nice     BROWNING CITORI XT     Browning Buckmark Pistol Only $260! Red-dot sight  3 lb. trigger.     Browning T-Bolt 17 HMR     Browning Buckmark .22LR Semi-auto - Ultragrip RX Pro Target 5 1/2 bbl     Browning Hi Power     Browning Citori 525 Sporting- Used Excellent Condition. 12 gauge over/under.",Firearms,600,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events","Kalispell  (Spokane, Misoula, Corduelane)"
2635,8C3B38D5F0BC1C8BC516EF7B3BD434627974EAA88762D66C8673C1A09E673503.html,Saiga 7.62 x 39,"  Saiga 308 modified, shortened barrel, trigger job, ammo, and mags",Firearms,500,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",Missoula  (Public places in and around missoula. Up to 30 - 4)
1347,93912CFBC73902953A967F423B0D02BD074F1D935B111435E80CE73B747624FF.html,DPMS AR-15,  DPMS LR308 CUSTOM     AR15 Custom Laser Engraved Uppers Stripped A3 Style     DPMS AR-15 (.223/5.56) w/ many Magpul upgrades for sale/trade     DPMS Stainless 5.56 Oracle Brand New In Box     AR15 Scope 2- 7     DPMS AR-10 .308,Firearms,900,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",Butte
2261,9BB772A0AB923EB0FBBB358F9FC937960E6CD33807165A1E0BBF03063A9DACB3.html,Mossberg 500 Pistol Grip Shotgun 20GA,  Mossberg Chainsaw     Mossberg 500c     pistols for sale     500 rounds 9mm 124g CPHP $235     Mossberg 270     Mossberg 930 JM Pro 24 9+1 12 Ga. Semi-Auto     Mossberg 500 Custom Button Head Pins,Firearms,500,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",Florence  (yes)
1959,B918655C90F6FBF25264B9AE95FA29A037809325678921D43E0F819456D3EBFC.html,Mossberg 930 JM Pro 24 9+1 12 Ga. Semi-Auto,  Mossberg Chainsaw     Mossberg 500c     Mossberg 270     Mossberg 500 Custom Button Head Pins     12 rifle cub cabinet/display case     JM Stamped Marlin Stainless 30-30 Never fired     Mossberg 500 Pistol Grip Shotgun 20GA,Firearms,550,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events","Columbia Falls  (Kalispell, Whitefish, Bigfork, Lakeside, Flathead)"
2172,CDA88A547648A3EEE86E3E79D69842CAD87B96C69CA495EEB0405E77BD2F97BA.html,AR-15 Rock River Arms 5.56 /223 New with lots of extras,  Rock Island Model: 2011     223/.556 Rem      AR15 Custom Laser Engraved Uppers Stripped A3 Style     Rock Island Armory Officers Edition .45 acp     AR15 Scope 2- 7,Firearms,1150,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events","Helena  (Bozeman, Great Falls, Butte, Townsend, Wolf Creek,)"
