Tweet0990,28in0804,40,file_name,ID1174,Description1188,Sum1486,onto0834,Ads0774,Listed1161
"$1,850 ",yeowie1,Freedom Arms 454 Casull,03273E3930D395746816180D077F6DE17464EA24881EBCEA37408C9DE58952CE.html,86650906216c058c,"Freedom Arms 454 Casull,4 slice magna porting done,Pacymer grip, Leopold 4x scope. With custom leather holster.",2015,Revolvers,   Guns for Sale    Revolvers   Freedom Arms 454 Casull,2012/10/30 23:35
25.82,gunsandsupply,Buy Umarex XBG Air Pistols,1036E5A9CFB72BD8D4B7F98DFF8A2D78AD585B8034892D17096F7F78C9C69EF4.html,6553d3851707441,"If you are sport persons, hobby for hutting, shooting and camping you contact at 888-745-2080 and buy Umarex XBG Air Pistols from Midwest Shooting Sports and Supply LLC at affordable price.    For more information visit our website www.gunsandsupply.com",2015,Pistols,   Guns for Sale    Pistols   Buy Umarex XBG Air Pistols,2014/7/26 10:51
699.99,eastsidepb,Molle Plate Carrier With level IV Plates,10DDDF7BF34D55FA9BA85C45EDE23167AF1B7DBCCD8542958B973744BA793D61.html,36153a319be51ac0,Molle Plate Carrier With FOUR level IV Plates  WITH TWO EXTRA SIDE PLATE CARRIERS  Please Contact us at (954) 527-2508 or by email at EASTPB@BELLSOUTH.NET FOR ADDITIONAL PICTURES AND DETAILS OF THE ITEM. Florida resident must pay sales tax on any item sold. WE WOULD LIKE TO EARN A POSITIVE FEEDBACK AND REPEAT BUSINESS FROM YOU. THANK YOU AND HAVE A GREAT DAY,2015,Misc,      Misc      Molle Plate Carrier With level IV Plates,2014/6/19 17:26
700,dealerinallguns,DPMS AR15 Magpul Equipped Stock Handguard Grip,1656F03B213A30E04146D7B083DC6AE271EE3EFAE8F2CF3F0D8C218EF5E876AF.html,1535387ae793f860,"This Package Includes the Following:   Magpul MOE Stock   Magpul Plus Grip   Magpul Handguard   (1) 30rd Magazine from DPMS   (1) 30rd Magpul Magazine   16 Barrel, Collapsible Stock   ADD Flip UP Sights, Front/Rear for Additional $49   OR ADD UTG Red/Green Circle Dot Optic for $55",2015,Rifles,   Guns for Sale    Rifles   DPMS AR15 Magpul Equipped Stock Handguard Grip,2014/5/29 22:08
$77 for 9 boxes,wgp8435,380 Auto FMJ NEW,182B0F5E93A389D1330B56F009CAE10BF9742C53AB79A30B75FF2974A0EDD9A4.html,1394eeb9a90b060a,9 boxes of NEW Tula with steel casing. 50/rds per box. $77 ($8.50/per box) 210 367 0593,2015,Handgun Ammunition,   Ammunition    Handgun Ammunition   380 Auto FMJ NEW,2011/12/16 19:24
32.99,DravesArchery,Blackhawk Serpa Concealment Sportster Holster 00,2F6EDF1A3179EA4D82B19E17A4BF1B39CB33BC828D13C38289137AF5B0A5D26E.html,9355344271fa6637,"Holds Glock 26/27/33    Developed for civillian concealed carry and range use, but still has great patented Serpa design   Traditional polymer material construction found in other injection molded holsters   Comes with Paddle Platform only",2015,Holsters,   Gun Parts and Accessories    Holsters   Blackhawk Serpa Concealment Sportster Holster 00,2014/4/8 16:46
"2,000.00",constamaldo123,AR-15 COLT A-2 MODEL,2FCC6B3C7ABCA0B50F39E43AD45EAA71A03D83DD14743A4875D17C0A53EB9440.html,83850f05c7e47a64,AR-15 COLT A-2 MODEL GOVERMENT IN EXCELLENT COND.WORTH ABOUT $3000,2015,Rifles,   Guns for Sale    Rifles   AR-15 COLT A-2 MODEL,2013/1/11 18:42
185,grandewhit,Ruger 10/22 carbine,35728A97E3369966FD148220212ECF3BC439E06AA3735A796282F7EC091845EE.html,4234f821fd868afc,nice 10/22 wood stock blued steel junky scope with see thru mounts its about 20 yrs old but in great shape $185,2015,Rifles,   Guns for Sale    Rifles   Ruger 10/22 carbine,2012/4/8 23:36
575,jordan23,beretta 96a1,3E60F6332692B8A59F75B8734048092E989C5EA83935EECAD204A7AC7DFC33B5.html,7064d7b99a66c1dd,"I have a beretta 96a1 (40cal) with light rail,and comes with box,paperwork,locks,3-13rd mags. Gun has one clip down range. Also has hogue wraparound grips on it,and will include factory ones as well. Want to sell or trade let me know what you got-hk,glock etc. You can text me at 903-467-7793",2015,Guns for Sale,   Guns for Sale   beretta 96a1,2011/3/12 16:08
75,tbone40x,Harris S-LM Bipod,41C72B5CDFA18071AB4ABB4B8AA480BDBDD175427E50CB460680CE159CC460CA.html,5134f354731bdf5d,"Harris S-LM Bipod Leg Notch Sling Swivel Stud Mount 9 to 13   Material:   鈥luminum Alloy with some Steel Parts  鈥ard Rubber Leg Caps   Finish: Anodized Black   Weight: 14 ounces   Method of Attachment: Attaches to sling swivel stud.   Notes:  鈥ost suitable for shooting from a bench  鈥opular among pistol shooters  鈥ay not fit all guns; adapters available separately   Notes on Leg Extension Method   Leg Notch Models  鈥hese are the models with LM or BRM in the designation  鈥hese legs are spring loaded and when the release button is depresses, they kick out to maximum height   Swivel Models  鈥hese are the models with S in the designation  鈥inged base has tension adjustment and buffer springs to eliminate tremor or looseness  鈥vailable for all models except H models.",2015,Stocks and Grips,      Gun Parts and Accessories      Stocks and Grips      Harris S-LM Bipod,2012/2/10 16:53
"$13,000 ",steven puelz,weatherby 300 magnum /west germany mfg.,43452DF61AB4937B93EF6E55034BBD42A180E0D3956B94174FDD3949EC6B9572.html,4455234a9fc21e65,"Beautiful,clean,no dents, weatherby 300 magnum with factory mounted scope,and additional bosh lomb. cutom made hard case and 169 rounds various ammo [boat tail,green tip and others] Gun has great bore,no rust or damage well cared for.min., rounds down range,just a beautiful west german made rifle. Dont pass this one upno jap rifle here!!",2015,Rifles,   Guns for Sale    Rifles   weatherby 300 magnum /west germany mfg.,2013/9/14 18:33
650,dudu,KIMBER TEAM MATCH II 2013 45 ACP,45EDB64C36453CAB6480DD66DEC851F0E51BF036624FE13CD11A33F0EFAC2F7F.html,914558f7fc11cf28,Height (inches) 90掳 to barrel: 5.50  Weight (ounces) with empty magazine: 38  Length (inches): 8.7  Magazine capacity: 8  Magazine well  Ambidextrous thumb safety  Recoil spring (pounds): 16.0  Full-length guide rod.  Got this as a gift on my last birthday  please if you are interested email me or as soon as possible.. i ship to all state,2015,Pistols,      Guns for Sale      Pistols      KIMBER TEAM MATCH II 2013 45 ACP,2015/6/28 5:08
400,jmatts,Glock G26 9mm with two mags,4AC3BE5673A47AFD1B965C41151D5ABD472948999DC484C9B3E2AE081460C0A6.html,73450537c3440b73,"My G26 is in perfect condition. Put a couple hundred rounds through it, but its like the AK of the pistol world, it will last forever.   Price is pretty firm, but I would do trade and cash for a AR-15.",2015,Pistols,   Guns for Sale    Pistols   Glock G26 9mm with two mags,2012/9/14 18:52
950 obo,jstought,FNH 5.7 Semi-auto pistol HOLDS 20 rounds,4C1E57EEF1E75BA293D9DEAD75685FBCEBFC30FEE7A486E3A115D66FB17F065D.html,62650409b5bf2e72,"OBAMA HATES THIS GUN!!!   This is the legendary FHN 5.7 pistol. This gun can easily go through soft body armor, it holds 20 rounds and is like having an assualt weapon in your hand. The rounds travel at a whooping 2400 FPS. Its super accurate and is just a great gun, I am suprise it is not more popular.   I need some cash, we can meet up or I can ship (I will only ship if you contact an FFL dealer in your town).",2015,Pistols,   Guns for Sale    Pistols   FNH 5.7 Semi-auto pistol HOLDS 20 rounds,2012/8/31 11:14
"$1,000 ",jennyfaulkner,SMITH AND WESSON 6 PACK,59A51871D68937422E68BFD0BE1A06C91783F0C7B353EE8C99AD3A1B09A972C5.html,984eb170ef50546,4 BARRELS 2 4 6 8  2 GRIPS  SHOOTERS GRIP AND WESYERN GRIP  TOOLS AND GAUGES  AND BELT BUCKLE ALL IN A MOLDED CARRYING CASE,2015,Pistols,   Guns for Sale    Pistols   SMITH AND WESSON 6 PACK,2011/11/2 16:42
TRADE,772louis,7mm Remington Mags  Winchester 243,5E3AF635CCCE02A1D4E197D869120F8C670999BAC31C8C4B3E175FA72B3EC954.html,1205294a552ea32f,"I have a New Box of Winchester 7mm Remington Mags and a New Box of Winchester 243 Ballistic Silvertip 55 Gr.  Would like to trade for 45 ACPs, I also have 8 Boxes of Slug, and BuckShot *20 Gauge*",2015,Rifle Ammunition,      Ammunition      Rifle Ammunition      7mm Remington Mags  Winchester 243,2013/11/26 13:53
