file_name,Accessories0378,Price0855,FT0613,started0628,Messages0801,For0031,Location0814,Description0868,trade1645,Name0846
0190C983C7A97B2B88C490B8E1F9B42CBF04B99BC2D1070A97BDB1FD3943FB7F.html,Revolvers,"$1,525.00 ","SW 629-0 PR, 44 mag 6 in stainless, Astra 44 mag 6 in stainless PR. + ammo",hwmike,444,Metro Atlant,Gwinnett County,"For sale or trade, SW 629-0 44 mag stainless 6 in pinned and recessed. Also Astra 44 mag stainless 6 in pinned and recessed. Both include the factory wood grips not pictured. Also included is the following ammo:  120 Winchester Platimun Tip 250 gr  20 Federal Premium Hunting 300 gr  20 Federal Premium Hydo Shok 240 gr  100 Remington JSP 180 gr  400 GA Arms (new ammo) Gold Dot Deer Stopper 240 gr.  A total of 560 rounds. All ammo is factory loaded in factory boxes or bags. More ammo available for the right deal. Trade interests are Steyr Aug, Micro Uzi, Mini Uzi, Chinese AKs, multiple Glocks in 9mm or 45 acp, what do you have? No interest in 1911s, 40 SW, 357 Sig, or BP. Please note that both guns look almost identical at least from a short distance. Must be a GA resident, meet close to me. Please pm all offers. Thanks for looking. Additional pics available via text.",2015,"SW 629-0 PR, 44 mag 6 in stainless, Astra 44 mag 6 in stainless PR. + ammo"
06BBCA83D80E96E1D47CA964FF0FDDD4DB48CBB3F961C4DB40FF531B5CEC4C7D.html,Revolvers,950,SW 500 8.38,Sigweld17,103,North East GA,30501,"Ive got a Smith and Wesson 500 Magnum for sale or trade. Really just wanting the 500 with a 4 barrel, but will entertain other offers. Cash price is pretty firm.    Will come with box, docs, and lock. Thanks for looking.",2015,SW 500 8.38
10F09BCE07FDF8B1C2F7B5730C828BDE289838CA0EB5D27DF2E778564496A780.html,Accessories,"$1,800 ",HK 416 piston upper MR556 brand new,stelios5,"1,347",Metro Atlant,roswell GA/ ATL,"HK now offers the long awaited civilian variant of the popular 416 upper. This MR556, match grade upper receiver assembly comes complete and ready to pin onto any standard AR-15 lower receiver. The short stroke gas piston design ensures cooler, cleaner operation of this upper for reliabilty and less time scrubbing residue out of the receiver after extended shooting sessions. Upper Receiver: MR556 Flat-Top Barrel Length: 16.5 Barrel Contour: Heavy Barrel Material: Hammer Forged Chrome Moly Steel Muzzle Thread Pattern: 1/2-28 Chrome Lined: No Barrel Finish: Parkerized Twist Rate: 1 in 7 Chamber: 5.56x45mm NATO M4 Feed Ramps: Yes Muzzle Device: A2 flash hider Gas System Length: Carbine, short stroke gas piston Gas Block Diameter: 0.750 Handguard: 9 Free Float Quad Rail  As for trades Im open to glocks,ARs,1911s something cool",2015,HK 416 piston upper MR556 brand new
11EC51FC0E711EA8435E6397D3AA472D555F7041E05C41DFBC800018F940671F.html,Revolvers,650,44 mag Ruger Super Redhawk,Pistolier60,140,West GA,Carrollton,Up for trade or sale is a 44 mag Ruger Super Redhawk with 7.5 barrel.This gun is a 1 owner that I purchased from the first batch of these Ruger produced back in 1987.It has had about 100 rounds through it and comes with the stock quick detatch scope rings.Thanks for looking!,2015,44 mag Ruger Super Redhawk
1A9DD999BDCD1431EFDAACD08C122903C9E4839A1FBA62DCBDA34CA0C7C8FE51.html,Rifles,600,Immaculate 1975 Ruger M77 7mm mag,wg4tim,238,South West GA,"Albany, GA","Pristine 1975 M77 tang safety red butt pad 7 mag. 2nd owner. This one has been a safe queen most all of its life. I know the gentleman I bought it from and he swears it has been fired less than 20 times since he bought it new. I have shot it six times after I got it just so I could say it functioned properly if I ever decided to let it go. Includes Simmons Pro 50 scope, Leupold bases and rings and 2 boxes minus 6 rounds of 150 grain ammo. Put 3 rounds in less than a 1 inch group at 100 yards.   Prefer to sell but will certainly entertain trade or trade + cash offers on another bolt action deer rifle. I love Ruger all weathers, Brownings, Tikkas, some Winchesters, some Remingtons, T/C, etc. but wouldnt be opposed to others as well.",2015,Immaculate 1975 Ruger M77 7mm mag
208086AAA46B27647D3FFA7B213E708CC80A53E9D0D8EAE6AA8058022EF52242.html,Handguns,500,XDs 45 LNIB for glock 26,ed1380,350,Metro Atlant,Douglasville,"less than a 100 rounds through it. talon grips. fiber optic sight. looking to sell or trade for a similar G26 package. Will throw in some ammo for the right trade.    I travel between douglasville and johns creek daily, so I can meet pretty much anywhere metro ATL.",2015,XDs 45 LNIB for glock 26
25FD5581766FA5BF14F8C16FAE7CD74A6F1DBCB8F76AA0DF5D00CF5FE7E6F17D.html,Handguns,$650 ,Sig Sauer P229 SAS,CCSO,790,North West GA,Dallas,"For sale or trade is a beautiful Sig Sauer P229 SAS DAK two tone. It has trijicon night sights, 4x 12 round mags (two blue, two phosphate), box and docs. Willing to drive reasonable distances.",2015,Sig Sauer P229 SAS
3851D1C6B6CD91E940174E8D7F9018B5955682F7064B490EB8DB155A27DB7F71.html,Rifles,$225 ,HR Handi Rifle in 243 With Osprey Scope,billieco,"1,430",North East GA,Cumming,I have an HR Handi Rifle in 243. Great shape. Very few rounds fired. Without Scope and rings. Would rather trade but will take $225 cash FIRM. No scope,2015,HR Handi Rifle in 243 With Osprey Scope
426D6E9A42DE9BC7AB2A5FEA8DDF7489CE8D95BF996C217AE6CF620218D83E68.html,Handguns,500,Springfield XDS 45 Bi-Tone,jhenry30,872,Metro Atlant,Atlant,I have up for sale a Springfield XDS 45 Bi-Tone. I bought it and put it in the safe. Hasnt been fired outside of the factory. Comes with (1) 7 round mag and (4) 5 round mags. Asking 500 obo but will trade for an XDM compact in 45 or Spikes AR Upper in 5.56/.223 with possible cash on my end,2015,Springfield XDS 45 Bi-Tone
486D63EF81A09CB11DD8426C73AC2D3498CF5B9CB2ECDA0FF3F16CEBDA7E6C87.html,Shotguns,225,Mossberg 9200 FS/FT,burt,183,North East GA,Homer GA,"Nice Mossberg 9200 semi-auto for sale. 24 barrel, very nice condition, appears to have been shot very little. I bought this 4 or 5 years ago and never shot it. Previous owner said it shot high brass fine but would occasionally jam on low brass. I took it apart and cleaned it, then put 25 rounds of low-brass, cheap, 7 1/2 Federal ammo through it with no problems at all. Id like to sell for $225 or maybe trade for a carry 9mm, 9mm ammo, or something else close to the same value. No Taurus or similar pistols. Comes with one choke, nothing else. Previous deal fell apart, so its back up.  Close to Banks or Jackson county. Pm please since I dont check thread often.  Thanks",2015,Mossberg 9200 FS/FT
